Data,IE00BDT6FP91
06/2018,10000
07/2018,10046.90927932779
08/2018,10099.828770784718
09/2018,10051.487669407641
10/2018,9630.127311603186
11/2018,9610.596618715033
12/2018,9289.21869198292
01/2019,9698.441783337106
02/2019,9843.616347180818
03/2019,9813.95578568105
04/2019,10006.86969480503
05/2019,9690.05011759682
06/2019,9940.09906818606
07/2019,10084.152657635397
08/2019,9862.404648740277
09/2019,9811.403037042084
10/2019,9935.924389275333
11/2019,10150.869493323455
12/2019,10385.320296573496
01/2020,10527.095748783237
02/2020,10273.039702732394
03/2020,9201.509151569906
04/2020,9923.253067283944
05/2020,10422.13075520513
06/2020,10994.492548847174
07/2020,11488.779397202563
08/2020,12189.251111113384
09/2020,11982.777370799435
10/2020,11867.912709226555
11/2020,12963.003176801138
12/2020,13635.968700349755
01/2021,13913.580228235855
02/2021,14211.511923208163
03/2021,13801.314950432627
04/2021,14138.472238386456
05/2021,13829.75628779112
06/2021,14215.278962717548
07/2021,13897.533314303952
08/2021,14160.21858568666
09/2021,13885.125278278958
10/2021,14020.935423013616
11/2021,13489.033914684473
12/2021,13336.18482985748
01/2022,12539.29816340095
02/2022,12421.675469827269
03/2022,12407.40574700237
04/2022,11835.932612898767
05/2022,11252.799614142918
06/2022,10699.857824844532
07/2022,10968.878512112538
08/2022,11093.183240368122
09/2022,10488.440667373414
10/2022,10577.66481334823
11/2022,10774.92514150116
12/2022,10572.239395098737
01/2023,11149.523612938408
02/2023,11064.335595125129
03/2023,11024.820632200195
04/2023,10986.323272717464
05/2023,11002.262896609567
06/2023,11398.511565626197
07/2023,11610.379924508234
08/2023,11369.080490409138
09/2023,11214.694030865894
10/2023,10875.372626221633
11/2023,11336.452133477203
12/2023,11802.669199515478
01/2024,11776.03416974767
02/2024,11927.633201907023
03/2024,12109.432821278142
04/2024,11868.111674915132
