Data,IE00BDVPNG13
10/2018,10000
11/2018,10074.565526966406
12/2018,9120.413640917537
01/2019,10407.83600056816
02/2019,11276.101747746512
03/2019,11449.925641442092
04/2019,12369.13009693071
05/2019,11289.663326204964
06/2019,11843.59886454533
07/2019,12684.532679129143
08/2019,12500.222149459392
09/2019,12415.652142177134
10/2019,12411.915185298023
11/2019,13326.656717042437
12/2019,13738.742249936722
01/2020,14291.683363626425
02/2020,13457.373376431833
03/2020,11211.446255814019
04/2020,13401.741171746067
05/2020,14427.164496546735
06/2020,15517.024153690962
07/2020,15514.694799917113
08/2020,16718.32300964781
09/2020,16716.844937964273
10/2020,16938.70261562702
11/2020,20589.07820611179
12/2020,22037.333723384527
01/2021,24210.139295427478
02/2021,24174.389130042804
03/2021,23032.674608883317
04/2021,23114.83244815543
05/2021,22042.59185178046
06/2021,23882.162618956114
07/2021,23957.54149411013
08/2021,25018.8204631736
09/2021,24164.944167872734
10/2021,25551.38328000264
11/2021,26436.54642897305
12/2021,27522.704904532904
01/2022,25034.771366127126
02/2022,24719.419844961885
03/2022,24322.476730428396
04/2022,22172.777247375747
05/2022,21770.70748078799
06/2022,19347.32363407799
07/2022,21362.128648965634
08/2022,20392.31234003589
09/2022,18044.978023638694
10/2022,18719.263185938948
11/2022,18983.367524191603
12/2022,17075.134545668057
01/2023,19849.206687482696
02/2023,20514.58614194178
03/2023,21262.72196833202
04/2023,18979.185036458442
05/2023,22569.00494178141
06/2023,23050.93268476213
07/2023,24983.41212652444
08/2023,23272.538261324058
09/2023,22648.95932770715
10/2023,21086.11882961558
11/2023,23794.436778214735
12/2023,25588.71631718567
01/2024,25453.422666152816
02/2024,27327.49746931468
03/2024,27318.49921836302
04/2024,25610.66486395753
