Data,IE00BDZVHD04
12/1999,10000
01/2000,9613.288652359068
02/2000,9179.013803769534
03/2000,9449.067565162852
04/2000,9760.615656248507
05/2000,9430.63393922891
06/2000,9946.75471628091
07/2000,10728.52602246243
08/2000,10849.618126402727
09/2000,10899.657016836669
10/2000,10224.923762840657
11/2000,10373.881851711585
12/2000,11583.052242738602
01/2001,11760.632952516156
02/2001,11805.647915905323
03/2001,11289.572560344675
04/2001,11422.67551212103
05/2001,11594.311586996579
06/2001,11976.26397552854
07/2001,11810.791704056492
08/2001,12097.006895090602
09/2001,11138.308077131736
10/2001,10864.38109698088
11/2001,11573.139193547831
12/2001,11960.101635990617
01/2002,11922.070059568103
02/2002,11969.16543366209
03/2002,12621.020558721662
04/2002,13110.443196537646
05/2002,13246.292348471245
06/2002,13359.599015575835
07/2002,12772.851739600119
08/2002,12569.677540343604
09/2002,11939.893076305005
10/2002,11822.107028645858
11/2002,12418.965883046198
12/2002,12406.606836082181
01/2003,12164.800983796262
02/2003,12302.168028442376
03/2003,12279.665808013378
04/2003,12759.600862353347
05/2003,13652.754988467508
06/2003,13830.598763633132
07/2003,14449.969474218304
08/2003,14861.836328280711
09/2003,15581.534413435484
10/2003,15959.674566476791
11/2003,16589.25995874602
12/2003,17338.958102103195
01/2004,18262.93587607201
02/2004,18750.735684114246
03/2004,19378.44949663301
04/2004,17113.43692856437
05/2004,17971.927290016833
06/2004,18278.530982223714
07/2004,18514.97033653634
08/2004,19753.48897951953
09/2004,19985.97599269291
10/2004,20872.41615881632
11/2004,22253.26874952289
12/2004,23330.487804328495
01/2005,22016.823237823184
02/2005,22599.506103489122
03/2005,22042.094763230052
04/2005,23039.036466494003
05/2005,23505.26566970595
06/2005,24440.41173627167
07/2005,25777.24606707968
08/2005,25235.867005142583
09/2005,25457.0538243776
10/2005,24149.7987926059
11/2005,25465.332865139077
12/2005,25718.577683418127
01/2006,27630.348645205424
02/2006,28401.594788610782
03/2006,28960.287438199677
04/2006,28940.743067274052
05/2006,28396.378785149253
06/2006,29304.15844239125
07/2006,30298.12927333544
08/2006,31295.442695249396
09/2006,31980.851399512663
10/2006,33620.13993953054
11/2006,35413.66001486772
12/2006,36163.977598535566
01/2007,37981.477387222265
02/2007,37766.2478474378
03/2007,37661.42647063605
04/2007,38130.89064449312
05/2007,38423.429975035935
06/2007,35768.78650425456
07/2007,34106.77449618411
08/2007,35311.968098603335
09/2007,37772.796515644746
10/2007,38703.65912257263
11/2007,35840.04436545055
12/2007,34410.40108385033
01/2008,32966.239188030886
02/2008,32430.987770991454
03/2008,32855.49639820513
04/2008,34551.653229568496
05/2008,33835.84654132177
06/2008,30116.890402959987
07/2008,30360.15714353601
08/2008,30203.675358107655
09/2008,27781.94574915093
10/2008,19568.734217509853
11/2008,16521.139244768106
12/2008,18248.584233197125
01/2009,15944.693649188897
02/2009,13358.792443937653
03/2009,14188.211904532745
04/2009,17246.93009158313
05/2009,19113.834197290515
06/2009,18917.74118685684
07/2009,20993.80116395093
08/2009,22835.837660751233
09/2009,24438.837217371518
10/2009,24005.326756952833
11/2009,24667.4725444447
12/2009,25652.425812641064
01/2010,24297.648477071507
02/2010,25123.10655958693
03/2010,26880.414447648644
04/2010,27606.735503512427
05/2010,25454.004541101447
06/2010,25028.23821759733
07/2010,27501.317668055122
08/2010,27336.648211637566
09/2010,29656.331004513224
10/2010,30787.087317924335
11/2010,29531.813423490265
12/2010,31279.756778608735
01/2011,31743.57178361112
02/2011,32711.71108279427
03/2011,32671.758094627556
04/2011,34408.3340302959
05/2011,34569.55577461073
06/2011,33643.3028622005
07/2011,33774.353193806506
08/2011,32145.278059266573
09/2011,28040.195915692697
10/2011,31549.719063952358
11/2011,30195.892330700393
12/2011,30727.289599196385
01/2012,32608.596315458435
02/2012,33490.29264699011
03/2012,33856.99063749227
04/2012,34774.0408733905
05/2012,32689.426762151073
06/2012,34668.44811295939
07/2012,35996.6442154314
08/2012,36078.472132523646
09/2012,36375.11506838809
10/2012,36625.851758979414
11/2012,36977.03174956529
12/2012,38010.09397728717
01/2013,39399.15408585836
02/2013,39503.40887811384
03/2013,40050.39307456005
04/2013,42550.43156456982
05/2013,39651.89277367259
06/2013,38324.09429640455
07/2013,38759.51702317757
08/2013,36720.80513158585
09/2013,38606.44307778884
10/2013,39795.24317482538
11/2013,38175.93870565348
12/2013,38005.78323176686
01/2014,38438.640659594144
02/2014,40425.22331532993
03/2014,40431.54290671324
04/2014,41909.860352829186
05/2014,43105.70532444722
06/2014,43624.209465671316
07/2014,43870.16457955271
08/2014,44780.48016103816
09/2014,41897.42128627095
10/2014,44769.37732422097
11/2014,45422.186487233674
12/2014,45774.32686236888
01/2015,48444.95203410838
02/2015,47685.121370099674
03/2015,47466.83343804994
04/2015,46483.00338519157
05/2015,45792.697520528294
06/2015,44054.149597176765
07/2015,45633.671531099964
08/2015,42825.52532472602
09/2015,43488.91715968085
10/2015,46018.58437153
11/2015,45108.637462981365
12/2015,45596.28337227168
