Data,IE00BDZZTM54
05/2012,10000
06/2012,10424.823172094255
07/2012,10766.745137997676
08/2012,10794.92618537635
09/2012,10791.308832913965
10/2012,10739.942727638345
11/2012,10959.67584728256
12/2012,11104.04593795455
01/2013,11411.509025064537
02/2013,11830.367471361085
03/2013,12413.382218814186
04/2013,12596.288063707998
05/2013,12524.906534746307
06/2013,12165.631600630823
07/2013,12621.795843375341
08/2013,12423.830145777869
09/2013,12912.672388869845
10/2013,13222.951258887073
11/2013,13454.970174130316
12/2013,13553.549523875467
01/2014,13287.397268351817
02/2014,13714.632265581335
03/2014,13691.189526966007
04/2014,13664.398851745977
05/2014,14204.204009828996
06/2014,14411.357695712035
07/2014,14529.441071491492
08/2014,15054.722428128849
09/2014,15359.665226172348
10/2014,15542.2293123834
11/2014,15941.291488484758
12/2014,16135.170949166479
01/2015,17057.999230220994
02/2015,18185.251712508587
03/2015,18825.838485204535
04/2015,18354.013952470857
05/2015,18857.71361840259
06/2015,18099.866690432416
07/2015,18755.8167523807
08/2015,17069.535267174055
09/2015,16610.770634528097
10/2015,18244.58896636436
11/2015,18966.76316247133
12/2015,18168.152006680673
01/2016,17066.088987573563
02/2016,17048.657145171717
03/2016,17458.465044060667
04/2016,17595.403067664898
05/2016,18195.91750249647
06/2016,17927.716251052098
07/2016,18696.08357256162
08/2016,18724.0224007007
09/2016,18731.68052158081
10/2016,18607.60660032692
11/2016,19292.87247933338
12/2016,19890.674474974934
01/2017,20042.860480257474
02/2017,20809.58168429481
03/2017,20930.768201711933
04/2017,20883.471869060915
05/2017,20716.250321977128
06/2017,20491.73655858643
07/2017,20460.974126657264
08/2017,20335.553777886005
09/2017,20777.584669965025
10/2017,21585.280336289063
11/2017,21672.398701586302
12/2017,21666.423440338283
01/2018,21910.87842452237
02/2018,21426.60372031967
03/2018,20874.748812406186
04/2018,21431.727097396786
05/2018,22178.01021477138
06/2018,22176.68818405343
07/2018,22804.804672801223
08/2018,23173.959650070625
09/2018,23451.391537500836
10/2018,22096.5507452567
11/2018,22641.635295557273
12/2018,20798.67471306271
01/2019,22172.46554140546
02/2019,23048.516601816904
03/2019,23668.942192778923
04/2019,24614.521633481632
05/2019,23457.5279722701
06/2019,24617.572341811763
07/2019,25250.25333202992
08/2019,25213.051950630797
09/2019,26073.517674648014
10/2019,26259.24817018558
11/2019,27428.727508208776
12/2019,27533.20897697461
01/2020,27921.177986006765
02/2020,26029.826848006767
03/2020,23188.168702948766
04/2020,25741.89697578853
05/2020,26394.94583636509
06/2020,27008.587996061466
07/2020,26806.682214483466
08/2020,28538.903182416267
09/2020,28388.58942710207
10/2020,27379.031249665146
11/2020,29969.382102278632
12/2020,30489.105995593905
01/2021,30681.157161296353
02/2021,30859.05710304459
03/2021,33104.13707156261
04/2021,33452.86506598872
05/2021,33594.87416605169
06/2021,35044.860630828356
07/2021,35725.76425909186
08/2021,37032.532507472795
09/2021,36164.49364618982
10/2021,39059.140000720145
11/2021,39313.21856187953
12/2021,41227.212352758135
01/2022,38714.80047760186
02/2022,37459.90643331964
03/2022,39008.00873706396
04/2022,37532.95316016566
05/2022,36471.634519777996
06/2022,34429.816715706766
07/2022,38090.703528034785
08/2022,36913.56740869865
09/2022,34289.46526643941
10/2022,35973.06567651335
11/2022,37076.93739159584
12/2022,34352.59841865284
01/2023,36642.78329198755
02/2023,36718.079442132526
03/2023,36916.47316113415
04/2023,36865.45316246488
05/2023,37583.37659830853
06/2023,39430.08599657912
07/2023,40017.35980176456
08/2023,39430.29372902348
09/2023,38536.67240701447
10/2023,37006.15463610232
11/2023,39732.86498711907
12/2023,41353.91757573991
01/2024,42211.04983892678
02/2024,43429.517213174586
03/2024,44473.069468367474
04/2024,42915.5880631024
