Data,IE00BF0BCP69
03/2005,10000
04/2005,9420.4071269557
05/2005,9820.853306830195
06/2005,10182.054900633157
07/2005,10636.496797781116
08/2005,11339.537681459058
09/2005,12019.546096069798
10/2005,11280.551051266799
11/2005,11552.050582776477
12/2005,11890.797975601785
01/2006,11788.42532212108
02/2006,11274.935120530565
03/2006,11306.510325105077
04/2006,11654.4234504497
05/2006,11461.909458402237
06/2006,11419.932927562348
07/2006,11735.280047214172
08/2006,11237.031530461329
09/2006,10718.31113580927
10/2006,11193.460729616016
11/2006,11353.571214754013
12/2006,10855.267100288682
01/2007,11058.110891027565
02/2007,11206.856157953693
03/2007,11223.75512674791
04/2007,11112.698840648845
05/2007,11251.412259256043
06/2007,11050.023202657601
07/2007,11111.818868660568
08/2007,10708.457400728796
09/2007,11177.676639302808
10/2007,11334.384358929268
11/2007,10744.077917108036
12/2007,11271.01450955249
01/2008,11628.07155132978
02/2008,12799.351897775477
03/2008,11496.998108043425
04/2008,12113.492889801877
05/2008,12468.929588732692
06/2008,13381.060267609355
07/2008,11908.65701652983
08/2008,11696.273815836941
09/2008,10658.96911123086
10/2008,9405.826885291928
11/2008,8770.797357025187
12/2008,7659.957464122323
01/2009,7870.111302155492
02/2009,7622.643046687536
03/2009,7502.2059768061745
04/2009,7574.944234806175
05/2009,8059.507568429505
06/2009,7884.888477124446
07/2009,8136.385939264222
08/2009,8011.949564366737
09/2009,7930.888843349079
10/2009,8103.086699914474
11/2009,8262.721923170342
12/2009,8786.108780029539
01/2010,8402.088736420525
02/2010,8967.475042151455
03/2010,8914.62115909912
04/2010,9198.876088030745
05/2010,9262.125249574843
06/2010,9317.668712078126
07/2010,9369.518367338831
08/2010,9380.512990973379
09/2010,9346.98021567055
10/2010,9663.517808648096
11/2010,10264.377848074513
12/2010,11050.782331797745
01/2011,10891.137795828283
02/2011,10919.937596692625
03/2011,10851.607805245505
04/2011,10732.613672884745
05/2011,10524.714791010336
06/2011,9945.67814636888
07/2011,10377.443672124396
08/2011,10342.014861985612
09/2011,9435.197080358514
10/2011,9700.860971508546
11/2011,9896.470282412207
12/2011,9877.057172158231
01/2012,9937.877102521148
02/2012,10002.072954809188
03/2012,9649.608210884327
04/2012,9710.737544727963
05/2012,9399.927143576031
06/2012,9767.737745021033
07/2012,10657.121143120876
08/2012,10514.416744487176
09/2012,10428.606501243345
10/2012,9974.815960790076
11/2012,9984.158813246931
12/2012,9569.353151661291
01/2013,9539.833167784547
02/2013,9442.184086651012
03/2013,9745.435689829388
04/2013,9278.462589431203
05/2013,9115.31121451133
06/2013,8635.493047639207
07/2013,8623.37231995284
08/2013,8942.63164271759
09/2013,8538.783601787016
10/2013,8327.703063497169
11/2013,8278.473844369453
12/2013,8270.665262824285
01/2014,8462.906359174869
02/2014,8796.097125653416
03/2014,8847.204627250427
04/2014,9021.091367291086
05/2014,8916.99733205926
06/2014,8935.65742628428
07/2014,8666.311924458687
08/2014,8698.932604159912
09/2014,8548.485442222245
10/2014,8518.702411715272
11/2014,8197.795278492844
12/2014,7784.803978334143
01/2015,8080.592227752169
02/2015,8335.5867879928
03/2015,8259.960801726063
04/2015,8377.340938251547
05/2015,8332.240208212625
06/2015,8309.13412679373
07/2015,7576.263470156676
08/2015,7339.656306208466
09/2015,7095.506308698826
10/2015,7182.194354156195
11/2015,6935.942412779422
12/2015,6530.906003397108
01/2016,6400.949611296262
02/2016,6314.612492287599
03/2016,6268.885767436385
04/2016,6790.911662439785
05/2016,6928.783095437212
06/2016,7247.827573359873
07/2016,6869.819496318274
08/2016,6736.302708294868
09/2016,6928.20894040033
10/2016,7028.9979791674305
11/2016,7330.258783052843
12/2016,7527.892226839234
01/2017,7387.170935267255
02/2017,7512.045799163121
03/2017,7247.112738885222
04/2017,6980.688939266989
05/2017,6708.50395027711
06/2017,6582.819480118794
07/2017,6550.001524585554
08/2017,6521.044511598045
09/2017,6520.857658339612
10/2017,6756.204398395006
11/2017,6604.430892311498
12/2017,6719.230862471976
01/2018,6596.441549941149
02/2018,6610.651500011785
03/2018,6511.721550175676
04/2018,6812.9445599231985
05/2018,7132.854103750677
06/2018,6906.767725551671
07/2018,6713.5947403734335
08/2018,6642.311531781
09/2018,6812.42664827713
10/2018,6816.6931975011075
11/2018,6752.651742150471
12/2018,6236.908993839315
01/2019,6554.101636988721
02/2019,6661.191802400379
03/2019,6755.737416827903
04/2019,6736.444471659145
05/2019,6548.443894379937
06/2019,6587.831100059937
07/2019,6677.4229050431295
08/2019,6589.517011853888
09/2019,6755.999192511181
10/2019,6727.97889352716
11/2019,6657.662205717647
12/2019,6835.38596363082
01/2020,6436.096625614244
02/2020,6152.721381578495
03/2020,5374.237942126571
04/2020,5329.802085883894
05/2020,5430.285690017457
06/2020,5523.052028828297
07/2020,5517.184202309108
08/2020,5844.191787581506
09/2020,5759.66070569857
10/2020,5845.061074422612
11/2020,5907.350464907404
12/2020,6053.177951728771
01/2021,6280.6389027607
02/2021,6694.326613883486
03/2021,6770.9661126592
04/2021,7114.7977697678525
05/2021,7236.965183271796
06/2021,7566.681989810492
07/2021,7700.2616571800045
08/2021,7713.430054547914
09/2021,8274.635526121621
10/2021,8439.30832113332
11/2021,8015.289702907844
12/2021,8323.863612627245
01/2022,9191.795811957654
02/2022,9725.648088350044
03/2022,10658.550080654863
04/2022,11689.334269151173
05/2022,11674.77979197142
06/2022,10742.038187611295
07/2022,11406.471333823312
08/2022,11641.122804619798
09/2022,10972.122685978315
10/2022,11001.860248599074
11/2022,10798.547453441191
12/2022,10246.450627512851
01/2023,10037.567523551625
02/2023,9757.739344210362
03/2023,9507.207612481548
04/2023,9343.44087743311
05/2023,9061.49193703701
06/2023,9267.473541767333
07/2023,9706.041762977358
08/2023,9767.665059040835
09/2023,9949.498299096758
10/2023,9951.169890766669
11/2023,9448.225026636785
12/2023,9093.848040975952
01/2024,9308.30596219483
02/2024,9179.700977627821
03/2024,9495.392821719961
04/2024,9834.460767569477
