Data,IE00BF0M2Z96
05/2012,10000
06/2012,10171.447580926106
07/2012,10144.002327301863
08/2012,9901.318180655086
09/2012,9870.73847896146
10/2012,9762.797737392344
11/2012,9878.08677950092
12/2012,10382.002054313012
01/2013,10676.375425126576
02/2013,11157.042735517729
03/2013,11417.473005496176
04/2013,11730.670277195642
05/2013,12822.658254419523
06/2013,12293.346977184452
07/2013,12840.590652450472
08/2013,12898.307167378236
09/2013,13968.28033546133
10/2013,14144.813993197988
11/2013,14061.05071436069
12/2013,14207.330039353237
01/2014,14177.409355365764
02/2014,14953.576417152695
03/2014,14613.581859680531
04/2014,14129.87165256618
05/2014,14506.974208898178
06/2014,15343.400713954898
07/2014,15567.44372104924
08/2014,15765.210170543574
09/2014,15825.71664848646
10/2014,15138.2798552497
11/2014,15417.74017873945
12/2014,15208.888609052536
01/2015,16386.77192478135
02/2015,17704.063808418658
03/2015,18202.557696849675
04/2015,18823.037701934456
05/2015,19204.621874409244
06/2015,18383.064993408272
07/2015,17822.470205500704
08/2015,16376.659754840503
09/2015,15787.845716554968
10/2015,17646.869432633735
11/2015,18558.815602349707
12/2015,17735.88793047977
01/2016,15930.297733633872
02/2016,16175.86182009312
03/2016,17082.921477970893
04/2016,17624.748886378376
05/2016,18833.226490140783
06/2016,18657.064027664
07/2016,19806.798083155503
08/2016,20041.37346462025
09/2016,19999.564053900183
10/2016,20443.953705691154
11/2016,20924.206618388394
12/2016,21269.810571311424
01/2017,21829.582103373516
02/2017,22353.74511190078
03/2017,22959.543372882934
04/2017,22869.141118467025
05/2017,23052.154835968377
06/2017,22684.41815408127
07/2017,22637.76331822335
08/2017,23176.12651624216
09/2017,24877.304627249294
10/2017,25621.745755341508
11/2017,25335.956293009105
12/2017,25256.30034225644
01/2018,25165.990395511784
02/2018,24360.30905327199
03/2018,23095.566386701114
04/2018,23553.82522239689
05/2018,24035.07674945414
06/2018,23630.778079109
07/2018,23771.955856456832
08/2018,23871.823184190733
09/2018,24263.345371396506
10/2018,22862.618317535074
11/2018,23118.935074517798
12/2018,20945.17346243919
01/2019,22312.01511778274
02/2019,22880.85241567287
03/2019,22514.880342271535
04/2019,23467.353815873175
05/2019,21559.57740763055
06/2019,22599.658733357363
07/2019,23004.19511693849
08/2019,21614.810191487715
09/2019,22753.833349898166
10/2019,23428.689263300348
11/2019,24430.03877495838
12/2019,25045.72437663735
01/2020,25939.614941346954
02/2020,24098.685395321143
03/2020,20388.923553028228
04/2020,22908.356729700794
05/2020,24114.027641204662
06/2020,25797.270285784034
07/2020,26617.919615093484
08/2020,29808.551816654395
09/2020,29285.240880118785
10/2020,30352.906467582052
11/2020,38086.78928427573
12/2020,41248.40016644274
01/2021,42741.975875178054
02/2021,44008.874814701885
03/2021,46585.05050734872
04/2021,47496.678154293506
05/2021,47277.05664843326
06/2021,48786.78010629728
07/2021,49018.746623152205
08/2021,49684.587909265065
09/2021,49676.174014599936
10/2021,51334.010757930955
11/2021,50575.35715093786
12/2021,51561.293059936535
01/2022,49994.010932264304
02/2022,48731.25545875884
03/2022,49972.35412635811
04/2022,48182.50448544961
05/2022,49198.60476688428
06/2022,43815.180972106
07/2022,49009.23305463401
08/2022,50618.701490490814
09/2022,47043.96215986118
10/2022,49542.93095004825
11/2022,52378.668217798695
12/2022,46895.43096764994
01/2023,52426.63262257087
02/2023,52370.46572170702
03/2023,51791.84435411708
04/2023,50304.97137802095
05/2023,53143.1948183083
06/2023,57234.143651989565
07/2023,56109.64199841399
08/2023,53154.83815089611
09/2023,50798.04761122332
10/2023,44528.1609428231
11/2023,46871.972005900774
12/2023,49008.25363779514
01/2024,46041.824296962775
02/2024,49197.200593465954
03/2024,51250.29852524743
04/2024,52052.01766412328
