Data,IE00BF11F565
03/2009,10000
04/2009,10291.975533172754
05/2009,10530.657732160982
06/2009,10763.874779981454
07/2009,11133.666628449182
08/2009,11260.364469186812
09/2009,11430.088302479879
10/2009,11526.417006896037
11/2009,11626.0769070805
12/2009,11619.430969208417
01/2010,11806.466483703687
02/2010,11872.409986522125
03/2010,11992.785606230915
04/2010,12060.01994223122
05/2010,11992.82063383712
06/2010,12019.043392349477
07/2010,12162.827360404124
08/2010,12391.200026646056
09/2010,12354.882737935284
10/2010,12346.780120637806
11/2010,12177.547297426876
12/2010,12146.653052158883
01/2011,12091.606949602048
02/2011,12186.893620806179
03/2011,12144.60628835292
04/2011,12262.659763647309
05/2011,12371.954456082387
06/2011,12315.573589481637
07/2011,12459.688001400005
08/2011,12296.37014536775
09/2011,12145.4241413547
10/2011,12375.836240939492
11/2011,11994.867514440997
12/2011,12302.506564903735
01/2012,12661.994710395425
02/2012,12890.007632122977
03/2012,12997.862426793075
04/2012,13011.326538620251
05/2012,13025.513144125243
06/2012,12993.440761477035
07/2012,13307.974272811201
08/2012,13444.357070785476
09/2012,13545.548868182974
10/2012,13697.470127385575
11/2012,13812.254717431999
12/2012,13947.108964839
01/2013,13775.748244990637
02/2013,13948.052828693579
03/2013,14017.780700650197
04/2013,14208.854372222922
05/2013,14180.399135864402
06/2013,13944.9235188202
07/2013,14060.615616723213
08/2013,14029.145643218766
09/2013,14120.888201786174
10/2013,14280.885568376203
11/2013,14313.23783176147
12/2013,14249.2183493599
01/2014,14440.681694537956
02/2014,14519.557580459374
03/2014,14578.218818108266
04/2014,14709.956191068475
05/2014,14838.77420216166
06/2014,14919.751994433931
07/2014,14991.358719990974
08/2014,15162.31633446089
09/2014,15186.536399341318
10/2014,15250.178259114156
11/2014,15333.67559428422
12/2014,15414.826193561157
01/2015,15553.919006018785
02/2015,15641.833326316006
03/2015,15616.648603399875
04/2015,15536.478117141609
05/2015,15463.421914107283
06/2015,15156.01762332813
07/2015,15342.751170736155
08/2015,15217.647649682625
09/2015,15108.684585305255
10/2015,15323.50618555879
11/2015,15425.88976965439
12/2015,15297.392422260924
01/2016,15385.606172112175
02/2016,15453.515642443715
03/2016,15666.549885751714
04/2016,15705.68813330083
05/2016,15756.621470852078
06/2016,15905.116229552774
07/2016,16169.267806362182
08/2016,16204.904495909306
09/2016,16190.326718489558
10/2016,16069.207667720906
11/2016,15890.526948998742
12/2016,15988.67117456124
01/2017,15895.790007357864
02/2017,16084.577723158738
03/2017,16023.506402313527
04/2017,16107.16749512582
05/2017,16164.828999840744
06/2017,16072.377595222546
07/2017,16195.021927495181
08/2017,16281.308058567734
09/2017,16245.561569154146
10/2017,16422.327535683307
11/2017,16391.34473302442
12/2017,16341.707473327526
01/2018,16295.211178551608
02/2018,16288.803143370984
03/2018,16269.207168658355
04/2018,16273.336261698323
05/2018,16230.564012795474
06/2018,16220.396104803132
07/2018,16262.819827972377
08/2018,16262.095339415173
09/2018,16212.771929063569
10/2018,16180.696970080162
11/2018,16073.982883823408
12/2018,16104.828131350536
01/2019,16277.11685532811
02/2019,16386.29276228657
03/2019,16611.19045980712
04/2019,16727.756422877836
05/2019,16699.218271364163
06/2019,16960.99439359275
07/2019,17200.48295284292
08/2019,17307.171107323888
09/2019,17171.97167835564
10/2019,17133.336178653262
11/2019,17087.493147842208
12/2019,17075.820188019166
01/2020,17270.358006793944
02/2020,17198.276161394628
03/2020,16017.363508663238
04/2020,16612.48770830276
05/2020,16638.58750375406
06/2020,16855.27793444184
07/2020,17106.084571375835
08/2020,17133.1930131175
09/2020,17182.51520387326
10/2020,17312.927686410287
11/2020,17487.792415960783
12/2020,17514.08374044255
01/2021,17490.5224303229
02/2021,17352.184680338152
03/2021,17385.824836401076
04/2021,17385.811422128754
05/2021,17359.317826661365
06/2021,17428.210107773262
07/2021,17624.112479936084
08/2021,17549.433845907715
09/2021,17433.437559262133
10/2021,17301.16109863668
11/2021,17331.996281200267
12/2021,17310.28498215828
01/2022,17078.698791915733
02/2022,16646.42974750518
03/2022,16443.61766388262
04/2022,15990.153933313002
05/2022,15790.792272269753
06/2022,15237.710325488883
07/2022,15951.420590995616
08/2022,15274.197224805594
09/2022,14764.235777607208
10/2022,14777.129055844112
11/2022,15189.719351370633
12/2022,14917.929949366006
01/2023,15246.880921997514
02/2023,15024.072104568771
03/2023,15171.608447725854
04/2023,15275.225447418876
05/2023,15298.634309307565
06/2023,15228.598673727915
07/2023,15385.984557157954
08/2023,15407.540906759239
09/2023,15272.634510074457
10/2023,15331.555937074514
11/2023,15681.753925118168
12/2023,16107.234601014474
01/2024,16126.542060506268
02/2024,15981.53351584727
03/2024,16174.120958930629
04/2024,16034.396898899993
