Data,IE00BF4J0300
03/2005,10000
04/2005,9414.569839090173
05/2005,9339.817647651085
06/2005,9494.921409292161
07/2005,9918.803654126545
08/2005,10665.48850532
09/2005,11159.6782294588
10/2005,10456.185787398537
11/2005,10480.816929682926
12/2005,10813.035413782347
01/2006,11010.860362377865
02/2006,10319.205581925187
03/2006,10546.910243143644
04/2006,11259.61343502419
05/2006,11365.177903733349
06/2006,11186.289554090012
07/2006,11543.179056381112
08/2006,11124.953758510372
09/2006,10452.83832442535
10/2006,10946.480473160176
11/2006,11543.055626313611
12/2006,11010.483294370879
01/2007,11031.422777784246
02/2007,11400.81011673356
03/2007,11509.635980503515
04/2007,11640.49470706267
05/2007,11653.231808193605
06/2007,11488.019329716717
07/2007,11724.216411200807
08/2007,11296.096655840554
09/2007,12198.071280008711
10/2007,12601.98903730848
11/2007,12204.3879546426
12/2007,12767.331101782987
01/2008,13304.168428706262
02/2008,14935.80687914408
03/2008,13985.563529267965
04/2008,14480.93984561365
05/2008,14874.058739591916
06/2008,16224.541849006497
07/2008,14297.873241808615
08/2008,13253.70121122633
09/2008,11723.12048945272
10/2008,9225.662864085161
11/2008,8581.871611452842
12/2008,8195.209959073109
01/2009,7753.227111216336
02/2009,7408.057626444348
03/2009,7673.391649769809
04/2009,7727.999487032354
05/2009,8731.588892147774
06/2009,8563.569753036976
07/2009,8838.573398516262
08/2009,8785.23630502317
09/2009,8921.782803368249
10/2009,9212.573014632264
11/2009,9534.937851253026
12/2009,9721.738097867363
01/2010,9012.106355770406
02/2010,9345.103946634845
03/2010,9227.017004328742
04/2010,9404.681489486245
05/2010,8751.683139514831
06/2010,8777.752354329737
07/2010,9370.52116421471
08/2010,9130.186640845788
09/2010,9791.464258145681
10/2010,10277.359182882912
11/2010,10238.825912506541
12/2010,11331.239795003943
01/2011,11442.532510328105
02/2011,11590.931560249222
03/2011,11828.138464580239
04/2011,12235.315189827601
05/2011,11613.815310605505
06/2011,11025.8753816842
07/2011,11350.062201516786
08/2011,11461.192242237168
09/2011,9770.02453755151
10/2011,10414.899192820372
11/2011,10181.651268001235
12/2011,9798.114868115545
01/2012,10038.310684551205
02/2012,10307.15937999207
03/2012,9878.807355562307
04/2012,9834.938498727122
05/2012,8935.047026102058
06/2012,9423.998907509942
07/2012,10031.442279123838
08/2012,10159.858232252649
09/2012,10331.111784346871
10/2012,9928.941918994544
11/2012,9932.1422204772
12/2012,9671.248802747705
01/2013,9900.866035900282
02/2013,9494.26821321871
03/2013,9556.624858890504
04/2013,9287.72625516191
05/2013,9077.640760332404
06/2013,8648.061306342592
07/2013,8764.03700682431
08/2013,9060.458169649219
09/2013,8827.122888562735
10/2013,8694.958353000315
11/2013,8623.894227297464
