Data,IE00BF4NQ904
08/2017,10000
09/2017,9992.149055564969
10/2017,10613.85429592207
11/2017,10362.755141954809
12/2017,10453.254873794043
01/2018,11055.152269643235
02/2018,10460.372141400521
03/2018,10058.845982667186
04/2018,9821.677379490533
05/2018,10024.326330483316
06/2018,9058.308286540643
07/2018,8870.350909716415
08/2018,8425.302212184235
09/2018,8741.4270468561
10/2018,8081.409708168515
11/2018,8122.376283945302
12/2018,7831.003652840075
01/2019,8524.034409769474
02/2019,9730.065441726672
03/2019,10363.503683133978
04/2019,10462.047400297999
05/2019,9534.685367197055
06/2019,9959.369324290852
07/2019,10247.000498005753
08/2019,9941.889339005207
09/2019,10118.42601644663
10/2019,10202.784053016725
11/2019,10242.513757725337
12/2019,10836.785438361245
01/2020,10813.378978854966
02/2020,10837.340075149445
03/2020,10082.475203796723
04/2020,10853.862724874221
05/2020,10387.50526976798
06/2020,11403.857662011334
07/2020,12394.698496886465
08/2020,12886.136951706141
09/2020,12568.674647116894
10/2020,12988.602949679565
11/2020,13464.0581393522
12/2020,14165.430856427978
01/2021,14859.772964954047
02/2021,14651.94687062701
03/2021,14193.638273254444
04/2021,14357.922693523173
05/2021,15105.135031726695
06/2021,15279.674981303866
07/2021,14263.201267708195
08/2021,14488.80790025104
09/2021,14985.489183384436
10/2021,15200.51300123876
11/2021,15529.475989784083
12/2021,15791.779537287615
01/2022,14617.81490320213
02/2022,14933.381223070299
03/2022,13757.515596563928
04/2022,13085.534966398358
05/2022,13227.894363255644
06/2022,14942.614632854882
07/2022,14272.940093672709
08/2022,14010.673870771127
09/2022,13005.50911314434
10/2022,11569.872729046507
11/2022,12487.90137854699
12/2022,12387.026745839628
01/2023,13353.722661289105
02/2023,13017.717808879437
03/2023,12706.771866939995
04/2023,12322.124065209639
05/2023,11648.80054681325
06/2023,11352.804089230422
07/2023,11942.37004130551
08/2023,11146.32761483277
09/2023,11226.666534785867
10/2023,10766.111803004042
11/2023,10602.782094827693
12/2023,10314.084967359826
01/2024,9637.919018739258
02/2024,10608.377494119872
03/2024,10608.623555717277
04/2024,10959.630705537344
