Data,IE00BFM6T921
08/2006,10000
09/2006,10326.771186621312
10/2006,10774.761008773083
11/2006,10928.557621901038
12/2006,11218.99814604441
01/2007,11957.538406575248
02/2007,11696.644198966811
03/2007,11575.207207681891
04/2007,11431.251064943106
05/2007,11683.168893043605
06/2007,10836.93163886324
07/2007,10195.5862323038
08/2007,10599.693254363228
09/2007,10868.947117581334
10/2007,10947.728196272114
11/2007,9992.425736966647
12/2007,9632.31614199293
01/2008,9112.744225084623
02/2008,8743.693151823256
03/2008,8486.753973045174
04/2008,9083.837243117585
05/2008,8912.373078506293
06/2008,7824.896067694286
07/2008,7965.75847771452
08/2008,8398.947481849444
09/2008,8097.939126011293
10/2008,6319.149925110132
11/2008,5331.697476813873
12/2008,5375.9055362339095
01/2009,5095.600069601888
02/2009,4307.876570037112
03/2009,4376.747830364253
04/2009,5330.951991185464
05/2009,5530.891309302752
06/2009,5524.448702097127
07/2009,6065.51251004655
08/2009,6518.401323493982
09/2009,6848.967129180572
10/2009,6665.057134078847
11/2009,6731.049397822376
12/2009,7325.172463202487
01/2010,7162.300786077368
02/2010,7543.020882293093
03/2010,8140.154742306889
04/2010,8508.021473046605
05/2010,8501.185549581201
06/2010,8374.035853625457
07/2010,8651.388311154664
08/2010,8815.516364030997
09/2010,8903.350166155944
10/2010,9078.9750262123
11/2010,9299.243489809862
12/2010,9557.656082704152
01/2011,9491.23091307331
02/2011,9708.927126220544
03/2011,9438.263376660214
04/2011,9508.05243935042
05/2011,9858.723522401024
06/2011,9513.968355818333
07/2011,9636.753372153458
08/2011,9154.560143797711
09/2011,8570.049343934603
10/2011,9275.78740767713
11/2011,9199.187256384921
12/2011,9707.815792563102
01/2012,10216.698778936468
02/2012,10268.551157634716
03/2012,10428.20255434606
04/2012,10777.01416812483
05/2012,10845.576379197832
06/2012,11206.945262109364
07/2012,11991.227488092989
08/2012,11742.92060995522
09/2012,11600.473384917468
10/2012,11597.03999915752
11/2012,11665.575987959857
12/2012,11830.035707892344
01/2013,11910.211993448822
02/2013,12399.767368226003
03/2013,12799.688696632717
04/2013,13245.279641151172
05/2013,12556.859283154507
06/2013,12101.017130994773
07/2013,11980.840927422938
08/2013,11430.784380909034
09/2013,11706.853519975059
10/2013,12015.930010425318
11/2013,11510.126491171466
12/2013,11322.850859009162
01/2014,11702.076215040179
02/2014,12016.716981388565
03/2014,12044.398251255103
04/2014,12410.511704945102
05/2014,12971.051960183238
06/2014,13083.489952040793
07/2014,13464.277086040549
08/2014,13961.365396268031
09/2014,13621.268182462934
10/2014,14675.83341393531
11/2014,14965.130494064997
12/2014,15538.168982959078
01/2015,17635.10711080844
02/2015,17464.538537411754
03/2015,18157.031750249902
04/2015,17042.40346876758
05/2015,17160.816866886285
06/2015,16245.377742824185
07/2015,16971.000131025106
08/2015,15704.793921593528
09/2015,16009.476936447434
10/2015,17119.369895499276
11/2015,17552.59561796714
12/2015,17250.384427943492
01/2016,16517.086444710705
02/2016,16679.426496150034
03/2016,17504.501755842903
04/2016,17388.804867930823
05/2016,17799.681153290898
06/2016,18701.872407457082
07/2016,19651.84691647901
08/2016,19077.058828045934
09/2016,18820.27798550581
10/2016,18009.215953884377
11/2016,17968.57170715596
12/2016,18691.0787128358
01/2017,18409.442482984232
02/2017,19273.658820241224
03/2017,18832.87814641585
04/2017,18564.13864206744
05/2017,18196.59734980239
06/2017,18020.24906954024
07/2017,17881.091430202225
08/2017,17793.520254064988
09/2017,17729.463738770868
10/2017,17834.06285524286
11/2017,18037.770071621577
12/2017,18050.217097478246
01/2018,17258.725541525488
02/2018,16420.697993690203
03/2018,16664.876125080984
04/2018,17286.716645535227
05/2018,18199.866524172325
06/2018,18547.220187506053
07/2018,18599.19186316273
08/2018,18942.55302635208
09/2018,18604.820316865847
10/2018,18328.57445267846
11/2018,18940.22463745839
12/2018,17714.311295573472
01/2019,19581.345450302542
02/2019,19684.68427531356
03/2019,20671.56526361972
04/2019,20469.755384440003
05/2019,20480.78961381606
06/2019,20383.99811242695
07/2019,20884.08968480277
08/2019,21456.61437378081
09/2019,22232.446322714575
10/2019,22244.964382514187
11/2019,22302.09395937221
12/2019,21895.152911473066
01/2020,22353.83599545852
02/2020,20682.945669845627
03/2020,15934.811964222106
04/2020,17183.837699496544
05/2020,16778.963280551856
06/2020,17172.22527112487
07/2020,16687.330919864973
08/2020,16946.97253653533
09/2020,16681.483663854582
10/2020,16132.84198249151
11/2020,17813.101449565565
12/2020,18020.29749262131
01/2021,18082.334204354695
02/2021,18761.429311161755
03/2021,19952.747939846115
04/2021,20622.2891763653
05/2021,20767.9002563821
06/2021,21497.033822567086
07/2021,22319.89797278903
08/2021,22697.65926437566
09/2021,21854.383615619157
10/2021,22894.43591142272
11/2021,22874.60602078292
12/2021,24319.166297475895
01/2022,23400.735389298803
02/2022,22801.13719588442
03/2022,23953.952753136462
04/2022,23645.922172939707
05/2022,22605.166697884255
06/2022,21323.96640624226
07/2022,23320.36097272318
08/2022,22244.328002720547
09/2022,20040.551223442464
10/2022,20286.688694366912
11/2022,20556.333925395356
12/2022,19465.899128751247
01/2023,20851.84989569789
02/2023,20342.95867139211
03/2023,19148.940220594235
04/2023,19318.912646362005
05/2023,18891.615706097768
06/2023,19107.374785547625
07/2023,19519.495728804322
08/2023,19131.99826629413
09/2023,18416.586821947887
10/2023,17441.526761699388
11/2023,18700.389134940335
12/2023,20335.61774154055
01/2024,19806.34881962681
02/2024,19636.391861056753
03/2024,20368.91891558463
04/2024,19410.122846938262
