Data,IE00BFMNHK08
11/2010,10000
12/2010,10456.74280945966
01/2011,10573.831753109302
02/2011,10720.694923147554
03/2011,10360.067933178756
04/2011,10694.170499900987
05/2011,10740.906807608406
06/2011,10427.009760441071
07/2011,10280.679334747088
08/2011,9205.006191873172
09/2011,8895.751768128704
10/2011,9564.376768671791
11/2011,9510.736277805725
12/2011,9745.754435549641
01/2012,9933.168067823108
02/2012,10410.803360312128
03/2012,10472.524674784188
04/2012,10432.788152548948
05/2012,9826.603019530901
06/2012,10424.281080735502
07/2012,10854.442307668252
08/2012,10999.95204581257
09/2012,11020.521674344931
10/2012,11109.207709452407
11/2012,11441.213981557097
12/2012,11571.43207172949
01/2013,11983.38038988293
02/2013,12071.543312548565
03/2013,12438.384618883745
04/2013,12823.43837259122
05/2013,12852.24983093813
06/2013,12235.457523883157
07/2013,12911.398908787343
08/2013,12760.722323220185
09/2013,13349.892941856655
10/2013,13758.456620040473
11/2013,14001.85355673527
12/2013,14099.733363853733
01/2014,13767.262985601916
02/2014,14512.34001249264
03/2014,14365.033642140648
04/2014,14554.539456335224
05/2014,14971.565524832326
06/2014,14853.359505628823
07/2014,14633.403059515358
08/2014,14883.767589470419
09/2014,15058.510596860835
10/2014,14865.097473377471
11/2014,15391.828210458747
12/2014,15150.199968573792
01/2015,16464.131340425793
02/2015,17435.019530828642
03/2015,17833.840324756617
04/2015,17904.179123746893
05/2015,18198.756713934417
06/2015,17313.032537057425
07/2015,18327.746104951177
08/2015,16688.284747855574
09/2015,15988.66946516656
10/2015,17342.05934607255
11/2015,17824.793008089102
12/2015,17037.253508105565
01/2016,15949.750878337754
02/2016,15650.21738835405
03/2016,15810.363587012733
04/2016,16123.39615892372
05/2016,16612.519285423386
06/2016,15832.135642691523
07/2016,16407.277367140727
08/2016,16359.98273412193
09/2016,16425.09378038749
10/2016,16057.879983925439
11/2016,16063.911187103005
12/2016,16959.71570850981
01/2017,16894.415629000316
02/2017,17416.826377465815
03/2017,18006.764535647053
04/2017,18281.36745452748
05/2017,18677.388819209926
06/2017,18131.68614488592
07/2017,18162.845089132486
08/2017,17985.884262807074
09/2017,18509.987673688218
10/2017,18715.97193108665
11/2017,18443.59180774726
12/2017,18363.967122769864
01/2018,18658.51675130163
02/2018,17884.44966626637
03/2018,17603.253736309573
04/2018,18412.30230574048
05/2018,18302.352209120963
06/2018,18340.931523356947
07/2018,18855.859256534164
08/2018,18699.233519217698
09/2018,18789.449031364216
10/2018,17701.380840004815
11/2018,17651.35530644026
12/2018,16685.456317853772
01/2019,17607.226031053986
02/2019,18303.816874625947
03/2019,18675.552922989555
04/2019,19380.747760875616
05/2019,18494.98196453
06/2019,19375.62099690283
07/2019,19253.236718785483
08/2019,19039.663340952353
09/2019,19985.082041264875
10/2019,20353.442069361663
11/2019,20942.42727282763
12/2019,21254.863168209264
01/2020,21133.29298205515
02/2020,19469.11062733547
03/2020,17052.066087189258
04/2020,18213.207527795457
05/2020,18622.729648137
06/2020,19399.641771761693
07/2020,19107.778936550643
08/2020,19711.3328939913
09/2020,19634.035663158214
10/2020,18333.34793023746
11/2020,20668.148008141994
12/2020,21181.021270972014
01/2021,21107.007143532595
02/2021,21419.769665938267
03/2021,22848.202204268873
04/2021,23159.081082962934
05/2021,23769.174944778573
06/2021,24245.727611137037
07/2021,24751.250748397717
08/2021,25531.656830790314
09/2021,24652.617657687282
10/2021,25654.539978330507
11/2021,25041.270852552338
12/2021,26711.25771166407
01/2022,25444.865720739203
02/2022,24331.46002748313
03/2022,24609.540395762146
04/2022,24329.596577902194
05/2022,23703.387210133027
06/2022,22400.485411938284
07/2022,24106.784708809297
08/2022,22728.248130470583
09/2022,21217.689997987287
10/2022,22223.208000470775
11/2022,23674.213448137456
12/2022,23039.18577018152
01/2023,24813.198106060507
02/2023,25074.997418897103
03/2023,25075.12122451209
04/2023,25858.720913370504
05/2023,25266.99369988422
06/2023,25863.349311057227
07/2023,26206.341639117643
08/2023,25461.51925628462
09/2023,25074.816212832935
10/2023,24025.80163982786
11/2023,25743.156917468765
12/2023,26882.42120510668
01/2024,27494.90349895738
02/2024,27960.67054010987
03/2024,28919.345378185415
04/2024,28861.445112799294
