Data,IE00BFNM3J75
05/2012,10000
06/2012,10343.784984643898
07/2012,10752.783431519281
08/2012,10749.070289080842
09/2012,10782.286873308103
10/2012,10638.202307476862
11/2012,10801.830922708465
12/2012,10838.97866778943
01/2013,11108.67461106275
02/2013,11508.381262015131
03/2013,12085.409723343773
04/2013,12216.705851387747
05/2013,12289.94369983116
06/2013,11941.965634972974
07/2013,12381.415197998009
08/2013,12165.784475040733
09/2013,12530.879915714992
10/2013,12893.661402838607
11/2013,13166.045812430086
12/2013,13273.644237412447
01/2014,13050.503363269394
02/2014,13421.339911899044
03/2014,13448.94241153299
04/2014,13521.660245008572
05/2014,14058.385680622578
06/2014,14244.561645965714
07/2014,14328.164468536097
08/2014,14866.51159806963
09/2014,15173.035685697583
10/2014,15357.521537418075
11/2014,15762.602925372852
12/2014,15941.821815599676
01/2015,16836.59841139423
02/2015,17966.875325615852
03/2015,18530.293532290943
04/2015,18169.24060423482
05/2015,18684.380183309062
06/2015,17919.354253794547
07/2015,18612.866672567903
08/2015,17001.089543485617
09/2015,16379.314971576223
10/2015,17978.11334527496
11/2015,18647.56198434328
12/2015,17823.628791902018
01/2016,16677.194680716602
02/2016,16606.289749802298
03/2016,16953.575032274537
04/2016,17161.6243297852
05/2016,17693.32939423569
06/2016,17506.697718242278
07/2016,18299.93833896779
08/2016,18323.98900894192
09/2016,18358.21979399784
10/2016,18326.837861803306
11/2016,19153.88566898135
12/2016,19777.433963839154
01/2017,19870.12143981001
02/2017,20734.329240156552
03/2017,20785.438855152446
04/2017,20653.032822860136
05/2017,20543.974181796653
06/2017,20316.410438535902
07/2017,20241.582203786227
08/2017,20093.680810420658
09/2017,20577.542981464954
10/2017,21271.265781676535
11/2017,21345.97657227404
12/2017,21363.493207611056
01/2018,21680.76625902644
02/2018,21239.47001404053
03/2018,20576.46857753064
04/2018,21216.46739561881
05/2018,22076.399701519917
06/2018,22144.51526038335
07/2018,22676.263423737913
08/2018,23228.08548719054
09/2018,23470.237545524902
10/2018,22196.53509273325
11/2018,22421.072089676112
12/2018,20522.670767862932
01/2019,22047.70554089247
02/2019,22817.37782114202
03/2019,23521.087492172046
04/2019,24462.921419628055
05/2019,23181.581054808234
06/2019,24224.458079372
07/2019,24875.179756484213
08/2019,24614.05551120741
09/2019,25475.020904204117
10/2019,25553.54810652227
11/2019,26696.875040648432
12/2019,26902.337240430286
01/2020,27177.717635792585
02/2020,25106.585026916742
03/2020,21884.07719793886
04/2020,24534.668256585042
05/2020,25173.935274031886
06/2020,25741.322663714524
07/2020,25556.085113206645
08/2020,27109.791390458813
09/2020,26691.888508448566
10/2020,25909.642660542966
11/2020,28511.49813627411
12/2020,29039.78799184455
01/2021,29098.99425944262
02/2021,29879.96533397704
03/2021,31861.798034164924
04/2021,32400.69518303175
05/2021,32531.98479816817
06/2021,33967.15173119273
07/2021,34559.981449953855
08/2021,35648.082991423566
09/2021,34923.88174677124
10/2021,36740.16120764131
11/2021,36874.36439621433
12/2021,38521.8922889245
01/2022,36882.85590253198
02/2022,35704.804761970685
03/2022,37009.02949566216
04/2022,35645.624085506475
05/2022,35052.74904902843
06/2022,33097.855091049394
07/2022,36471.75593177547
08/2022,35520.77087831126
09/2022,33074.04552515956
10/2022,34664.80842640664
11/2022,35493.06434576045
12/2022,32974.38421667575
01/2023,34900.538944450265
02/2023,34842.1701596378
03/2023,35130.388263714056
04/2023,35375.43569365101
05/2023,36248.6455491341
06/2023,37856.42230827079
07/2023,38585.54254817516
08/2023,38192.71455841926
09/2023,37461.77073882185
10/2023,36250.33100810291
11/2023,38725.48109682732
12/2023,40288.673338468136
01/2024,41656.328524234144
02/2024,43620.56516034191
03/2024,45012.32478150425
04/2024,43601.75917222239
