Data,IE00BFNM3N12
05/2012,10000
06/2012,10223.497734710085
07/2012,10665.773349691646
08/2012,10374.938996198365
09/2012,10718.34755079171
10/2012,10600.200436255458
11/2012,10790.04057608697
12/2012,11136.662297365463
01/2013,11025.168722106935
02/2013,11297.140560906995
03/2013,11391.699143625094
04/2013,11258.230056133509
05/2013,11078.136762535856
06/2013,10307.4656682516
07/2013,10260.777694265402
08/2013,10100.128869903647
09/2013,10535.75794824447
10/2013,10911.417215668198
11/2013,10776.638519364018
12/2013,10500.676701054681
01/2014,10076.957851036468
02/2014,10200.907783453373
03/2014,10489.742081841961
04/2014,10462.22222773164
05/2014,11007.492866370883
06/2014,11237.138280057181
07/2014,11661.811835878598
08/2014,12074.297531364546
09/2014,11816.155482233147
10/2014,12000.326910786007
11/2014,11938.4472268923
12/2014,11757.729198783849
01/2015,12739.543124716833
02/2015,13186.369208641721
03/2015,13614.559724584848
04/2015,14083.632865500622
05/2015,13916.043529643885
06/2015,13249.524202681645
07/2015,12550.199296996663
08/2015,11146.480092555876
09/2015,10881.084699186751
10/2015,11845.641677925923
11/2015,11887.875403285458
12/2015,11331.36852920838
01/2016,10540.412147107161
02/2016,10542.842205744326
03/2016,11351.701538766865
04/2016,11367.867843346596
05/2016,11218.85414507894
06/2016,11669.635174403124
07/2016,12228.843946874047
08/2016,12515.849643630923
09/2016,12653.164511239736
10/2016,12857.186055238433
11/2016,12609.641197404848
12/2016,12745.1280653458
01/2017,13150.614339924572
02/2017,13796.253800513827
03/2017,14041.094811703771
04/2017,14031.960662418085
05/2017,14060.884299108859
06/2017,13968.188782652529
07/2017,14358.62674451256
08/2017,14545.718673116837
09/2017,14533.382153173356
10/2017,15260.566659489015
11/2017,15056.013619962087
12/2017,15389.675057164952
01/2018,15994.368700173232
02/2018,15551.299702486542
03/2018,15155.73967564669
04/2018,15377.146823147932
05/2018,15366.204386940792
06/2018,14740.822276786548
07/2018,14901.086140664773
08/2018,14629.747082911412
09/2018,14571.315246616427
10/2018,13492.732994812315
11/2018,14058.330008784802
12/2018,13589.657582119902
01/2019,14696.917381653358
02/2019,14844.958520903068
03/2019,15210.939461507254
04/2019,15544.639806983709
05/2019,14507.509698052876
06/2019,15069.874994988742
07/2019,15192.017451840622
08/2019,14620.942115785425
09/2019,15090.667781487004
10/2019,15343.605522979333
11/2019,15581.18076765051
12/2019,16345.116770443086
01/2020,15862.24682813225
02/2020,15156.361817708881
03/2020,12774.574307489447
04/2020,14101.003104526895
05/2020,13868.333672314287
06/2020,14859.981713407351
07/2020,15312.497338047393
08/2020,15577.975399809704
09/2020,15652.28683351817
10/2020,15964.386881834458
11/2020,17024.44959334311
12/2020,17812.703875605894
01/2021,18539.62250717936
02/2021,18805.122841790766
03/2021,19177.60154235241
04/2021,19135.938562935295
05/2021,19351.72422576292
06/2021,19940.770209877872
07/2021,18689.056500722167
08/2021,19228.835013335265
09/2021,18912.998555481994
10/2021,18986.071119592878
11/2021,18675.450558115364
12/2021,19106.284500414495
01/2022,18932.158844835725
02/2022,18253.512711222204
03/2022,18074.06091866177
04/2022,17986.15329859368
05/2022,17688.079350969252
06/2022,16967.806993738042
07/2022,17273.05014104981
08/2022,17689.497309593393
09/2022,16018.051839325182
10/2022,15317.334394888429
11/2022,16722.587766228764
12/2022,16054.64588479743
01/2023,17053.677766330653
02/2023,16339.04180265184
03/2023,16396.487475594346
04/2023,16071.672136626376
05/2023,16339.371521233777
06/2023,16676.057745736693
07/2023,17447.501845185012
08/2023,16694.638160902232
09/2023,16649.142128536834
10/2023,15953.043076604388
11/2023,16766.19495830689
12/2023,17229.647324960973
01/2024,16787.032619763875
02/2024,17580.9196261591
03/2024,18013.329546352088
04/2024,18265.084067495078
