Data,IE00BFZXGZ54
07/2007,10000
08/2007,10298.279819004563
09/2007,10462.96201059322
10/2007,10991.39730438635
11/2007,10043.458063866536
12/2007,10051.126297387087
01/2008,8790.432256663273
02/2008,8173.536673336498
03/2008,8003.378259629274
04/2008,8758.94129148176
05/2008,9303.548693637613
06/2008,8274.825901560143
07/2008,8408.725060723706
08/2008,9024.20836717689
09/2008,7923.8356172586
10/2008,7445.9845760665785
11/2008,6641.7126412567095
12/2008,6202.953634031576
01/2009,6561.707760442486
02/2009,6303.918187703717
03/2009,6624.928540958962
04/2009,7475.827506890006
05/2009,7249.798159869761
06/2009,7438.35477224413
07/2009,8063.243908564838
08/2009,8099.3252635243825
09/2009,8343.935090044983
10/2009,8008.243971978343
11/2009,8363.143045065093
12/2009,9172.20672021102
01/2010,8859.892217050727
02/2010,9526.291447966187
03/2010,10317.576701437432
04/2010,10668.0746583871
05/2010,10701.887898245519
06/2010,10086.19778184484
07/2010,10171.82908049733
08/2010,9922.432623432485
09/2010,10403.65764214139
10/2010,10885.922259155233
11/2010,11578.501065148112
12/2010,11789.057300397752
01/2011,11831.229855834932
02/2011,12065.080134540873
03/2011,11688.37864841387
04/2011,11481.846448494138
05/2011,11807.21035173151
06/2011,11523.22082885669
07/2011,11864.594355294827
08/2011,11129.212398399217
09/2011,11382.153607482029
10/2011,12092.0596778198
11/2011,12285.145489206769
12/2011,12643.806518215264
01/2012,13452.486558721206
02/2012,14027.92208229926
03/2012,14829.927067576695
04/2012,14818.861740649978
05/2012,14650.034535339872
06/2012,14956.01771666052
07/2012,15485.601970221542
08/2012,15845.113639911391
09/2012,15607.00458712917
10/2012,14792.505844990123
11/2012,14895.295227713306
12/2012,14574.592491617772
01/2013,14565.743903936644
02/2013,15092.285975957007
03/2013,15930.1584969827
04/2013,15987.505158936627
05/2013,16616.086046055465
06/2013,16128.469496254149
07/2013,16882.58017130109
08/2013,16868.616308838165
09/2013,17309.60100140406
10/2013,17988.771368987946
11/2013,18646.795222364948
12/2013,18954.547099552776
01/2014,18963.790859284552
02/2014,19497.655611079696
03/2014,19005.589747980248
04/2014,18851.087331605122
05/2014,20043.19855522822
06/2014,20575.500455011374
07/2014,21241.769524991552
08/2014,22628.75774697029
09/2014,23528.75474895373
10/2014,24272.665945980367
11/2014,25431.07712425613
12/2014,25534.21497317468
01/2015,26856.67238830228
02/2015,28941.88057467121
03/2015,29517.20300742638
04/2015,28841.693116206654
05/2015,30144.644531311482
06/2015,28831.599641694476
07/2015,30703.975308753514
08/2015,28000.05766263583
09/2015,27418.561409855152
10/2015,31004.616565107088
11/2015,32438.74536098027
12/2015,31041.300303555025
01/2016,28833.367028205532
02/2016,28429.273101742638
03/2016,29016.35664992625
04/2016,28054.1898278703
05/2016,29929.301091827016
06/2016,29365.433341417025
07/2016,31416.012001623323
08/2016,31672.361021041685
09/2016,32284.432297119583
10/2016,32417.515506403968
11/2016,33478.11504117936
12/2016,34150.45313635161
01/2017,35214.11543781977
02/2017,37270.84241647685
03/2017,37683.48229522919
04/2017,37861.25361449541
05/2017,38272.69796794301
06/2017,36714.340966553355
07/2017,37205.141381600224
08/2017,37616.51089085028
09/2017,37619.699402530896
10/2017,39884.986188370596
11/2017,39950.57282956385
12/2017,39661.03426979468
01/2018,41490.679749215065
02/2018,41771.05132433374
03/2018,39761.86977172883
04/2018,40710.22563318854
05/2018,44384.19873690533
06/2018,45009.86998653479
07/2018,45927.443416356335
08/2018,49006.30422565652
09/2018,49159.33221939668
10/2018,45927.53697566706
11/2018,45690.652882182934
12/2018,41297.72993509179
01/2019,44914.748260319735
02/2019,46485.09075254429
03/2019,49116.112320091386
04/2019,51876.507582870545
05/2019,47847.96454705009
06/2019,50470.337783727286
07/2019,52704.196318588554
08/2019,52225.17517531676
09/2019,53344.36937616974
10/2019,54330.767675672
11/2019,57407.87766150468
12/2019,58332.33152082729
01/2020,61052.13492335083
02/2020,57882.12567150443
03/2020,53571.61619591935
04/2020,62166.03376982421
05/2020,64504.138622638675
06/2020,68201.17485739785
07/2020,69210.9923641719
08/2020,76307.34464514047
09/2020,73376.35844082387
10/2020,71091.0054629241
11/2020,77085.8634178652
12/2020,79060.6013033539
01/2021,80169.49472770703
02/2021,80197.43592548254
03/2021,84091.27780857241
04/2021,86403.6672721094
05/2021,84518.76103975566
06/2021,92290.54265722963
07/2021,94802.12388742674
08/2021,99259.65646277895
09/2021,95639.15088812335
10/2021,102612.1824341055
11/2021,107087.72037115926
12/2021,108671.9526476627
01/2022,100925.82589905441
02/2022,95914.03386167751
03/2022,100861.756095987
04/2022,92023.23352076329
05/2022,89091.83370845557
06/2022,83630.04862260846
07/2022,95881.9053409479
08/2022,92726.90222662136
09/2022,85052.7562068624
10/2022,86946.26575797351
11/2022,87688.67456302399
12/2022,77578.92807563845
01/2023,84501.49548857567
02/2023,85830.84594893733
03/2023,91763.94144250557
04/2023,91319.02156309654
05/2023,101068.9544414886
06/2023,105830.84866629919
07/2023,108292.36552162444
08/2023,108120.07017876672
09/2023,105302.74374183222
10/2023,102876.91125554204
11/2023,110683.82728600103
12/2023,115508.68232154063
01/2024,119961.81266840603
02/2024,126505.45790855872
03/2024,128184.40371745026
04/2024,123525.44053863516
