Data,IE00BG0J4C88
06/2012,10000
07/2012,9974.746237823369
08/2012,10126.705559798962
09/2012,10023.259795141314
10/2012,9214.450638369208
11/2012,9651.87775615196
12/2012,9985.071653393705
01/2013,10173.760080316599
02/2013,10441.15218187156
03/2013,10733.409540563316
04/2013,10146.892710273816
05/2013,10958.920299900044
06/2013,10572.25907813346
07/2013,11284.468892755014
08/2013,11043.096819538892
09/2013,11223.786421297369
10/2013,11047.434059396513
11/2013,11167.640627931649
12/2013,11649.799371384172
01/2014,11861.046009403759
02/2014,12269.289692287366
03/2014,12143.94623919543
04/2014,11582.714858954632
05/2014,12111.707503551497
06/2014,12521.595300250488
07/2014,12554.787233348055
08/2014,12967.023318220236
09/2014,13138.145949521917
10/2014,13361.29600077034
11/2014,13660.70774078517
12/2014,14197.170345637434
01/2015,14999.854354823812
02/2015,16335.883022929036
03/2015,17056.70045973226
04/2015,16539.658857170707
05/2015,17570.891836781673
06/2015,16804.217935513774
07/2015,16910.86783884317
08/2015,15627.170882783154
09/2015,15343.10199884127
10/2015,16514.722954892677
11/2015,17488.822501536444
12/2015,16620.87407162605
01/2016,15775.922496399378
02/2016,15781.469618353161
03/2016,16259.655038260113
04/2016,15891.105344359225
05/2016,16619.9656194307
06/2016,16276.257745345898
07/2016,17374.62823798063
08/2016,17642.567140451494
09/2016,17810.35790838603
10/2016,17732.604372975773
11/2016,18680.175178712772
12/2016,18727.506696602068
01/2017,19062.865912706893
02/2017,20107.88952599999
03/2017,20748.63891046286
04/2017,20396.343935413606
05/2017,20474.49204142129
06/2017,19999.783800433903
07/2017,19727.60482210864
08/2017,19758.430311384836
09/2017,20011.41890002628
10/2017,21202.16627909817
11/2017,21133.53955641872
12/2017,21199.541837271732
01/2018,21397.796346059407
02/2018,21817.93354751207
03/2018,21504.245672720954
04/2018,21831.92636918974
05/2018,22414.38534793723
06/2018,22053.01175955939
07/2018,22344.079405833974
08/2018,23102.32391880617
09/2018,22667.074232933348
10/2018,21110.095048122264
11/2018,21453.837367336462
12/2018,19994.975973052322
01/2019,21561.559429297213
02/2019,22765.346782956847
03/2019,23360.482908694124
04/2019,24480.630861396286
05/2019,22903.542598898384
06/2019,23685.036889946634
07/2019,24843.493829704894
08/2019,23818.62413277184
09/2019,24383.93306352471
10/2019,24614.652514033194
11/2019,26081.264342153867
12/2019,26088.437431635914
01/2020,26135.938152230006
02/2020,24470.240278708694
03/2020,21625.515950504137
04/2020,24402.307233401218
05/2020,25835.989348351017
06/2020,26149.50403829986
07/2020,26703.937529052047
08/2020,26831.387139921477
09/2020,26549.253143484602
10/2020,25525.446273320806
11/2020,28113.941894902313
12/2020,30283.794268994112
01/2021,31108.298115753496
02/2021,30039.00762391985
03/2021,31433.085167443707
04/2021,31793.152394951012
05/2021,31860.77643705454
06/2021,34072.531321196824
07/2021,34721.063365667425
08/2021,36385.15525377666
09/2021,35138.46566913859
10/2021,37066.519873089026
11/2021,37595.65643795706
12/2021,37914.01831986702
01/2022,34029.753420862486
02/2022,33542.32265269521
03/2022,34601.80884366551
04/2022,32957.42407323369
05/2022,31378.940037263103
06/2022,29725.659621377356
07/2022,32578.591569642733
08/2022,32734.30932269086
09/2022,30151.58938723472
10/2022,31794.86806957906
11/2022,31086.785713856745
12/2022,28804.182375859407
01/2023,30111.82910274088
02/2023,30971.77934381459
03/2023,31171.0978437181
04/2023,29177.831676736314
05/2023,32654.369283867098
06/2023,32562.954192776066
07/2023,33463.486019372845
08/2023,34333.29083781064
09/2023,33697.01549718849
10/2023,32019.656653674752
11/2023,34566.498083214276
12/2023,36539.01143172334
01/2024,37782.27750078523
02/2024,39277.95966877241
03/2024,38530.90137332035
04/2024,36849.86355763307
