Data,IE00BG0SKF03
12/2018,10000
01/2019,10932.370201925436
02/2019,10939.446026387539
03/2019,11025.687242601161
04/2019,11189.892835107516
05/2019,10521.309687857818
06/2019,11021.652678513714
07/2019,11046.238756705108
08/2019,10457.45050905183
09/2019,10951.79693009711
10/2019,11012.348770490948
11/2019,11192.750344843198
12/2019,11861.182240403476
01/2020,11246.773665517401
02/2020,10602.074560190147
03/2020,9160.068642616861
04/2020,9971.922917118558
05/2020,9642.393995028062
06/2020,10062.59258383654
07/2020,10266.601042978185
08/2020,10281.800437602924
09/2020,10344.48745021482
10/2020,10408.151049335871
11/2020,11301.85090953853
12/2020,11694.62251884525
01/2021,12233.341738759658
02/2021,12769.389799558912
03/2021,13444.063373889423
04/2021,13616.239236594236
05/2021,13653.646097526322
06/2021,13653.484292020396
07/2021,12916.808412658345
08/2021,13223.857511443493
09/2021,13071.505433531107
10/2021,12925.427593910748
11/2021,12734.434383424605
12/2021,13400.213051889925
01/2022,13535.623471815583
02/2022,13415.860420392288
03/2022,13305.525509954567
04/2022,13211.029931505542
05/2022,13227.145397025208
06/2022,12080.520399803665
07/2022,12440.689207652309
08/2022,12529.389779042584
09/2022,11367.538019097396
10/2022,11058.294192165155
11/2022,12291.619943671283
12/2022,11864.340547773865
01/2023,12568.915885603938
02/2023,12251.134348409465
03/2023,12254.612397876906
04/2023,12317.89320804493
05/2023,12332.447917711259
06/2023,12681.203419153859
07/2023,13298.570174206701
08/2023,12783.985634291075
09/2023,13156.066980830647
10/2023,12485.939909133422
11/2023,13133.971478134052
12/2023,13692.351040870679
01/2024,13559.2962040283
02/2024,14315.545216017326
03/2024,14606.993582237894
04/2024,15192.3197431912
