Data,IE00BG47KH54
05/2019,10000
06/2019,10119.250541076666
07/2019,10177.597217707984
08/2019,10396.28187004688
09/2019,10318.95211206322
10/2019,10277.445571615284
11/2019,10242.81307793783
12/2019,10191.652357524948
01/2020,10372.708190663847
02/2020,10484.121314470354
03/2020,10275.061690264452
04/2020,10439.018237711345
05/2020,10474.950298151452
06/2020,10537.540714738658
07/2020,10659.320111146873
08/2020,10572.389985031987
09/2020,10609.55438271036
10/2020,10603.752533421206
11/2020,10666.673089319713
12/2020,10681.971835071889
01/2021,10608.923326609613
02/2021,10423.552965326755
03/2021,10356.167537384159
04/2021,10373.95427621132
05/2021,10389.973811166274
06/2021,10445.11185854026
07/2021,10573.07754418696
08/2021,10541.727542228222
09/2021,10424.31103049103
10/2021,10385.458086128858
11/2021,10457.278268049376
12/2021,10392.243276034835
01/2022,10196.11466141253
02/2022,10037.192164686534
03/2022,9773.740782590821
04/2022,9444.522909199295
05/2022,9410.963267777193
06/2022,9228.430143475865
07/2022,9472.998924499114
08/2022,9160.911917558038
09/2022,8805.258951078009
10/2022,8741.5961734292
11/2022,8974.809722252625
12/2022,8829.137724326063
01/2023,9035.147070902043
02/2023,8841.424692167233
03/2023,9032.805876808323
04/2023,9062.084643117594
05/2023,8993.184080911637
06/2023,8960.770432159505
07/2023,8949.566492142283
08/2023,8913.091083193744
09/2023,8721.979019900986
10/2023,8642.061005238094
11/2023,8947.229781238048
12/2023,9240.632229274086
01/2024,9198.80348399277
02/2024,9101.66940874991
03/2024,9177.53172842031
04/2024,8993.665733392761
