Data,IE00BGHQ0G80
02/2014,10000
03/2014,10063.323643410853
04/2014,10095.942153084352
05/2014,10474.817780975452
06/2014,10634.03487674682
07/2014,10747.196310733345
08/2014,11156.356404684711
09/2014,11253.232036374327
10/2014,11423.4436216164
11/2014,11670.170588557457
12/2014,11788.640303659353
01/2015,12441.332642820124
02/2015,13211.389189936743
03/2015,13580.78862535607
04/2015,13391.115733870449
05/2015,13666.116485598137
06/2015,13127.927279568441
07/2015,13351.355470830278
08/2015,12328.231680906
09/2015,11858.246005739746
10/2015,12919.90491892435
11/2015,13399.719368876562
12/2015,12789.896192001857
01/2016,12062.971906268183
02/2016,11927.854499010831
03/2016,12213.0200453657
04/2016,12328.565118710056
05/2016,12697.058366982032
06/2016,12643.824057371792
07/2016,13100.410662696473
08/2016,13194.804729523312
09/2016,13153.53552072566
10/2016,13253.494514394673
11/2016,13797.012861551577
12/2016,14172.688159547977
01/2017,14208.224287420911
02/2017,14852.222261342602
03/2017,14933.287969442235
04/2017,14892.513088089752
05/2017,14737.184448985454
06/2017,14593.13450535486
07/2017,14508.407312598181
08/2017,14439.72857985877
09/2017,14799.354577751199
10/2017,15326.906395107595
11/2017,15261.298196217238
12/2017,15499.7266462422
01/2018,15674.066909806603
02/2018,15333.329222264761
03/2018,14867.208633109405
04/2018,15286.170879583064
05/2018,15838.425627059092
06/2018,15745.634295774342
07/2018,16182.528714147995
08/2018,16398.002073789772
09/2018,16494.40322093376
10/2018,15638.30364201375
11/2018,15874.50519111059
12/2018,14512.94303393519
01/2019,15704.305195274492
02/2019,16245.064355622173
03/2019,16677.933597855692
04/2019,17270.89689081531
05/2019,16335.352772462422
06/2019,17027.76625951877
07/2019,17463.300575764068
08/2019,17234.190694045792
09/2019,17771.458782726862
10/2019,17837.838778311736
11/2019,18485.434980801478
12/2019,18793.64149084076
01/2020,18821.562241678206
02/2020,17451.361018236523
03/2020,15107.98914212023
04/2020,16752.84130231717
05/2020,17210.57711818574
06/2020,17585.438234783436
07/2020,17582.569495739783
08/2020,18589.006163424245
09/2020,18201.3552970668
10/2020,17874.2414378726
11/2020,19547.146105706746
12/2020,19994.112904012563
01/2021,20040.758424190204
02/2021,20519.18708121636
03/2021,21752.920134496835
04/2021,22161.7699288227
05/2021,22226.961239117838
06/2021,23138.37487665087
07/2021,23294.52388496783
08/2021,23980.983006580176
09/2021,23412.4279230835
10/2021,152481.79333609896
11/2021,153125.180321464
12/2021,157335.0924992702
01/2022,151125.44578002868
02/2022,146395.39573120666
03/2022,150834.4230153706
04/2022,145891.07637381647
05/2022,143631.99650868366
06/2022,134978.0289610935
07/2022,148320.97818650666
08/2022,144371.74152479265
09/2022,133995.9583527893
10/2022,140077.77817836145
11/2022,145085.2773187561
12/2022,134052.76221828672
01/2023,141675.39829720775
02/2023,141191.66311635578
03/2023,142072.0768290644
04/2023,141516.59267637273
05/2023,145633.31830317495
06/2023,150711.28504576944
07/2023,154428.2760057978
08/2023,152491.51986618218
09/2023,149517.49799924513
10/2023,145053.40221952973
11/2023,154143.4248869369
12/2023,159744.6198496637
01/2024,163433.8092147087
02/2024,171007.87523690052
03/2024,176296.47482435298
04/2024,171808.55913093174
