Data,IE00BGR7L912
12/2005,10000
01/2006,9761.259654837313
02/2006,9990.642586665695
03/2006,9838.291578865823
04/2006,9530.511578427346
05/2006,9319.595361962492
06/2006,9467.891013753775
07/2006,9468.765874101071
08/2006,9447.79509933746
09/2006,9632.499600743487
10/2006,9641.252644405025
11/2006,9311.564423367
12/2006,9372.053989328986
01/2007,9564.718764545169
02/2007,9415.695592325625
03/2007,9380.823740309886
04/2007,9220.298743427227
05/2007,9364.994162285087
06/2007,9366.597417906865
07/2007,9265.659011164764
08/2007,9326.092859209839
09/2007,9049.698334013376
10/2007,8910.244894231664
11/2007,8771.843635959205
12/2007,8816.991107402673
01/2008,8786.332266862326
02/2008,8635.534980495102
03/2008,8304.696469879445
04/2008,8456.382267470615
05/2008,8475.363116229904
06/2008,8349.535631159828
07/2008,8450.983986259545
08/2008,8968.066995810897
09/2008,9269.611914728677
10/2008,10420.378241127977
11/2008,10468.795398656206
12/2008,9587.680429942819
01/2009,10408.74459107824
02/2009,10548.617889372366
03/2009,10030.717702593132
04/2009,10062.770763309154
05/2009,9477.271834433983
06/2009,9454.177907641526
07/2009,9455.294356329221
08/2009,9370.581338161343
09/2009,9136.330811543985
10/2009,9041.592092602255
11/2009,8910.362101335952
12/2009,9289.63753888911
01/2010,9587.216280635037
02/2010,9867.09880268347
03/2010,9933.318914942158
04/2010,10057.148280634854
05/2010,10884.1212294437
06/2010,10919.702005030018
07/2010,10287.598011671193
08/2010,10572.418915840397
09/2010,9823.82248027157
10/2010,9677.65461869467
11/2010,10316.969968642452
12/2010,10037.695230830632
01/2011,9797.927504964802
02/2011,9698.757011623264
03/2011,9445.664433124255
04/2011,9033.728544749418
05/2011,9333.28383290938
06/2011,9290.38770930074
07/2011,9414.268846509352
08/2011,9295.95187593198
09/2011,9946.58852758552
10/2011,9593.916559425394
11/2011,10011.512049756862
12/2011,10382.095428826617
01/2012,10195.348983338201
02/2012,9991.625279600401
03/2012,10057.006435503921
04/2012,10166.046810100006
05/2012,10832.241938158591
06/2012,10671.082615307538
07/2012,10938.907348188779
08/2012,10655.803264670334
09/2012,10394.115407903753
10/2012,10343.827024192591
11/2012,10350.877374568556
12/2012,10189.334056237067
01/2013,9922.71727636818
02/2013,10240.684071945083
03/2013,10501.330727788236
04/2013,10288.257691008745
05/2013,10340.457246454678
06/2013,10281.951035230513
07/2013,10132.501125562123
08/2013,10163.348539667963
09/2013,9961.471057823399
10/2013,9861.159512429651
11/2013,9882.220197548508
12/2013,9754.264354628485
01/2014,9953.444804529878
02/2014,9739.679891365924
03/2014,9758.492094296274
04/2014,9715.854148432503
05/2014,9889.084789848313
06/2014,9852.232610437448
07/2014,10058.07918432548
08/2014,10204.459962992612
09/2014,10695.670000007136
10/2014,10744.378546863965
11/2014,10781.156867576854
12/2014,11082.413736707746
01/2015,11905.060894528322
02/2015,11972.96073899564
03/2015,12508.648857757116
04/2015,12003.223027830229
05/2015,12271.482477162737
06/2015,12032.445153575647
07/2015,12275.543900079438
08/2015,12003.880082743442
09/2015,12022.852906635191
10/2015,12223.31231507393
11/2015,12725.063848140215
12/2015,12365.756097312405
01/2016,12337.516099645116
02/2016,12376.308266429993
03/2016,11844.947946781687
04/2016,11831.201719471734
05/2016,12095.099911284386
06/2016,12163.88385628817
07/2016,12154.537016005308
08/2016,12135.331233539919
09/2016,12110.024211081814
10/2016,12351.508421531238
11/2016,12712.312820779945
12/2016,12831.660435102924
01/2017,12584.559913541038
02/2017,12777.502696164767
03/2017,12663.946345896005
04/2017,12393.700835097197
05/2017,12077.69070759777
06/2017,11884.04888128186
07/2017,11575.524791909464
08/2017,11491.051227647455
09/2017,11517.461990378766
10/2017,11691.888606153781
11/2017,11490.300570118163
12/2017,11362.484136718107
01/2018,10950.083564700284
02/2018,11175.762647358866
03/2018,11094.257613925653
04/2018,11330.125001940654
05/2018,11717.277419361584
06/2018,11776.893399233011
07/2018,11716.748794477278
08/2018,11823.94396090562
09/2018,11916.019015465426
10/2018,12209.500922169149
11/2018,12189.262828180497
12/2018,12118.417604006316
01/2019,12105.691565686218
02/2019,12204.093205687486
03/2019,12429.346187846955
04/2019,12472.266182393809
05/2019,12577.17972155454
06/2019,12356.388416551537
07/2019,12628.92016067538
08/2019,12792.417662486581
09/2019,12984.46816999107
10/2019,12705.61824354959
11/2019,12918.69023084329
12/2019,12647.315258947936
01/2020,12874.806201498299
02/2020,12992.032790912546
03/2020,13079.704752829875
04/2020,13174.583730603132
05/2020,12865.254754784857
06/2020,12795.310677331501
07/2020,12096.161342114685
08/2020,12002.80319401251
09/2020,12242.557838585113
10/2020,12253.146531089677
11/2020,11966.219624279378
12/2020,11682.131960598399
01/2021,11812.724799078129
02/2021,11828.978391991013
03/2021,12229.15497630958
04/2021,11867.426517975277
05/2021,11751.75723897683
06/2021,12064.092747216871
07/2021,12056.738281108866
08/2021,12115.354290384772
09/2021,12381.922763877543
10/2021,12310.21779600058
11/2021,12615.243246191458
12/2021,12654.535296817769
01/2022,12840.143324936998
02/2022,12788.05790192007
03/2022,12894.771590120678
04/2022,13579.463760685116
05/2022,13372.01849377685
06/2022,13777.892335855871
07/2022,14044.656376826671
08/2022,14339.610373854986
09/2022,14722.670273777067
10/2022,14495.568241539575
11/2022,13893.070367352577
12/2022,13568.154217493657
01/2023,13403.460056166616
02/2023,13711.899136720967
03/2023,13458.650981817691
04/2023,13369.299771591312
05/2023,13783.704654601355
06/2023,13609.3082776447
07/2023,13471.05046820973
08/2023,13723.382436032547
09/2023,14139.58077756386
10/2023,14168.64015649549
11/2023,13831.138073080783
12/2023,13750.566345285579
01/2024,14079.452909447742
02/2024,14143.142723362427
03/2024,14224.100225505756
04/2024,14404.017582650076
