Data,IE00BGYWFS63
01/2019,10000
02/2019,9972.329627996665
03/2019,10162.133672664959
04/2019,10133.325951994917
05/2019,10370.886667715067
06/2019,10465.973387927319
07/2019,10453.061272750294
08/2019,10807.793836458095
09/2019,10715.746918640489
10/2019,10722.424560246167
11/2019,10689.545789314845
12/2019,10628.920494143815
01/2020,10888.052206081029
02/2020,11176.009263039408
03/2020,11498.603236506046
04/2020,11571.063116028201
05/2020,11541.06304621501
06/2020,11551.213839922342
07/2020,11682.527960602805
08/2020,11553.881153146354
09/2020,11569.251134841305
10/2020,11459.485018798694
11/2020,11498.710187774075
12/2020,11471.400865290967
01/2021,11361.0125710172
02/2021,11154.186397526792
03/2021,10981.612324961128
04/2021,11063.313907983445
05/2021,11100.8319654236
06/2021,11171.522319405307
07/2021,11322.849110229548
08/2021,11302.379885962413
09/2021,11179.20419939418
10/2021,11170.683220607494
11/2021,11255.55019853822
12/2021,11197.094038507745
01/2022,10984.32522923569
02/2022,10911.331204277089
03/2022,10570.950835321126
04/2022,10242.840134128415
05/2022,10260.970285604371
06/2022,10170.082020757234
07/2022,10331.619568235557
08/2022,10074.70762510353
09/2022,9726.201327184748
10/2022,9590.064169342426
11/2022,9846.327219228602
12/2022,9794.71465377218
01/2023,10039.580215416861
02/2023,9804.096133197707
03/2023,10087.301037233974
04/2023,10140.761860232347
05/2023,10022.45002744544
06/2023,9946.604246023957
07/2023,9910.794014351408
08/2023,9858.857491813531
09/2023,9640.476179707694
10/2023,9523.41727592814
11/2023,9853.598706608123
12/2023,10184.590108631954
01/2024,10155.420883331779
02/2024,10021.596362054572
03/2024,10085.40608694434
04/2024,9850.094207606158
