Data,IE00BJ0KDR00
12/1978,10000
01/1979,10607.65268076681
02/1979,10295.403438484262
03/1979,10882.276325053075
04/1979,11008.164874375903
05/1979,10918.614383468763
06/1979,11210.475507750276
07/1979,10932.126075993221
08/1979,11511.45039482499
09/1979,11371.182336768848
10/1979,10690.194407909497
11/1979,11090.379770919695
12/1979,11020.110398000958
01/1980,11570.72766384947
02/1980,11561.638652361713
03/1980,11099.72471239938
04/1980,11721.726580915418
05/1980,11755.430600452715
06/1980,11960.452761859526
07/1980,12597.555816236245
08/1980,12937.437298368655
09/1980,13233.068617450426
10/1980,13909.836787003806
11/1980,15900.334920618981
12/1980,15832.07179576464
01/1981,15291.12237599921
02/1981,16679.95358980109
03/1981,17248.939432102103
04/1981,17380.526526661753
05/1981,18391.78240561079
06/1981,19059.0627355198
07/1981,19785.626277160034
08/1981,19163.812302852442
09/1981,17434.955018889945
10/1981,17759.774119603084
11/1981,18339.56997694531
12/1981,18100.743984358716
01/1982,18170.10322840819
02/1982,17807.00887880781
03/1982,18034.715611029373
04/1982,19117.604048180707
05/1982,17853.703985685053
06/1982,18654.095144966286
07/1982,18715.42559085994
08/1982,21148.89989682759
09/1982,21630.76716161669
10/1982,24328.026715253072
11/1982,25698.72291944677
12/1982,25087.625503157065
01/1983,25910.921924021735
02/1983,26951.30490931852
03/1983,28030.491958126535
04/1983,30673.37227277403
05/1983,30393.387408201535
06/1983,32544.441933570906
07/1983,31923.067702480563
08/1983,33637.94152837839
09/1983,34103.34178770882
10/1983,33170.435372550695
11/1983,34796.78615209427
12/1983,35490.59444242429
01/1984,35890.479136655726
02/1984,33354.499210640206
03/1984,32768.42536174261
04/1984,33701.56440004316
05/1984,33001.65272852091
06/1984,33705.36994869285
07/1984,34714.64846423323
08/1984,38927.679675152
09/1984,40839.12417014867
10/1984,41802.418161230424
11/1984,40319.920091294276
12/1984,42978.077508471855
01/1985,47572.488580855264
02/1985,49939.31763707459
03/1985,50197.01021473073
04/1985,46629.7519177312
05/1985,49872.00148103339
06/1985,49730.265359396435
07/1985,47171.38883850712
08/1985,45146.975663813595
09/1985,44435.334080132634
10/1985,43605.62836414734
11/1985,45741.715650144884
12/1985,46971.94615555542
01/1986,46297.02513968054
02/1986,47850.109127058706
03/1986,49132.9395473037
04/1986,48709.24815621509
05/1986,50222.73651009174
06/1986,51087.547569965325
07/1986,46948.60518881726
08/1986,48910.823861708086
09/1986,44406.565647392614
10/1986,46410.067677190906
11/1986,47991.90152449207
12/1986,46121.43561833655
01/1987,49116.08403366494
02/1987,49986.07608878111
03/1987,51253.67984847963
04/1987,50132.298721238236
05/1987,49808.84409402006
06/1987,53331.50009020263
07/1987,56679.071641929484
08/1987,59374.079478776344
09/1987,56597.357029874554
10/1987,44265.45331360153
11/1987,38077.43496701265
12/1987,39522.83554888164
01/1988,41651.23803877599
02/1988,44651.61547873209
03/1988,42574.27733703726
04/1988,42709.98289907288
05/1988,43502.70518487397
06/1988,47220.3453954821
07/1988,49447.24782913097
08/1988,48860.566291684336
09/1988,50578.65652323437
10/1988,50839.800864199635
11/1988,48073.29417104515
12/1988,48911.59097832383
01/1989,54718.78315406506
02/1989,53735.19838267313
03/1989,55311.841471828
04/1989,58639.2996908758
05/1989,63517.14495700422
06/1989,64419.69650095226
07/1989,67257.14761638627
08/1989,69329.52016568824
09/1989,70241.51079034877
10/1989,66064.65998972101
11/1989,66463.89933482288
12/1989,65164.97287338051
01/1990,59151.1629280848
02/1990,59235.67113028437
03/1990,61700.43056918001
04/1990,59670.507786049915
05/1990,64123.9629007317
06/1990,64319.80718480848
07/1990,62284.51455386514
08/1990,54098.16747145137
09/1990,51676.29355002278
10/1990,50009.599090184354
11/1990,52242.11118871744
12/1990,54330.69449715553
01/1991,57065.283639876005
02/1991,59995.721128755824
03/1991,66894.90585447398
04/1991,70737.4063656719
05/1991,74663.01440184204
06/1991,73899.44636281989
07/1991,77460.57275264205
08/1991,77592.45476157415
09/1991,74170.44510468104
10/1991,75349.43822083378
11/1991,69599.38074797361
12/1991,75085.02528660103
01/1992,74351.91963809954
02/1992,76861.7907332004
03/1992,77459.41840463414
04/1992,79004.79857286472
05/1992,77809.21359402566
06/1992,74426.36804991307
07/1992,73840.31291826976
08/1992,70250.80793680067
09/1992,72653.03372636817
10/1992,76135.14086100813
11/1992,83817.42841418809
12/1992,84685.17875050016
01/1993,87096.00945168466
02/1993,90437.4416948212
03/1993,92751.75095502712
04/1993,87616.82752771466
05/1993,90077.31041993009
06/1993,92992.36467773843
07/1993,96830.18926232147
08/1993,101092.34051211755
09/1993,96116.33414040043
10/1993,98954.0374721113
11/1993,100925.3866896561
12/1993,102103.52023280931
01/1994,107253.28069936622
02/1994,103841.62629045312
03/1994,97296.459232427
04/1994,98971.45467649902
05/1994,98460.7571811891
06/1994,94146.58979558917
07/1994,94335.9579099023
08/1994,98172.46598433828
09/1994,95076.76543103412
10/1994,95414.52548955474
11/1994,93540.64999902331
12/1994,96870.0911332979
01/1995,97523.54569748703
02/1995,100276.50618792938
03/1995,98979.87532853775
04/1995,100151.44200521473
05/1995,105688.50416753275
06/1995,107403.23080585107
07/1995,109779.01508892552
08/1995,113130.10446502251
09/1995,119740.88022680323
10/1995,117841.55421879937
11/1995,123307.68525732707
12/1995,127173.57087541827
01/1996,133330.52327510607
02/1996,135513.93089722385
03/1996,136820.48338374498
04/1996,140049.50669894752
05/1996,145555.4252061014
06/1996,145300.5131950623
07/1996,136818.74957346256
08/1996,138636.18446273444
09/1996,147693.39662715193
10/1996,151962.6012798228
11/1996,161373.0253898941
12/1996,161843.8663757937
01/1997,177657.3289515217
02/1997,186733.64729738017
03/1997,180471.14690831862
04/1997,193432.16404229883
05/1997,203789.71773287558
06/1997,215497.82898882043
07/1997,239036.6650269835
08/1997,231289.72402935062
09/1997,237012.84502522132
10/1997,226395.68264155972
11/1997,232502.5696393426
12/1997,242335.56936565883
01/1998,251134.4371950106
02/1998,268191.76556473423
03/1998,283169.31646617566
04/1998,284577.52766594023
05/1998,274646.8412876951
06/1998,288559.96769032534
07/1998,286407.2207974862
08/1998,245560.67630351856
09/1998,249515.1988249778
10/1998,258918.6015237127
11/1998,284526.61938552174
12/1998,299416.94298452
01/1999,322554.5142726749
02/1999,323953.0471178925
03/1999,346084.5254533544
04/1999,363500.26983779104
05/1999,359817.05473776173
06/1999,383859.0287448137
07/1999,358692.1010771635
08/1999,360494.522337338
09/1999,346761.3889467427
10/1999,376922.416567148
11/1999,398567.06796363794
12/1999,428512.867782179
01/2000,416108.41313039674
02/2000,409421.91552580096
03/2000,457866.2106048195
04/2000,465861.8974668302
05/2000,442896.6756297846
06/2000,441498.7176494846
07/2000,448274.471353855
08/2000,489411.28680889186
09/2000,470214.9601025127
10/2000,486151.2363900958
11/2000,433969.3219534911
12/2000,404357.78525249567
01/2001,419661.7344968029
02/2001,383995.6085983012
03/2001,376427.34782800043
04/2001,403722.59776159516
05/2001,425095.180835489
06/2001,415342.1082678469
07/2001,398520.04552083934
08/2001,355658.9691015196
09/2001,329419.5734285454
10/2001,337513.7385836932
11/2001,369389.6726290567
12/2001,375300.8004728882
01/2002,377526.2753273356
02/2002,369533.6822503107
03/2002,380084.10896821285
04/2002,344204.77050330676
05/2002,327830.57057295134
06/2002,284975.77845105313
07/2002,269663.598792048
08/2002,269553.8460837354
09/2002,238466.4249397146
10/2002,260008.72509658255
11/2002,273895.1415978239
12/2002,243596.1195679522
01/2003,230468.51104317856
02/2003,227662.99186611737
03/2003,227386.63891688775
04/2003,241147.2752201987
05/2003,239220.7392854589
06/2003,250543.57767982088
07/2003,257639.1550002817
08/2003,271850.5112043473
09/2003,251976.91023008895
10/2003,267033.3040939258
11/2003,261240.77123795505
12/2003,260961.65263099835
01/2004,270952.0302840334
02/2004,273472.9555143786
03/2004,273384.8103576036
04/2004,275412.7267488762
05/2004,273317.5972015399
06/2004,279450.14244189375
07/2004,272519.8713807088
08/2004,272270.9076512456
09/2004,268634.3256815097
10/2004,265703.1806115375
11/2004,265003.5713286896
12/2004,267712.7254910076
01/2005,272806.6794447765
02/2005,273816.5744409308
03/2005,275517.15568761894
04/2005,270669.2168794035
05/2005,293691.9833119397
06/2005,300230.2722373661
07/2005,311467.83925181645
08/2005,305901.2850283197
09/2005,312501.51474751864
10/2005,307842.36159686954
11/2005,327175.7887138443
12/2005,326563.498037657
01/2006,326571.2226766568
02/2006,333573.0069299394
03/2006,331439.8895884976
04/2006,324191.753995244
05/2006,306487.432507874
06/2006,310554.2983694014
07/2006,310255.2215555973
08/2006,315654.9393154654
09/2006,328556.0073198929
10/2006,338801.27513290854
11/2006,332311.8909569423
12/2006,337094.67832742713
01/2007,348906.8172781419
02/2007,335841.68426305446
03/2007,336727.04123127635
04/2007,343733.6680195715
05/2007,359770.73431476514
06/2007,352372.165353974
07/2007,336412.40287837444
08/2007,341551.031597085
09/2007,342644.2919236507
10/2007,341935.3475142193
11/2007,320515.1415335471
12/2007,319532.3282065863
01/2008,297113.7218872807
