Data,IE00BJ5JNY98
09/2010,10000
10/2010,10395.494469281628
11/2010,10943.410648278386
12/2010,11256.859609433111
01/2011,11416.527145285656
02/2011,11551.524904547337
03/2011,10886.427329115384
04/2011,10735.505862710757
05/2011,10851.498577499127
06/2011,10495.94197694753
07/2011,10653.943184194377
08/2011,9967.916897455638
09/2011,10253.04168431451
10/2011,10947.16715402188
11/2011,11086.268532790944
12/2011,11315.312064575664
01/2012,12004.710708610388
02/2012,12580.877287335874
03/2012,13227.230878499582
04/2012,12998.11956211854
05/2012,12712.154237828605
06/2012,12752.678224307203
07/2012,13204.143825764251
08/2012,13460.198607818958
09/2012,13357.747876141037
10/2012,12516.284855865322
11/2012,12699.462129302898
12/2012,12592.265399686712
01/2013,12494.81045697135
02/2013,13005.600041069385
03/2013,13544.729156327161
04/2013,13386.617344443463
05/2013,14028.262177097658
06/2013,13523.01637839871
07/2013,13831.939595462276
08/2013,13862.641815226112
09/2013,14088.411051087876
10/2013,14530.949293062684
11/2013,15019.240726787062
12/2013,15470.34909475232
01/2014,15377.91137584212
02/2014,15727.49545399235
03/2014,15734.637893166153
04/2014,15542.396216888848
05/2014,16342.243903836361
06/2014,16685.91870376204
07/2014,17290.316634724462
08/2014,18146.295719878686
09/2014,18738.831520830307
10/2014,19079.590963216953
11/2014,20113.96678936315
12/2014,20396.513948053514
01/2015,21174.59054025818
02/2015,22958.074800040165
03/2015,23392.220796021356
04/2015,22834.762637486474
05/2015,23811.370722437532
06/2015,22445.439768755747
07/2015,23146.102843871045
08/2015,21503.363735710212
09/2015,21241.142939853242
10/2015,23679.69870286465
11/2015,24998.655100747936
12/2015,23743.140433055003
01/2016,22451.575634635443
02/2016,22038.463250853525
03/2016,22836.20131044662
04/2016,21756.477941982856
05/2016,23424.293475149356
06/2016,22818.522100741255
07/2016,24517.403454125768
08/2016,25071.13166840329
09/2016,25478.74208161155
10/2016,25952.3778487437
11/2016,26662.2439579828
12/2016,27186.312024067738
01/2017,27741.58854005272
02/2017,29527.999383161477
03/2017,30077.345637580773
04/2017,30248.2544315809
05/2017,30698.209546789683
06/2017,29556.40315723793
07/2017,29767.478912509814
08/2017,30403.911730443364
09/2017,30895.56274649092
10/2017,33581.448818673525
11/2017,33186.7438055697
12/2017,32928.02576816599
01/2018,34115.21215107519
02/2018,34763.9404492358
03/2018,33226.28063451767
04/2018,33830.96020377208
05/2018,37213.90951172174
06/2018,37015.57520609945
07/2018,37648.08473824212
08/2018,40312.33320936829
09/2018,40213.83096484697
10/2018,37632.2666521512
11/2018,36913.10706087999
12/2018,33606.68181499024
01/2019,36056.381599448025
02/2019,38667.144552731384
03/2019,40887.45397294387
04/2019,43579.080353364654
05/2019,40124.74658661971
06/2019,42655.89200728052
07/2019,44873.18378227836
08/2019,44378.61236086895
09/2019,45537.08258816932
10/2019,46212.705535625166
11/2019,49250.42564677115
12/2019,50377.519020489824
01/2020,52729.5892073366
02/2020,49252.45647445062
03/2020,44723.596171057245
04/2020,50873.515381238976
05/2020,53933.56536210052
06/2020,57271.30779477382
07/2020,57569.86153776388
08/2020,62955.08189827636
09/2020,61302.681855111034
10/2020,58525.015565514164
11/2020,64141.899159095105
12/2020,66286.13416505746
01/2021,66372.62838424694
02/2021,67215.80561538863
03/2021,69911.88140150705
04/2021,71974.83557516657
05/2021,70109.67400753942
06/2021,77226.88749439457
07/2021,79968.93007909249
08/2021,83421.13084974133
09/2021,80096.90430006792
10/2021,86247.53738730613
11/2021,90989.75811080051
12/2021,92380.75454268252
01/2022,85749.99139087652
02/2022,81555.54889662447
03/2022,84775.11823069277
04/2022,78792.36134658768
05/2022,76386.18265290464
06/2022,70522.36933675435
07/2022,81775.10615978496
08/2022,77981.13372571845
09/2022,74210.50795888779
