Data,IE00BJ5JNZ06
09/2010,10000
10/2010,10014.801224775048
11/2010,10315.429692834377
12/2010,10511.194227744394
01/2011,10346.63964475505
02/2011,10602.204889157063
03/2011,10393.178753771339
04/2011,10648.630045361522
05/2011,11258.258045313105
06/2011,10973.674272198807
07/2011,10886.131927030392
08/2011,10425.785159960875
09/2011,10637.630418320556
10/2011,10756.582026360411
11/2011,11078.369544643247
12/2011,11860.290088795351
01/2012,12027.525165055291
02/2012,12006.467676680959
03/2012,12427.570585657775
04/2012,12539.501567984556
05/2012,12736.463375229087
06/2012,13182.017206207986
07/2012,13876.935671565863
08/2012,13708.960066850006
09/2012,13937.045767486978
10/2012,13771.195090839434
11/2012,13830.158482169732
12/2012,13692.110112769644
01/2013,14248.112277088623
02/2013,14937.849554290076
03/2013,16042.353257107305
04/2013,16253.384492742858
05/2013,16517.667678863447
06/2013,16274.794414353973
07/2013,16832.036097425294
08/2013,16497.21861763592
09/2013,16652.7006874053
10/2013,17215.36784836861
11/2013,17847.00997873234
12/2013,17807.715340803054
01/2014,18307.52622188305
02/2014,19121.113166199466
03/2014,18818.829136966066
04/2014,18757.629765319274
05/2014,19445.81319643503
06/2014,19831.44223455189
07/2014,20143.337172069027
08/2014,21227.69001543961
09/2014,22224.53160255365
10/2014,22953.879578815377
11/2014,23796.579833397846
12/2014,23889.709764832714
01/2015,26194.34595696733
02/2015,27543.552383384667
03/2015,29130.48722956637
04/2015,27884.37290146045
05/2015,29301.02414835511
06/2015,28488.48454310396
07/2015,29943.964778625916
08/2015,27353.066099963686
09/2015,25757.327026781648
10/2015,27603.992413227345
11/2015,28674.589444301575
12/2015,28296.76866716737
01/2016,26163.90893179573
02/2016,25724.871750476013
03/2016,25118.482832691065
04/2016,25812.98268441137
05/2016,26923.92446813771
06/2016,27188.746264677437
07/2016,28234.24950455336
08/2016,27164.626795025393
09/2016,26880.54568749122
10/2016,25649.593406072563
11/2016,26523.8751299249
12/2016,27089.748905321125
01/2017,27011.488630433076
02/2017,29054.679099744313
03/2017,28951.881855646345
04/2017,28967.12753607404
05/2017,28656.95595231543
06/2017,29014.31280235604
07/2017,28082.998279466272
08/2017,28117.690247476992
09/2017,28651.335274849316
10/2017,28693.158630688777
11/2017,28661.66564944232
12/2017,28435.428920323357
01/2018,28939.62028627776
02/2018,28227.67213251838
03/2018,27405.32000607067
04/2018,28157.065355085026
05/2018,29275.546640726192
06/2018,29652.4158792363
07/2018,31400.54139930353
08/2018,32504.355750638795
09/2018,33213.40770699306
10/2018,31801.691612648166
11/2018,33551.97358607714
12/2018,30544.14783046668
01/2019,31989.99294084378
02/2019,32865.32226128606
03/2019,33606.36191196649
04/2019,32795.77889626774
05/2019,32185.832342695336
06/2019,33612.678819800385
07/2019,33990.12235705194
08/2019,34347.812902085316
09/2019,34652.297832630786
10/2019,35545.177280554875
11/2019,37657.88221062994
12/2019,38242.397359659415
01/2020,38177.429866223
02/2020,35875.65581683465
03/2020,34609.93361941077
04/2020,38688.77012294463
05/2020,39624.840737089435
06/2020,38710.60922571342
07/2020,38267.69857472195
08/2020,38607.0954661931
09/2020,38824.27019987118
10/2020,37169.41784365992
11/2020,39427.055711916735
12/2020,39727.76142839361
01/2021,40428.49516781306
02/2021,39356.15752351695
03/2021,41632.39539333958
04/2021,42189.72202281789
05/2021,42384.8569797319
06/2021,44998.909073862626
07/2021,46667.88398292087
08/2021,48170.15751171965
09/2021,46482.087682475496
10/2021,48505.835212419035
11/2021,48079.29856242199
12/2021,51083.977145940975
01/2022,47982.65484158036
02/2022,47664.84132182572
03/2022,50424.2315261659
04/2022,50708.283231190835
05/2022,50172.35208263952
06/2022,49769.22267997061
07/2022,52684.0013861494
08/2022,50193.76379183229
09/2022,50030.83218853955
