Data,IE00BJ5JPH63
07/2013,10000
08/2013,9705.416887049036
09/2013,9984.434253089867
10/2013,10267.518175948486
11/2013,10054.972051401333
12/2013,10100.579010484424
01/2014,10007.625655429689
02/2014,10341.357395111476
03/2014,10471.078543551757
04/2014,10606.804723828966
05/2014,10950.838607905733
06/2014,10986.080534030152
07/2014,11021.5712288694
08/2014,11105.3074092987
09/2014,10858.021869581951
10/2014,11056.955277427764
11/2014,11056.233996333953
12/2014,10778.09597052643
01/2015,10881.969800304245
02/2015,10971.686758991955
03/2015,10982.479864076893
04/2015,11146.101398496829
05/2015,11078.277458683184
06/2015,10877.017123433916
07/2015,10912.132030954073
08/2015,10795.502978515142
09/2015,10636.558929729295
10/2015,10945.49940482045
11/2015,10934.954044721324
12/2015,10764.659231650703
01/2016,10751.928671203064
02/2016,10949.694610854485
03/2016,11284.622852252765
04/2016,11473.994300825667
05/2016,11425.307599510503
06/2016,11830.889105903256
07/2016,11992.000564014153
08/2016,12203.236897258952
09/2016,12227.016425738273
10/2016,12026.545623824877
11/2016,11471.891249818436
12/2016,11602.941754877236
01/2017,11752.636264877772
02/2017,11981.560297900725
03/2017,12000.004010511291
04/2017,12173.20010520461
05/2017,12253.480002854363
06/2017,12200.084935711466
07/2017,12283.805271069756
08/2017,12485.399297880578
09/2017,12452.169412063564
10/2017,12467.953351219796
11/2017,12450.61926075864
12/2017,12515.430773309434
01/2018,12476.589465315501
02/2018,12166.331991595274
03/2018,12168.827213901142
04/2018,11929.07005149922
05/2018,11768.324555311521
06/2018,11573.087079906543
07/2018,11863.617181057913
08/2018,11588.259109020903
09/2018,11768.671153824382
10/2018,11440.13848308279
11/2018,11344.442468494453
12/2018,11463.472496476776
01/2019,11978.843282179761
02/2019,12065.827892137171
03/2019,12210.334946504065
04/2019,12194.313306377911
05/2019,12204.075875747838
06/2019,12606.118761738455
07/2019,12731.546260976605
08/2019,12803.068664814378
09/2019,12695.48532698178
10/2019,12704.009019284955
11/2019,12617.719496070386
12/2019,12853.064605144893
01/2020,13031.321414495556
02/2020,12863.664497666092
03/2020,11011.60406356924
04/2020,11266.31042208365
05/2020,11971.103058278557
06/2020,12371.783059105028
07/2020,12830.34125148555
08/2020,12865.825742740599
09/2020,12592.94141732949
10/2020,12578.740011410917
11/2020,13068.65021143855
12/2020,13297.685449112574
01/2021,13100.310659534667
02/2021,12701.444490948124
03/2021,12545.355357709588
04/2021,12827.455255949935
05/2021,12963.004371087074
06/2021,13063.879601531855
07/2021,13108.026048903115
08/2021,13234.753648829837
09/2021,12910.49097998962
10/2021,12904.149073836124
11/2021,12647.76623576696
12/2021,12823.479584290384
01/2022,12424.747597208225
02/2022,11611.685292257773
03/2022,11500.78385018238
04/2022,10741.657163466609
05/2022,10755.33786399878
06/2022,10002.336646030364
07/2022,10314.348271700039
08/2022,10151.28747544498
09/2022,9425.60308451826
10/2022,9425.871478210405
11/2022,10120.0090771732
12/2022,10109.541504788462
01/2023,10414.208440031929
02/2023,10129.64966893199
03/2023,10218.360086403763
04/2023,10245.668306045074
05/2023,10136.963182342364
06/2023,10331.952910110005
07/2023,10511.026623034926
08/2023,10314.822970302228
09/2023,9985.479413311607
10/2023,9822.948833925717
11/2023,10381.618906866594
12/2023,10874.96224349627
01/2024,10719.43614672527
02/2024,10807.205779235606
03/2024,11015.958063198212
04/2024,10749.195643075036
