Data,IE00BJXFZ989
12/1987,10000
01/1988,10360.462139605463
02/1988,11278.391623307558
03/1988,11470.664656233426
04/1988,11549.182857752536
05/1988,11434.164242039871
06/1988,11848.50960666822
07/1988,12677.692160188391
08/1988,12251.336721930093
09/1988,12686.466410112122
10/1988,13183.668191063942
11/1988,13087.004622681236
12/1988,13219.899921657643
01/1989,14239.940149266324
02/1989,14329.456520327361
03/1989,14343.702523531783
04/1989,14784.236466825509
05/1989,15053.371561612461
06/1989,15109.787254473375
07/1989,16081.854163152151
08/1989,15944.376685284085
09/1989,16676.59774462105
10/1989,15529.992307657136
11/1989,15907.595894858905
12/1989,15751.87324508702
01/1990,14585.796715747707
02/1990,13786.31651541345
03/1990,13159.801085896072
04/1990,12826.267108519534
05/1990,13933.216258240695
06/1990,13931.035685389115
07/1990,13645.430046003732
08/1990,11816.487531751489
09/1990,10597.43533327839
10/1990,11231.72869399956
11/1990,10823.151581810716
12/1990,11185.550985058771
01/1991,11626.168451147387
02/1991,12506.003550268537
03/1991,13230.141371513791
04/1991,14050.521131925409
05/1991,14576.649246227227
06/1991,14195.876820466572
07/1991,14889.033045853319
08/1991,14529.507939736643
09/1991,14485.943507734457
10/1991,14716.080634769878
11/1991,13553.527373399133
12/1991,14095.330369703976
01/1992,13979.973372656113
02/1992,14070.340200480154
03/1992,13800.947657707295
04/1992,13857.470228704466
05/1992,14111.147526722927
06/1992,13216.095780016582
07/1992,12625.301307308167
08/1992,12580.684709313522
09/1992,12759.441245253649
10/1992,12962.903492636671
11/1992,14039.755683552956
12/1992,14160.937607393085
01/1993,14486.107039696632
02/1993,15193.673993676743
03/1993,16143.21169659588
04/1993,16299.37824618573
05/1993,16720.558299482534
06/1993,17093.929930974762
07/1993,18185.4570414065
08/1993,19190.154356469877
09/1993,18114.854352609687
10/1993,18867.101823527308
11/1993,18363.394364393615
12/1993,19344.805826667176
01/1994,20904.024338139723
02/1994,20518.961028896854
03/1994,19188.268800253583
04/1994,19763.878956498622
05/1994,19449.66287498324
06/1994,19037.506180855285
07/1994,18855.824969830453
08/1994,19546.60607886196
09/1994,18879.652003161184
10/1994,18990.155806399638
11/1994,18432.241947778744
12/1994,18871.61514244218
01/1995,18106.455883520037
02/1995,18096.362177594827
03/1995,18186.69314567104
04/1995,18484.38433621115
05/1995,18973.9625844225
06/1995,18816.492157401695
07/1995,19494.375325616646
08/1995,19641.45824061146
09/1995,20437.317207493288
10/1995,19779.528982321746
11/1995,20442.35835973717
12/1995,21387.838440189298
01/1996,22124.97971909589
02/1996,22340.89148086133
03/1996,22666.43046756414
04/1996,23413.907157537986
05/1996,23718.335891426712
06/1996,23659.318762696494
07/1996,22425.449958455603
08/1996,22492.287097032404
09/1996,23521.07760616526
10/1996,23684.482214225758
11/1996,24626.297055420655
12/1996,24802.452937948467
01/1997,25900.12818859778
