Data,IE00BJZ2DC62
01/2005,10000
02/2005,10133.284681336743
03/2005,10277.914785733194
04/2005,9952.790223491096
05/2005,10956.226738046638
06/2005,11469.981152356278
07/2005,12070.326146851003
08/2005,11879.100016455815
09/2005,12189.148908117577
10/2005,11838.089822508251
11/2005,12626.704744316756
12/2005,12723.199517293833
01/2006,13018.91968321546
02/2006,13265.57281252581
03/2006,13333.223290094915
04/2006,12959.07076728649
05/2006,12197.037018501114
06/2006,12356.479283512188
07/2006,12031.325098590145
08/2006,12252.671132001475
09/2006,12659.173808118367
10/2006,13116.663454106594
11/2006,13065.95323597679
12/2006,13090.422858793727
01/2007,13754.589726033624
02/2007,13504.802423887888
03/2007,13499.773100876839
04/2007,13714.391284721081
05/2007,14388.431901087828
06/2007,14005.670551965784
07/2007,13281.451821747438
08/2007,13302.222903586553
09/2007,13276.54229071268
10/2007,13236.669351228982
11/2007,12332.557915556254
12/2007,12323.335131026268
01/2008,11401.423004005559
02/2008,10919.12488545614
03/2008,10318.914617565595
04/2008,11206.029082967609
05/2008,11734.741023529765
06/2008,10617.835283337465
07/2008,10446.071599930026
08/2008,11268.608238743313
09/2008,10182.182123182294
10/2008,8861.478041488763
11/2008,7975.8126557469495
12/2008,7603.05896507404
01/2009,7643.339262918803
02/2009,6974.184374613202
03/2009,7230.701591822895
04/2009,8360.826177213117
05/2009,8212.160503140554
06/2009,8217.368620450497
07/2009,8939.909181922192
08/2009,9283.916285560543
09/2009,9559.094019801196
10/2009,9038.500539844592
11/2009,9331.764656619993
12/2009,10282.94449573264
01/2010,10249.45553698012
02/2010,11073.346201018945
03/2010,11932.91724590831
04/2010,12530.65748145651
05/2010,12556.334305743765
06/2010,11802.867297718112
07/2010,11912.484876503382
08/2010,11697.140643597359
09/2010,12013.514647585853
10/2010,12286.639910323463
11/2010,13332.795049413702
12/2010,13863.185634362211
01/2011,13812.884080668033
02/2011,14186.367428366953
03/2011,14021.05025565893
04/2011,13802.166498797422
05/2011,14194.46292472975
06/2011,13828.477673918716
07/2011,13503.5108919757
08/2011,12405.789620560752
09/2011,11993.618840544275
10/2011,13068.695054001713
11/2011,13564.457570286733
12/2011,14045.672913022485
01/2012,14625.228508237002
02/2012,14925.196480748333
03/2012,15354.604940911659
04/2012,15463.737579198643
05/2012,15365.364101147165
06/2012,15558.44034850755
07/2012,15978.273886504296
08/2012,16049.95303465949
