Data,IE00BK1PV551
12/1978,10000
01/1979,10397.347571917177
02/1979,10245.642288517503
03/1979,10670.26391476473
04/1979,10771.80375288964
05/1979,10700.518856058803
06/1979,10879.648113693222
07/1979,10566.961721482137
08/1979,11022.719570162479
09/1979,11146.670124363605
10/1979,10359.798618144463
11/1979,10633.282554104333
12/1979,10670.705228304758
01/1980,11199.757412659059
02/1980,11307.093524791917
03/1980,10623.78641463655
04/1980,11452.731318638193
05/1980,11493.875587551194
06/1980,11865.914430479756
07/1980,12076.39838966997
08/1980,12554.221578837476
09/1980,12898.046820655467
10/1980,13605.15030047376
11/1980,14668.150445787302
12/1980,14797.323870138625
01/1981,14406.825649899238
02/1981,15429.76016538813
03/1981,15985.638874111108
04/1981,16414.853609364112
05/1981,17073.93748189937
06/1981,17693.406154745844
07/1981,17920.621468028454
08/1981,18040.391723270663
09/1981,15922.903049897575
10/1981,15921.088006409926
11/1981,16917.130279000048
12/1981,16781.811396075875
01/1982,16783.824281645124
02/1982,16288.754816595616
03/1982,16129.18804566725
04/1982,17177.975212516558
05/1982,16169.022340775271
06/1982,16330.51150433164
07/1982,16461.901040948385
08/1982,17759.6473766526
09/1982,18004.399002834783
10/1982,19464.358107148964
11/1982,20833.158338971505
12/1982,20866.862811412084
01/1983,21156.365068551804
02/1983,21991.344669366703
03/1983,22873.98539361967
04/1983,24854.004677996636
05/1983,24757.638184183015
06/1983,26311.04255558211
07/1983,26185.637084532085
08/1983,27173.21671936455
09/1983,27734.126357347926
10/1983,26949.756020044006
11/1983,28377.917220527856
12/1983,29462.0091160107
01/1984,30365.3007678078
02/1984,28940.628450158216
03/1984,29215.485283117203
04/1984,29616.369341600006
05/1984,28405.42621001023
06/1984,28638.069935917883
07/1984,28666.036414128368
08/1984,31890.177850778677
09/1984,33262.06659864987
10/1984,34219.659221794835
11/1984,33190.6233751445
12/1984,35212.49505354934
01/1985,38051.74112832873
02/1985,39535.523873442726
03/1985,40988.41480519206
04/1985,38036.34432940796
05/1985,40258.44124550261
06/1985,40250.39811487478
07/1985,39065.25564679002
08/1985,38021.987383157575
