Data,IE00BK5BCD43
12/2013,10000
01/2014,10306.469128347566
02/2014,10907.223924054797
03/2014,10380.485137343043
04/2014,9696.124351195396
05/2014,10308.545720686016
06/2014,10991.864329929225
07/2014,10762.038602324774
08/2014,11551.819369625126
09/2014,11631.398702029226
10/2014,12221.656328521352
11/2014,12641.315471696445
12/2014,12877.741606588259
01/2015,13575.566386489472
02/2015,14755.158144620322
03/2015,15035.370194702255
04/2015,15057.47916388055
05/2015,15973.354115366817
06/2015,15383.98075183605
07/2015,15789.31374611135
08/2015,14076.74246855297
09/2015,13664.256656439997
10/2015,15387.913364156471
11/2015,16999.578982566974
12/2015,16145.178752638658
01/2016,14463.090614061744
02/2016,14387.053566786486
03/2016,15015.282004787938
04/2016,15210.35005777271
05/2016,16395.080209602616
06/2016,16227.536819203211
07/2016,17761.54016820053
08/2016,18436.30327880839
09/2016,19095.214389810226
10/2016,18621.556088506466
11/2016,19216.15440955075
12/2016,19326.30596562152
01/2017,20391.073177473183
02/2017,21582.896731576315
03/2017,21790.617788918713
04/2017,22543.017566379647
05/2017,23549.03862205837
06/2017,22860.154355253337
07/2017,23659.970751705634
08/2017,24474.41139806755
09/2017,24871.91471380919
10/2017,26676.1657981149
11/2017,26717.923595588523
12/2017,26380.2895633754
01/2018,28416.45189419986
02/2018,29671.87110528591
03/2018,29417.653070602413
04/2018,29866.9026507999
05/2018,33133.905107170016
06/2018,33924.76510977665
07/2018,34062.0945201725
08/2018,37781.75534706378
09/2018,37507.99544650972
10/2018,33387.04955595339
11/2018,34240.48896275915
12/2018,31209.166422367736
01/2019,35602.16553420822
02/2019,38743.47435492053
03/2019,40128.06007453005
04/2019,42271.776983398784
05/2019,39101.66375693218
06/2019,40798.81885861154
07/2019,42525.76642250676
08/2019,41225.90286473387
09/2019,40496.0310476786
10/2019,40034.54761566785
11/2019,43517.36496071257
12/2019,43564.682296248706
01/2020,46458.849798396775
02/2020,44096.24748702267
03/2020,38034.927915915854
04/2020,44663.61908243292
05/2020,49355.734917166585
06/2020,53460.71805963047
07/2020,54565.361605555925
08/2020,57968.49901899434
09/2020,56427.681132599224
10/2020,56594.15297365198
11/2020,64015.27442882203
12/2020,66757.33643132898
01/2021,68946.8476916405
02/2021,70383.01112723659
03/2021,68950.6873040507
04/2021,70308.2910024055
05/2021,67694.3458386367
06/2021,74370.48407596604
07/2021,74295.64495940205
08/2021,77674.65413811586
09/2021,75732.48750030376
10/2021,81582.06769850872
11/2021,80676.32141646772
12/2021,79177.61760061605
01/2022,71049.07999950653
02/2022,67014.05860581734
03/2022,68313.50573064208
04/2022,60166.39819921432
05/2022,55695.298354283615
06/2022,52451.71679836251
07/2022,59207.97455162896
08/2022,59339.083150115795
09/2022,53548.97657178295
10/2022,55013.035560892364
11/2022,55327.72689242869
12/2022,50901.787555133655
01/2023,57420.688301487906
02/2023,59317.95712207358
03/2023,61235.00360650564
04/2023,56762.00996160405
05/2023,65205.067895967164
06/2023,67952.43161194514
07/2023,70709.6252408825
08/2023,68201.93881222015
09/2023,66074.44470367862
10/2023,63147.007923860074
11/2023,72130.53147044135
12/2023,76764.02314388058
01/2024,78640.87242415229
02/2024,84072.55693977076
03/2024,83926.1661345503
04/2024,80349.86465811593
