Data,IE00BK5BQV03
03/2005,10000
04/2005,9856.459360593277
05/2005,10513.490345349104
06/2005,10831.289001318075
07/2005,11181.835119885864
08/2005,11126.472905403045
09/2005,11630.209162267722
10/2005,11437.332895146457
11/2005,11999.362470951257
12/2005,12251.208527968296
01/2006,12435.174871732848
02/2006,12657.339972216365
03/2006,12757.33914506089
04/2006,12624.578514512723
05/2006,11980.730324345423
06/2006,12048.84043326349
07/2006,12166.208373161153
08/2006,12445.340456823791
09/2006,12739.721106274914
10/2006,13104.483858082966
11/2006,12931.838875903723
12/2006,13270.787159554598
01/2007,13622.329879031646
02/2007,13324.221796829803
03/2007,13466.94048419531
04/2007,13725.776685182665
05/2007,14330.366887555483
06/2007,14185.379306165298
07/2007,13691.65453104139
08/2007,13751.345872022228
09/2007,13813.359348216605
10/2007,14017.988900728824
11/2007,13286.288657572235
12/2007,13155.285688723203
01/2008,11993.798906688733
02/2008,11630.72215886968
03/2008,11035.251759762903
04/2008,11833.612156774001
05/2008,12036.756755349892
06/2008,10899.839686447302
07/2008,10767.226939969754
08/2008,11247.785347483914
09/2008,10414.748966385241
10/2008,9345.220284801593
11/2008,8746.415938891025
12/2008,8255.839251656638
01/2009,8155.144260657106
02/2009,7401.093880377541
03/2009,7629.441310300679
04/2009,8517.761366352033
05/2009,8715.0153681619
06/2009,8763.22641464678
07/2009,9417.115909494603
08/2009,9695.10509465595
09/2009,9897.808733540762
10/2009,9623.274472653691
11/2009,9839.418301484304
12/2009,10494.172307318555
01/2010,10385.823459440497
02/2010,10715.362120017808
03/2010,11494.709629558323
04/2010,11708.968208633796
05/2010,11458.435752595517
06/2010,11109.074540453756
07/2010,11296.145099067091
08/2010,11146.863204187039
09/2010,11365.497637725606
10/2010,11568.636186495683
11/2010,12069.82313133127
12/2010,12586.360927908905
01/2011,12600.255841299388
02/2011,12908.517040404486
03/2011,12484.590508587044
04/2011,12468.900959712908
05/2011,12605.646915332545
06/2011,12307.921330452487
07/2011,12193.448887065606
08/2011,11288.467310916358
09/2011,11045.509094445095
10/2011,11745.664374357584
11/2011,11854.227705745778
12/2011,12272.970461200015
01/2012,12814.944925481934
02/2012,13161.176000871483
03/2012,13383.252011268038
04/2012,13327.79483761016
05/2012,13037.004256139668
06/2012,13350.535709323
07/2012,13944.77504477676
08/2012,13963.879514936818
09/2012,14078.607379632342
10/2012,13892.847499546522
11/2012,14032.037803495426
12/2012,14127.173208510103
01/2013,14396.904735831607
02/2013,14988.623769790123
03/2013,15591.551120078992
04/2013,15661.624670799005
05/2013,15955.393119008493
06/2013,15508.09450360151
07/2013,15974.427449834644
08/2013,15768.759702958563
09/2013,16139.62520008927
10/2013,16698.067352084174
11/2013,16974.536374904957
12/2013,17114.823253786424
01/2014,16837.87955127602
02/2014,17250.755357204744
03/2014,17331.935191752662
04/2014,17406.291972018767
05/2014,18057.02808353556
06/2014,18324.294309655706
07/2014,18467.43523595542
08/2014,19162.762690948126
09/2014,19388.885440783168
10/2014,19695.93725664251
11/2014,20181.126146684972
12/2014,20457.68077808657
01/2015,21565.912355815104
02/2015,22975.157643884882
03/2015,23628.370097060808
04/2015,23205.79455137038
05/2015,24176.054823522358
06/2015,22876.196718954707
07/2015,23449.602175650038
08/2015,21614.985846489082
09/2015,20552.90083697738
10/2015,22823.487321124034
11/2015,23748.179459442334
12/2015,22701.137713640826
01/2016,20795.895477579576
02/2016,21177.09313835053
03/2016,21610.226378449956
04/2016,21842.143563983587
05/2016,22601.619652617443
06/2016,22407.959048256093
07/2016,23212.971304769675
08/2016,23353.320686028823
09/2016,23281.355225391548
10/2016,23407.951340469743
11/2016,24524.57211447231
12/2016,25427.087577421455
01/2017,25281.464522606464
02/2017,26509.601261632473
03/2017,26588.56034406715
04/2017,26522.427712692035
05/2017,26282.944191801176
06/2017,26023.648169659715
07/2017,25866.48447572372
08/2017,25616.247380889028
09/2017,26320.785617649904
10/2017,27293.006950904055
11/2017,27248.226001590054
12/2017,27453.41561062368
01/2018,27962.628502562256
02/2018,27272.83412599351
03/2018,26492.85924886716
04/2018,27299.40323441433
05/2018,28408.07174324118
06/2018,28364.195950499005
07/2018,29133.13326682003
08/2018,29645.519502512976
09/2018,29813.564585440075
10/2018,28342.776073963723
11/2018,28709.475621007423
12/2018,26317.90170606575
01/2019,28251.76006262607
02/2019,29293.960273393157
03/2019,30094.146363792785
04/2019,31217.615415975888
05/2019,29580.00003365057
06/2019,30857.870578957234
07/2019,31681.344256614375
08/2019,31366.140703172932
09/2019,32424.96238171187
10/2019,32523.363710252223
11/2019,33795.4220224607
12/2019,34264.00196655137
01/2020,34457.74624976494
02/2020,31836.439036839776
03/2020,27693.62225814268
04/2020,30749.5374818321
05/2020,31755.528197516946
06/2020,32302.95854159953
07/2020,32127.4871010376
08/2020,33905.72957227199
09/2020,33426.43203412618
10/2020,32611.948538560486
11/2020,35872.69528688331
12/2020,36639.183822954066
01/2021,36559.364787122075
02/2021,37515.31389686303
03/2021,40066.88835272968
04/2021,40907.045072780435
05/2021,40889.32655681596
06/2021,42741.09543976878
07/2021,43417.65879818487
08/2021,44665.30332727235
09/2021,43825.80043976876
10/2021,46070.2702382086
11/2021,46245.142573398756
12/2021,47794.705317303524
01/2022,45924.45579258625
02/2022,44075.504098995196
03/2022,46813.49778257593
04/2022,45992.11691786837
05/2022,44273.82237351386
06/2022,41408.22809082387
07/2022,45343.20735610089
08/2022,44490.196867175684
09/2022,41874.48046147008
10/2022,43924.917814488945
11/2022,45194.09949413777
12/2022,41835.85694502396
