Data,IE00BK5BQY34
03/2005,10000
04/2005,9754.784953489803
05/2005,10320.525408775578
06/2005,10668.868856071596
07/2005,11157.320748660264
08/2005,11082.171887863222
09/2005,11608.870660783625
10/2005,11322.900734264773
11/2005,11779.90146287527
12/2005,12224.320777666117
01/2006,12679.0472232263
02/2006,13001.223224728574
03/2006,13396.735905091771
04/2006,13478.765717612718
05/2006,12839.960468248006
06/2006,12913.542509675093
07/2006,13098.861361601692
08/2006,13533.357900890427
09/2006,13899.29634930276
10/2006,14342.070547487561
11/2006,14374.115922393608
12/2006,14959.240578843908
01/2007,15331.14099258886
02/2007,15017.86490813543
03/2007,15463.654519881014
04/2007,16249.406514178398
05/2007,16821.818183259347
06/2007,16672.42108100002
07/2007,16130.226525874858
08/2007,15991.788013371342
09/2007,16204.553194172493
10/2007,16582.373912356237
11/2007,16018.70363624333
12/2007,15862.808820912052
01/2008,13922.421230657274
02/2008,13879.41559060923
03/2008,13523.090802760438
04/2008,14305.522912195247
05/2008,14517.237964401687
06/2008,12906.212633275407
07/2008,12736.670129860082
08/2008,12920.479413656189
09/2008,11506.694905518849
10/2008,9856.774056761249
11/2008,9193.887895089149
12/2008,9173.875570883407
01/2009,8616.074749834777
02/2009,7736.988165433748
03/2009,8050.394689445952
04/2009,9294.618797024148
05/2009,9738.929569101561
06/2009,9603.729945830128
07/2009,10559.307061802472
08/2009,11171.555290426788
09/2009,11575.923785365221
10/2009,11184.11765055127
11/2009,11317.975088125602
12/2009,11961.609488858663
01/2010,11544.031965656197
02/2010,11473.70193218148
03/2010,12373.489114774227
04/2010,12189.865085025118
05/2010,11532.9775576927
06/2010,11547.018356745872
07/2010,12117.837404563683
08/2010,11839.653471852365
09/2010,12372.31852775427
10/2010,12708.359821347432
11/2010,12358.297627655045
12/2010,13090.090058047756
01/2011,13473.874790786682
02/2011,13750.091921718651
03/2011,13383.63245853098
04/2011,13904.667229378045
05/2011,13831.760587976893
06/2011,13533.907331668968
07/2011,12946.846362276941
08/2011,11437.11587659676
09/2011,10746.843586748611
10/2011,11606.425668008787
11/2011,11364.713303298122
12/2011,11480.606538112868
01/2012,12024.177301058126
02/2012,12592.333443721864
03/2012,12613.313987375843
04/2012,12184.462890604214
05/2012,11418.304793530668
06/2012,12069.62405889862
07/2012,12569.388870830895
08/2012,12905.266192150833
09/2012,13059.584229880296
10/2012,13212.99048599996
11/2012,13594.434072383228
12/2012,13850.959281965026
01/2013,14378.285413557669
02/2013,14496.141275199032
03/2013,14630.667795806512
04/2013,14999.168828160193
05/2013,15349.059868429385
06/2013,14601.035525195224
07/2013,15407.199020537528
08/2013,15256.397205851643
09/2013,16053.799787779724
10/2013,16733.269395646217
11/2013,16931.992476365576
12/2013,17058.903063632206
01/2014,16803.65472318406
02/2014,17624.827833852847
03/2014,17683.143489512866
04/2014,17872.124949474597
05/2014,18390.51528934164
06/2014,18252.843238046156
07/2014,17748.967684627445
08/2014,18112.60211559102
09/2014,18139.26442290049
10/2014,17946.706413040753
11/2014,18685.022213263837
12/2014,18275.719345801943
01/2015,19679.512664797552
02/2015,20931.72387342649
03/2015,21736.426498451485
04/2015,21550.289610613818
05/2015,22350.57152432541
06/2015,20890.823471142376
07/2015,21859.768089977024
08/2015,20046.642047731668
09/2015,18833.31446221144
10/2015,20760.770193191693
11/2015,21360.642723351168
12/2015,20374.37627955654
01/2016,18641.729493525483
02/2016,18576.846475559007
03/2016,18968.20958170066
04/2016,19294.764624559542
05/2016,19772.78210658041
06/2016,18893.527262243773
07/2016,19671.004594071863
08/2016,19812.63850775674
09/2016,19796.689389683183
10/2016,19777.35584346574
11/2016,19767.009688885297
12/2016,20999.89827227055
01/2017,21028.160275041788
02/2017,21505.067155061613
03/2017,22536.31120439133
04/2017,23095.56372797343
05/2017,23542.062522014265
06/2017,23034.43998197158
07/2017,23057.165549449965
08/2017,22905.034289043946
09/2017,23659.057921930034
10/2017,24239.38946488639
11/2017,23776.89256870972
12/2017,23676.540121152386
01/2018,24305.98254308495
02/2018,23393.533289437575
03/2018,22870.533471824925
04/2018,23804.782915053096
05/2018,23628.71891775721
06/2018,23512.380357151073
07/2018,24495.329058071762
08/2018,24091.328296516116
09/2018,24326.98726661416
10/2018,22702.24331106365
11/2018,22558.665041089527
12/2018,21264.477540832944
01/2019,22553.808145540293
02/2019,23460.977722800748
03/2019,23927.793637758616
04/2019,24960.777024297164
05/2019,23845.758504138168
06/2019,25069.778398422222
07/2019,25127.564167402074
08/2019,24942.6829577709
09/2019,25741.745547544153
10/2019,26005.981384295817
11/2019,26670.63972798175
12/2019,27114.092333112952
01/2020,26903.028909225945
02/2020,24891.494145228455
03/2020,21457.944782068647
04/2020,22875.16241448929
05/2020,23903.354947953452
06/2020,24823.90267470705
07/2020,24699.041954387554
08/2020,25479.154144442888
09/2020,25256.49478042391
10/2020,23891.632512565713
11/2020,27280.800317758418
12/2020,27908.978804526978
01/2021,27618.606003935754
02/2021,28222.93488862074
03/2021,30061.36074508249
04/2021,30775.366218903073
05/2021,31658.04869437732
06/2021,32293.21202987319
07/2021,33020.74536106318
08/2021,33739.72071266228
09/2021,32521.787022039152
10/2021,34060.80162349053
11/2021,33227.298690959164
12/2021,34942.45508420096
01/2022,33244.420109955674
02/2022,30907.392601891712
03/2022,32570.70257098534
04/2022,31603.93656892214
05/2022,31513.67443233529
06/2022,28896.132693825493
07/2022,30797.38473590303
08/2022,29560.458541622953
09/2022,27301.75983309171
10/2022,29486.79063331352
11/2022,31588.6859628503
12/2022,30555.706555799086
