Data,IE00BKLC5874
10/2019,10000
11/2019,10025.955166666665
12/2019,10113.911615156861
01/2020,10129.016718229612
02/2020,9960.271231424373
03/2020,8677.772340044903
04/2020,9157.947324949282
05/2020,9385.495087795693
06/2020,9572.980860671596
07/2020,9705.828921541448
08/2020,9854.900213230454
09/2020,9799.76729347595
10/2020,9811.189497176196
11/2020,10190.380723655204
12/2020,10263.874468869612
01/2021,10313.354743969094
02/2021,10365.122893429723
03/2021,10409.512608463632
04/2021,10473.405077251318
05/2021,10481.569422228167
06/2021,10538.351735644452
07/2021,10579.721423029925
08/2021,10605.944045314287
09/2021,10578.22948348029
10/2021,10507.545256149104
11/2021,10436.061063301837
12/2021,10521.349947457824
01/2022,10375.414010523113
02/2022,10053.691792940308
03/2022,10055.621724611045
04/2022,9762.62835201163
05/2022,9658.825269397905
06/2022,9026.612674097814
07/2022,9435.267723620345
08/2022,9304.902974074343
09/2022,8947.215319270043
10/2022,9084.24467718596
11/2022,9405.472991477562
12/2022,9365.495715540002
01/2023,9627.545094835774
02/2023,9609.274032920046
03/2023,9550.000621821966
04/2023,9592.832867813664
05/2023,9662.592862937463
06/2023,9688.941413951754
07/2023,9794.649098383974
08/2023,9804.672326109778
09/2023,9828.347650291611
10/2023,9810.40795980635
11/2023,10084.382925872484
12/2023,10371.932323100915
01/2024,10396.183954521372
02/2024,10408.254881509498
03/2024,10452.646201132438
04/2024,10443.311387384887
