Data,IE00BKM4GZ66
05/1994,10000
06/1994,9714.080886856183
07/1994,9944.322911137486
08/1994,11355.854797305032
09/1994,11441.908372827062
10/1994,11180.866697657544
11/1994,10688.487225656845
12/1994,10468.079346184002
01/1995,9376.910450760291
02/1995,9276.296136384313
03/1995,8941.991483651964
04/1995,8970.242389160518
05/1995,9659.590606144013
06/1995,9547.911920772849
07/1995,9609.735764701085
08/1995,9629.96892555579
09/1995,9699.051236206358
10/1995,9258.687231367612
11/1995,9017.063245953255
12/1995,9571.147222204912
01/1996,10442.25682608142
02/1996,10354.492237321432
03/1996,10353.823876034183
04/1996,10803.796932349174
05/1996,10787.135440377508
06/1996,10737.337376712769
07/1996,9851.925033231673
08/1996,10006.250590732796
09/1996,10163.495801088158
10/1996,9907.813271478406
11/1996,9913.570698822332
12/1996,10135.69042739012
01/1997,11110.861132837694
02/1997,12149.49010014556
03/1997,11981.254085193645
04/1997,11820.709393697185
05/1997,11951.9398495942
06/1997,12684.866910691017
07/1997,13158.998051913883
08/1997,11796.616596689937
09/1997,11620.164942591364
10/1997,9478.161384725816
11/1997,8811.105153256683
12/1997,9087.342204807708
01/1998,8642.217116553562
02/1998,9536.82926081394
03/1998,9896.709742837465
04/1998,9763.451207988155
05/1998,8343.63906244685
06/1998,7444.291032062952
07/1998,7598.289949233115
08/1998,5444.546635419839
09/1998,5369.26606785273
10/1998,5683.748768167789
11/1998,6273.4357576292405
12/1998,6042.7879386643035
01/1999,5926.26285608092
02/1999,6201.854074610459
03/1999,7216.822767616226
04/1999,8236.583557359681
05/1999,8260.86640286155
06/1999,9222.226196248115
07/1999,8693.728052106351
08/1999,8743.152323659211
09/1999,8319.538165626216
10/1999,8679.224223811374
11/1999,9874.836848110835
12/1999,11499.831005615708
01/2000,11850.122795141815
02/2000,11918.07853456056
03/2000,12113.972022290565
04/2000,11393.346261968209
05/2000,10530.814460575459
06/2000,10578.66724680495
07/2000,10402.023759442643
08/2000,10906.458240486589
09/2000,9979.595561749078
10/2000,9557.203210354855
11/2000,8499.2279423321
12/2000,8027.986837113814
01/2001,9128.032315975206
02/2001,8489.203324742462
03/2001,8055.890846620718
04/2001,8347.44303334694
05/2001,8831.602988341587
06/2001,8672.590416365621
07/2001,7859.075276237661
08/2001,7432.783693377406
09/2001,6307.038583575783
10/2001,6716.902325641204
11/2001,7581.111253490255
12/2001,8307.525244258839
01/2002,8757.16320722786
02/2002,8868.77026131328
03/2002,9367.02432556084
04/2002,9132.389501665044
05/2002,8578.027726109078
06/2002,7458.81243807975
07/2002,7059.579742005005
08/2002,7128.295534464853
09/2002,6337.952086898277
10/2002,6723.956278228788
11/2002,7127.24858074159
12/2002,6527.069807912271
01/2003,6333.036415460861
02/2003,6173.221361132682
03/2003,5909.464636144808
04/2003,6271.303547311697
05/2003,6335.257975560271
06/2003,6942.98098183934
07/2003,7427.753281993713
08/2003,8199.677586600827
09/2003,7725.289552905516
10/2003,8368.512609728117
11/2003,8238.598342488092
12/2003,8353.956846044213
01/2004,8837.246528452966
02/2004,9244.069120190386
03/2004,9514.840237718892
04/2004,8975.533662611553
05/2004,8613.395096887323
06/2004,8665.126021225107
07/2004,8557.55105014125
08/2004,8866.491671118305
09/2004,9151.28600736866
10/2004,9143.649273773624
11/2004,9568.978429299517
12/2004,9821.738261421053
01/2005,10288.837540104521
02/2005,11000.177354979945
03/2005,10530.229612121972
04/2005,10247.463740039799
05/2005,11138.831630653587
06/2005,11759.543160311227
07/2005,12555.896540315765
08/2005,12525.778424766751
09/2005,13794.783961258612
10/2005,12919.974037601098
11/2005,14299.340849628836
12/2005,15166.704822319856
01/2006,16334.791042487142
02/2006,16660.14223454856
03/2006,16474.985907063878
04/2006,17059.436907374216
05/2006,14957.086157824726
06/2006,14984.775594073782
07/2006,15130.65417577432
08/2006,15428.900241644575
09/2006,15819.489815392448
10/2006,16516.94597587513
11/2006,17101.7686919609
12/2006,17911.92310006714
01/2007,18021.795688991093
02/2007,17639.341551285368
03/2007,18198.75413390658
04/2007,18692.043788754578
05/2007,19890.713199771795
06/2007,20753.46205796015
07/2007,21621.11036484467
08/2007,21084.767126328315
09/2007,22546.9094777923
10/2007,24497.67146849594
11/2007,22285.941840931086
12/2007,22428.440127074566
01/2008,19376.47159679091
02/2008,20405.555382737875
03/2008,18516.76510858355
04/2008,20321.292068348495
05/2008,20694.593384836502
06/2008,18282.4957960238
07/2008,17811.181984123607
08/2008,17382.630027830015
09/2008,14714.216715944262
10/2008,11931.858290926933
11/2008,11079.720794078763
12/2008,10979.163278551583
01/2009,11158.410167110735
02/2009,10696.161120263198
03/2009,11620.338333066893
04/2009,13663.044607137426
05/2009,15159.864484411732
06/2009,14937.98470785334
07/2009,16645.893450536256
08/2009,16462.213611241015
09/2009,17482.911286142225
10/2009,17328.531653637674
11/2009,17811.321752758813
12/2009,19364.016473484196
01/2010,18905.634397641723
02/2010,19524.09091454292
03/2010,21259.600140427203
04/2010,21816.761850436327
05/2010,21486.69317861285
06/2010,21450.66252978419
07/2010,21868.74425076256
08/2010,22099.279247247992
09/2010,22839.064969275518
10/2010,23184.021597742503
11/2010,24075.434070601663
12/2010,25053.69485481078
01/2011,23771.843530857244
02/2011,23224.599330090623
03/2011,23911.35544809721
04/2011,23607.10004042102
05/2011,23737.888105373044
