Data,IE00BKPSFC54
06/1994,10000
07/1994,10104.616711298986
08/1994,10523.9757541555
09/1994,10092.15065550648
10/1994,10193.079849037633
11/1994,9933.94964661994
12/1994,10223.326073685532
01/1995,10069.871301742542
02/1995,10278.587619139538
03/1995,10261.32589521344
04/1995,10346.809101675824
05/1995,10887.052258950327
06/1995,10853.445915585553
07/1995,11073.893536964662
08/1995,11273.012589524764
09/1995,11899.938594502204
10/1995,11816.405266861737
11/1995,12221.763758034966
12/1995,12902.639583063563
01/1996,13348.185279842326
02/1996,13508.574129103978
03/1996,13545.324172832805
04/1996,13829.223946853424
05/1996,14219.414738493057
06/1996,14215.796755488527
07/1996,13734.560776656104
08/1996,13888.878679204781
09/1996,14526.550795345649
10/1996,15209.789203498169
11/1996,15959.247295863359
12/1996,16453.84804361193
01/1997,17277.478057562632
02/1997,18387.71038229945
03/1997,18372.348394899826
04/1997,18843.284852969813
05/1997,19796.061465405004
06/1997,20802.42679549712
07/1997,22580.326621489534
08/1997,22074.819407001283
09/1997,23080.84220451496
10/1997,21680.24825694189
11/1997,21733.78076754886
12/1997,22959.484508077163
01/1998,23683.460759834346
02/1998,25248.775537704085
03/1998,26916.862640334493
04/1998,26759.199832319176
05/1998,26179.4476862176
06/1998,26479.77326518242
07/1998,26415.387330168644
08/1998,23269.195541700214
09/1998,22751.878350145125
10/1998,23342.134984681255
11/1998,25116.78897873573
12/1998,25608.67050934909
01/1999,26477.2464411238
02/1999,26906.280933591064
03/1999,28149.20867504431
04/1999,30582.632841779312
05/1999,29774.543524435598
06/1999,30741.2478518258
07/1999,29473.65064535344
08/1999,29335.919129270555
09/1999,28400.160791231152
10/1999,30020.598871323775
11/1999,31328.40975470594
12/1999,32369.438366936396
01/2000,30710.231762992513
02/2000,29751.027845514098
03/2000,32636.790725132065
04/2000,33322.34112506425
05/2000,32704.222001706752
06/2000,31514.041834090258
07/2000,32550.653821286905
08/2000,34455.77063008124
09/2000,35099.54016266119
10/2000,37320.27543948386
11/2000,35590.61706489465
12/2000,35347.87992116249
01/2001,35636.99481922101
02/2001,34682.51981870807
03/2001,34607.99298627824
04/2001,36193.16241818999
05/2001,37889.25545283959
06/2001,37059.61959699593
07/2001,35935.33634554315
08/2001,33878.69945350519
09/2001,31298.838987288815
10/2001,31506.574029850875
11/2001,33086.06369312706
12/2001,34193.40249236626
01/2002,34193.86579533521
02/2002,34552.048321910464
03/2002,36075.384677544775
04/2002,34927.65887350696
05/2002,34039.768316869544
06/2002,30777.55353463058
07/2002,28564.01690097908
08/2002,28703.397149921377
09/2002,25178.648964220953
10/2002,26924.71533393655
11/2002,27708.506624984082
12/2002,25817.074074695378
01/2003,24013.719873408307
02/2003,23579.569274700738
03/2003,23122.162906287125
04/2003,24842.254827710844
05/2003,24776.853054108105
06/2003,26184.422449998645
07/2003,26424.88311016764
08/2003,27473.78261888181
09/2003,26003.602111686647
10/2003,27387.899132454022
11/2003,27183.500753788732
12/2003,27871.71395269161
01/2004,28510.53401946337
02/2004,29202.473837932343
03/2004,29235.76777330671
04/2004,29576.74806801627
05/2004,29282.673332272723
06/2004,29845.41252489877
07/2004,29979.66977374706
08/2004,30373.142599555962
09/2004,30291.964538948276
10/2004,30265.806656195316
11/2004,30486.981251900885
12/2004,30900.49154252413
01/2005,31746.241597956116
02/2005,32760.802709330535
03/2005,32640.504789781276
04/2005,32291.64642014329
05/2005,34034.11528390714
06/2005,35266.57390467031
07/2005,36087.5065696174
08/2005,35984.90035865579
09/2005,37191.75221708778
10/2005,36367.75947664409
11/2005,37871.45781754181
12/2005,38565.36531864276
01/2006,39126.84128777735
02/2006,40339.83747437107
03/2006,40208.42896887281
04/2006,40593.32071576203
05/2006,38654.52450636794
06/2006,39311.0763960034
07/2006,40202.96356100863
08/2006,41093.15740093254
09/2006,42231.52031846904
10/2006,43574.761358995434
11/2006,42879.79024726167
12/2006,44361.79307776797
01/2007,45321.93582410311
02/2007,44105.06013453315
03/2007,45007.087601698186
04/2007,46398.69806947914
05/2007,47900.687352920555
06/2007,47280.199973311224
07/2007,45248.312010476686
08/2007,45263.02640600998
09/2007,45570.851412275544
10/2007,46266.82542081987
11/2007,43194.766148648974
12/2007,42438.85249901251
01/2008,38785.00114808436
02/2008,37037.606170423715
03/2008,35619.22936922764
04/2008,37794.71421063697
05/2008,37641.029990602336
06/2008,33124.56331818928
07/2008,33436.634249229646
08/2008,34598.93572445582
09/2008,32268.74571870855
10/2008,29315.577795539833
11/2008,27289.183726439303
12/2008,25756.874274054982
01/2009,24141.38822486908
02/2009,21639.250505910295
03/2009,22375.416414906675
04/2009,25644.429738430124
05/2009,26918.169518409377
06/2009,26646.510050670226
07/2009,29391.859879274918
08/2009,30502.271241913586
09/2009,31145.723473570117
10/2009,30539.6370253758
11/2009,31229.965797805333
12/2009,33157.21060659605
01/2010,32532.702358048657
02/2010,33452.97484819773
03/2010,35513.17116376449
04/2010,35751.656092989055
05/2010,34557.576134410076
06/2010,34143.72779978033
07/2010,34957.23042831938
08/2010,35420.54235537599
09/2010,35736.574109935886
10/2010,36390.53820136646
11/2010,36860.221022728074
12/2010,38184.1484286242
01/2011,37906.9969336045
02/2011,38860.26476777926
03/2011,38070.6223267054
04/2011,38571.94719784268
05/2011,39342.28928073516
06/2011,38648.1474118271
07/2011,38441.70549487176
08/2011,36435.74652385718
09/2011,36531.795412733045
10/2011,38039.457099700085
11/2011,38994.256542923635
12/2011,41183.48653313923
01/2012,40629.64962429199
02/2012,41510.03802593716
03/2012,41994.76498224216
04/2012,42327.157558579886
05/2012,41771.92304945177
06/2012,43918.61026254727
07/2012,46212.475210341145
08/2012,45636.38995104128
09/2012,45592.28670435451
10/2012,45200.038362496845
11/2012,45625.40063106468
12/2012,45587.316470701284
01/2013,46753.38786512658
02/2013,48402.25249676333
03/2013,51011.42164356198
04/2013,52229.77316313453
05/2013,50887.598158114204
06/2013,49380.15003648668
07/2013,50982.142479187365
08/2013,49908.4107811834
09/2013,51288.854145201716
10/2013,52836.678043316955
11/2013,53241.30080551466
12/2013,53396.03683320845
01/2014,52355.22853655547
02/2014,54158.3500595258
03/2014,54828.591224355325
04/2014,56161.91515368465
05/2014,57784.4095501957
06/2014,58428.37457906196
07/2014,58556.324123036844
08/2014,60262.01704236405
09/2014,61204.37982068398
10/2014,61275.257157216554
11/2014,62332.34126758022
12/2014,62409.19514768005
01/2015,66217.5858227271
02/2015,69385.20415707462
03/2015,70661.95954606659
04/2015,70262.07448991691
05/2015,71330.13362542624
06/2015,67496.24458788431
07/2015,70044.62843944365
08/2015,64394.93102076743
09/2015,62838.09553265426
10/2015,68842.62721226522
11/2015,70651.48718617568
12/2015,67686.1983038793
01/2016,65138.41477146668
02/2016,65838.44392336824
03/2016,67259.45546356213
04/2016,68576.0783679076
05/2016,70190.69038345927
06/2016,71203.12175575293
07/2016,72862.0050939104
08/2016,72365.00790391136
09/2016,72712.89274468976
10/2016,71937.16313133725
11/2016,73966.69817640823
12/2016,76801.36639382808
01/2017,76284.85975384874
02/2017,79809.69657473346
03/2017,80321.64972238045
04/2017,79131.32128861433
05/2017,79277.18346619116
06/2017,77819.66403726774
07/2017,76983.861743171
08/2017,76501.00089866303
09/2017,78604.61080444753
10/2017,80018.0315557604
11/2017,80388.00912605031
12/2017,80141.45025425119
01/2018,80025.79509165713
02/2018,77596.24159415529
03/2018,75651.44965756185
04/2018,77830.65984542196
05/2018,79451.59018699371
06/2018,79975.93327935303
