Data,IE00BKX55R35
03/2005,10000
04/2005,9860.394702012525
05/2005,10665.113225849924
06/2005,10956.104863885654
07/2005,11343.023392273126
08/2005,11143.897591221792
09/2005,11497.463917492249
10/2005,11354.675097570853
11/2005,11994.27458678783
12/2005,12023.318412367713
01/2006,12042.605154228915
02/2006,12259.847582941931
03/2006,12244.961223215467
04/2006,11931.077121529062
05/2006,11370.813454650743
06/2006,11432.54697590392
07/2006,11505.519628337444
08/2006,11752.169271306813
09/2006,12147.436008531
10/2006,12462.237918749817
11/2006,12246.991049506576
12/2006,12458.485571060153
01/2007,12844.386687941724
02/2007,12414.515124934358
03/2007,12465.974112010696
04/2007,12684.058845095316
05/2007,13353.813301600721
06/2007,13100.201676622351
07/2007,12549.450170806093
08/2007,12790.374546160803
09/2007,12764.389571969215
10/2007,12821.691931433761
11/2007,12067.740311347769
12/2007,12059.430678609226
01/2008,11194.220615623843
02/2008,10633.012177014594
03/2008,10090.906190360074
04/2008,10792.716468872848
05/2008,11026.93607142229
06/2008,10001.561858495308
07/2008,9973.619814249809
08/2008,10699.597127138719
09/2008,10188.3112795036
10/2008,9281.082295076541
11/2008,8602.853759670958
12/2008,7931.2141862814615
01/2009,7914.752544344412
02/2009,7171.652807492073
03/2009,7462.022826591948
04/2009,8227.06638833676
05/2009,8208.606350521582
06/2009,8262.83067633371
07/2009,8824.062265567969
08/2009,8995.101579537662
09/2009,9182.781429658315
10/2009,8895.46745243778
11/2009,9268.012557491378
12/2009,9901.604224141693
01/2010,9842.462426060472
02/2010,10351.756975104912
03/2010,11087.594714122371
04/2010,11453.497934738798
05/2010,11414.763951256467
06/2010,10829.812902888887
07/2010,10886.752404493755
08/2010,10678.00815473847
09/2010,10826.761016257355
10/2010,11039.015886216717
11/2010,11791.416896054923
12/2010,12212.875253011765
01/2011,12205.61284274566
02/2011,12562.137613947183
03/2011,12229.421452937093
04/2011,12029.806077823067
05/2011,12254.704554738464
06/2011,11934.61503890986
07/2011,11790.856903700926
08/2011,11145.575228172129
09/2011,11039.414306061362
10/2011,11772.928939462892
11/2011,12138.595062425942
12/2011,12667.628977572555
01/2012,13173.364083320532
02/2012,13442.905704344874
03/2012,13868.947158570723
04/2012,13887.48661599839
05/2012,13915.126254591827
06/2012,14089.591228804378
07/2012,14722.571798548825
08/2012,14730.113267749404
09/2012,14811.614287988721
10/2012,14460.557628711475
11/2012,14484.863271471431
12/2012,14431.02139515021
01/2013,14721.019137405761
02/2013,15452.572284592046
03/2013,16288.430289599546
04/2013,16137.204990997738
05/2013,16746.98245324417
06/2013,16425.37124256078
07/2013,16930.33788437735
08/2013,16596.598954033612
09/2013,16702.800585959016
10/2013,17358.78544756137
11/2013,17784.06217953343
12/2013,18032.39372097054
01/2014,17789.420479687215
02/2014,18171.565936267154
03/2014,18359.29220399188
04/2014,18388.618512541154
05/2014,19110.475555928668
06/2014,19498.11896639059
07/2014,19683.550763878477
08/2014,20774.795193764592
09/2014,21219.85040198088
10/2014,21860.309703743816
11/2014,22515.896264946277
12/2014,23095.650200728374
01/2015,23968.32754493408
02/2015,25594.33807572035
03/2015,26228.49107647392
04/2015,25447.87313592484
05/2015,26671.222258191414
06/2015,25329.671953895173
07/2015,25973.5252054624
08/2015,24063.097240355466
09/2015,22915.286190713177
10/2015,25623.43623702066
11/2015,26850.97771040306
12/2015,25593.728205104173
01/2016,23525.044322345286
02/2016,24275.335237611074
03/2016,24775.89064805082
04/2016,24838.91098077353
05/2016,25952.49865402115
06/2016,26067.60956287823
07/2016,26855.95572066834
08/2016,27012.170573828676
09/2016,26803.44126881762
10/2016,26978.443312221345
11/2016,28885.601502750163
12/2016,29903.1989831111
01/2017,29520.164694445106
02/2017,31265.529740464983
03/2017,30967.00480683588
04/2017,30686.15449893572
05/2017,30097.85509487004
06/2017,29899.068930915746
07/2017,29674.995936725674
08/2017,29399.85855390221
09/2017,30193.087619952454
10/2017,31308.848482915088
11/2017,31471.01080745393
12/2017,31648.91169415937
01/2018,32275.49854295647
02/2018,31601.86218633443
03/2018,30582.92091077187
04/2018,31281.74884026419
05/2018,33153.37610644792
06/2018,33336.59039487869
07/2018,34454.3749864588
08/2018,35687.14162951436
09/2018,35724.57171433194
10/2018,34276.023826971905
11/2018,34959.14835846565
12/2018,31513.75182251314
01/2019,34010.348013946605
02/2019,35392.33906242619
03/2019,36522.93698726032
04/2019,38065.532996075075
05/2019,35893.068919835336
06/2019,37562.599558520305
07/2019,38967.14554617575
08/2019,38722.29489069547
09/2019,39858.38890609982
10/2019,39750.82076096999
11/2019,41694.23200831413
12/2019,42173.359148158524
01/2020,42801.39521952566
02/2020,39678.9428173169
03/2020,34531.83755606784
04/2020,39094.715024131256
05/2020,40444.70604321937
06/2020,40970.681711268146
07/2020,41179.10060019837
08/2020,43776.113831989096
09/2020,42909.56926894323
10/2020,42011.00514775012
11/2020,45684.19302121573
12/2020,46442.973187192816
01/2021,46331.7621815659
02/2021,47649.14943992634
03/2021,51161.7460646566
04/2021,52616.622389465876
05/2021,52172.55429641284
06/2021,55168.940519039395
07/2021,56371.63832856838
08/2021,58197.3022047194
09/2021,56986.08545288048
10/2021,60614.80639296121
11/2021,61514.53396666455
12/2021,63378.17600823368
01/2022,60845.04050284943
02/2022,58352.81938606083
03/2022,62426.34002530364
04/2022,61577.40197529028
05/2022,58264.762405939735
06/2022,54739.91807438435
07/2022,60566.65537446968
08/2022,59595.14035141981
09/2022,56503.965561063305
10/2022,59385.47836860742
11/2022,60134.4761118022
12/2022,54651.422020649494
