Data,IE00BL25JL35
11/1998,10000
12/1998,10506.905253407345
01/1999,11109.198523857238
02/1999,11047.435001773902
03/1999,11712.145748431618
04/1999,12242.507586637183
05/1999,11855.269239253721
06/1999,12620.428680872883
07/1999,11969.2705839026
08/1999,12136.288633625494
09/1999,11801.575689704927
10/1999,12688.1972380835
11/1999,13470.93628882984
12/1999,14633.194142878912
01/2000,13823.873282840335
02/2000,13702.145971136537
03/2000,15031.3268660478
04/2000,15183.58473972839
05/2000,14700.599767928225
06/2000,14920.029652107523
07/2000,15272.605535464994
08/2000,16001.825229562734
09/2000,15763.681754988698
10/2000,16512.047857984373
11/2000,15429.865530258417
12/2000,14887.747034847414
01/2001,14828.169368199857
02/2001,13651.463844852366
03/2001,13347.186088274077
04/2001,14283.649988460722
05/2001,14728.105637242115
06/2001,14348.90586213248
07/2001,14041.26432805536
08/2001,12755.438967517473
09/2001,11952.246050895414
10/2001,12289.182446818224
11/2001,13258.565258502189
12/2001,13615.6554141078
01/2002,13715.33690732065
02/2002,13709.951264818985
03/2002,13994.133186304913
04/2002,12916.72699784782
05/2002,12270.06631555803
06/2002,11062.30586725874
07/2002,10335.9227073343
08/2002,10327.283061660268
09/2002,9227.270310216847
10/2002,10094.131244467024
11/2002,10492.564215281307
12/2002,9468.521789946783
01/2003,8834.73606234666
02/2003,8654.25882874337
03/2003,8584.119339229741
04/2003,9161.275076814954
05/2003,9053.298045613587
06/2003,9409.87176890491
07/2003,9605.749273561742
08/2003,10127.918917712213
09/2003,9454.09416932767
10/2003,10016.983830115869
11/2003,9826.039212586733
12/2003,9852.321693112139
01/2004,10130.493395647338
02/2004,10280.53368063808
03/2004,10309.626713215404
04/2004,10461.81657905422
05/2004,10333.543863780298
06/2004,10551.145698350176
07/2004,10407.536397428472
08/2004,10438.378696027625
09/2004,10408.104414703866
10/2004,10245.11680294956
11/2004,10283.679728803943
12/2004,10476.960774106174
01/2005,10724.144779316819
02/2005,10956.283160466632
03/2005,11003.04500982635
04/2005,10731.568105334502
05/2005,11533.339670756255
06/2005,11914.736059059922
07/2005,12300.305014226857
08/2005,12122.227709996821
09/2005,12469.448909351566
10/2005,12268.771960325521
11/2005,12947.39074976993
12/2005,13013.74823365222
01/2006,13095.749875812626
02/2006,13418.591405688741
03/2006,13451.08348683493
04/2006,13399.98079234628
05/2006,12642.801313547016
06/2006,12828.0452272813
07/2006,12780.395602711258
08/2006,13049.058946496163
09/2006,13401.677623970267
10/2006,13938.981258744914
11/2006,13756.022790876927
12/2006,14048.034996496017
01/2007,14407.676417791088
02/2007,14020.751430128494
03/2007,14166.598480717463
04/2007,14582.443695134963
05/2007,15185.646444571157
06/2007,15097.907120444686
07/2007,14592.161939478923
08/2007,14708.369100736416
09/2007,15127.395396564772
10/2007,15416.356412319044
11/2007,14582.299872766083
12/2007,14458.466925126651
01/2008,13146.716125239756
02/2008,12825.488751559835
03/2008,12139.349841741488
04/2008,12938.348173770291
05/2008,13212.37892364696
06/2008,12172.361005703999
07/2008,11937.980743216262
08/2008,12545.81313527837
09/2008,11578.991705014892
10/2008,10604.708418873877
11/2008,10135.53748979096
12/2008,9527.051998510029
01/2009,9522.741237596369
02/2009,8724.631812717531
03/2009,8945.068762636844
04/2009,9837.773079703424
05/2009,10109.043438460032
06/2009,10141.995981634838
07/2009,10908.956634940836
08/2009,11093.236668791846
09/2009,11216.990631860532
10/2009,11088.39699548722
11/2009,11424.150082894183
12/2009,12148.477260793372
01/2010,12013.407899059606
02/2010,12537.679434937061
03/2010,13329.416130510792
04/2010,13481.319016983523
05/2010,13202.307089430718
06/2010,12944.795992033405
07/2010,13117.03507555917
08/2010,13090.167101972449
09/2010,13328.819139134823
10/2010,13684.850601466385
11/2010,14323.917848837986
12/2010,14804.100133997716
01/2011,14678.549596252073
02/2011,14988.76327274452
03/2011,14637.605424811705
04/2011,14711.687623162245
05/2011,14963.556728811935
06/2011,14710.702694465563
07/2011,14738.973946578782
08/2011,13774.334223847014
09/2011,13485.587141247206
10/2011,14329.989723313969
11/2011,14704.336350587964
12/2011,15240.642399392427
01/2012,15666.46992803082
02/2012,16164.431432110672
03/2012,16397.229414044123
04/2012,16560.45233735466
05/2012,16158.692828296655
06/2012,16663.719753074794
07/2012,17415.148232002866
08/2012,17331.539783574037
09/2012,17302.52595715171
10/2012,17072.129406535274
11/2012,17313.960838734376
12/2012,17211.093704636005
01/2013,17584.321652359165
02/2013,18179.809022305835
03/2013,19106.440281219016
04/2013,19219.8601304236
05/2013,19357.919169847548
06/2013,18665.79218452142
07/2013,19343.51174101225
08/2013,19021.897104662905
09/2013,19558.06296727624
10/2013,20102.319333160387
11/2013,20593.70536359762
12/2013,20788.042785986574
01/2014,20187.458698275695
02/2014,20865.905474674873
03/2014,20994.59317233412
04/2014,21299.482543518174
05/2014,22006.040393067167
06/2014,22205.45584153533
07/2014,22430.842261182614
08/2014,23493.049568729337
09/2014,23940.77808758622
10/2014,24540.79338436683
11/2014,24939.953503998982
12/2014,25265.825192949862
01/2015,26932.49387376719
02/2015,28485.807673260275
03/2015,29311.781403499
04/2015,28782.374531354006
05/2015,29596.029710144438
06/2015,28329.266581731365
07/2015,29588.350704765922
08/2015,27042.8979455261
09/2015,26507.91917096006
10/2015,29218.988965591172
11/2015,30355.320633711846
12/2015,28990.316238014522
01/2016,27465.685853926778
02/2016,27579.11168886158
03/2016,28129.16059540422
04/2016,28214.38419248948
05/2016,29072.547724989166
06/2016,29088.223590971797
07/2016,29992.498073162627
08/2016,29827.557110869562
09/2016,29822.119902616298
10/2016,29498.442095143015
11/2016,30775.409187275713
12/2016,31549.068586536825
01/2017,31378.256808898986
02/2017,33015.39971481869
03/2017,33179.96835669738
04/2017,32987.35053719382
05/2017,33018.12544546614
06/2017,32377.10988959753
07/2017,32000.532602112406
08/2017,31849.182671375813
09/2017,32602.52591670404
10/2017,33841.15862810808
11/2017,34221.18398848013
12/2017,34268.75021190937
01/2018,34347.01824230973
02/2018,33818.32952397939
03/2018,33162.295747717064
04/2018,34039.77751835384
05/2018,35744.05733999404
06/2018,35648.029512896195
07/2018,36605.46104141143
08/2018,37487.73409381166
09/2018,37900.92904342487
10/2018,36064.627209956
11/2018,36138.11460225751
12/2018,33403.58938747673
01/2019,35747.58494314489
02/2019,37605.00698903106
03/2019,39023.31725198174
04/2019,40341.398883344154
05/2019,38251.77000593006
06/2019,40015.15863712803
07/2019,41029.131590471385
08/2019,40576.80030004152
09/2019,41873.81631312251
10/2019,42040.48352508742
11/2019,44121.71397297589
12/2019,44600.75230683529
01/2020,45138.71677674068
02/2020,41633.63839853601
03/2020,37094.76714620677
04/2020,41189.074195126515
05/2020,42133.55181324682
06/2020,42505.20748131402
07/2020,41802.33084186671
08/2020,44376.308267363034
09/2020,43888.22305222004
10/2020,42555.22501306235
11/2020,46454.04517782703
12/2020,47061.97538369669
01/2021,46593.11433556634
02/2021,47761.03785971482
03/2021,51398.0812556569
04/2021,52403.648707293614
05/2021,52873.55791699623
06/2021,55428.39357876521
07/2021,57091.516936221924
08/2021,58796.3715635598
09/2021,56447.058482783694
10/2021,60186.04970145424
11/2021,60590.78386436595
12/2021,63038.1792595848
01/2022,59621.592759276704
02/2022,57536.53766615708
03/2022,59945.309243582196
04/2022,58222.51516155351
05/2022,56767.863853900875
06/2022,53562.70036965555
07/2022,58829.2692283861
08/2022,57095.34778799784
09/2022,53234.50670713855
10/2022,55923.51548201766
11/2022,57978.448198520055
12/2022,54248.22496832539
01/2023,56656.37209394413
02/2023,56339.28215092686
03/2023,57213.11721657317
04/2023,57799.69358008438
05/2023,59003.16482991473
06/2023,61426.932994879404
07/2023,62548.25971187087
08/2023,62646.06863774802
09/2023,61216.2792078321
10/2023,60141.277631960875
11/2023,63637.98351477901
12/2023,66072.34837886642
01/2024,68469.85129627044
02/2024,72266.791224148
03/2024,74505.44393852876
04/2024,72263.44466929587
