Data,IE00BL25JN58
05/1988,10000
06/1988,10287.020568688564
07/1988,10934.71548127267
08/1988,10660.778544360648
09/1988,10864.437566966502
10/1988,11038.379321964294
11/1988,10919.214996518587
12/1988,10996.514309833397
01/1989,11892.536904007806
02/1989,11936.325431115347
03/1989,12162.386421273573
04/1989,12656.050631533912
05/1989,13102.554824084891
06/1989,13467.176127300978
07/1989,13963.797840795285
08/1989,14044.494920131996
09/1989,14757.63023724061
10/1989,14074.991390026971
11/1989,14212.445514710867
12/1989,14232.17801038183
01/1990,13258.326813632591
02/1990,12791.22461536746
03/1990,12450.535418604415
04/1990,11811.869668386333
05/1990,12634.334754308606
06/1990,12737.988047568255
07/1990,12695.939744749166
08/1990,10952.071990928698
09/1990,10028.80734439849
10/1990,10705.538397255363
11/1990,10146.555006019335
12/1990,10310.210941073909
01/1991,10557.932904025434
02/1991,11304.674750132892
03/1991,12040.10756918242
04/1991,12788.310532247811
05/1991,13038.131604270642
06/1991,13123.653142169163
07/1991,13648.084495131097
08/1991,13136.658152711118
09/1991,13139.454182721558
10/1991,13323.872208148026
11/1991,12489.150147144303
12/1991,12835.565705759935
01/1992,12542.650307533375
02/1992,12633.507069021276
03/1992,12368.723755968693
04/1992,12529.151793786566
05/1992,12715.038870044738
06/1992,12317.921212777084
07/1992,11865.721767157182
08/1992,11643.736383131696
09/1992,11727.95595723835
10/1992,12044.235687026072
11/1992,12876.965027415861
12/1992,13104.194211534505
01/1993,13446.874679545135
02/1993,14250.793140843864
03/1993,15002.741153048963
04/1993,15077.365040536877
05/1993,15243.431326859427
06/1993,15656.303304353418
07/1993,16877.519150284315
08/1993,17610.33290615219
09/1993,16710.690833025506
10/1993,17427.692664590253
11/1993,16931.697260157507
12/1993,17695.82388331939
01/1994,18748.62825440276
02/1994,18347.69592830207
03/1994,17292.91143043333
04/1994,17642.741276709734
05/1994,17268.170121975156
06/1994,16932.84600894787
07/1994,16725.311981545343
08/1994,17058.575602986955
09/1994,16657.272720714824
10/1994,16587.091032613815
11/1994,16306.92076683008
12/1994,16909.24678846659
01/1995,16328.354394736985
02/1995,16411.249930680886
03/1995,16537.780522770732
04/1995,16695.12290676662
05/1995,17300.105728541967
06/1995,17206.72928953839
07/1995,17540.50578568615
08/1995,17850.613206895647
09/1995,18548.505478537456
10/1995,18182.032439400456
11/1995,18635.63033566464
12/1995,19696.992724741038
01/1996,20414.279814531736
02/1996,20442.822695006766
03/1996,20570.791699348374
04/1996,21158.854456098128
05/1996,21495.617637729498
06/1996,21504.638922439408
07/1996,20590.752764254725
08/1996,20672.208687611805
09/1996,21279.670415994697
10/1996,21569.971703347455
11/1996,22434.398845614276
12/1996,22856.92409420572
01/1997,23500.663402953473
02/1997,24749.463465807105
03/1997,24489.463052074283
04/1997,24888.43839214122
05/1997,26289.66155192261
06/1997,27540.657637090088
07/1997,29198.999045677287
08/1997,28282.56353258065
09/1997,29186.524084636814
10/1997,27605.549969347314
11/1997,27649.24452196473
12/1997,29341.013102979407
01/1998,30495.661247188014
02/1998,31975.906064942665
03/1998,33792.159165814686
04/1998,33449.941964302125
05/1998,32844.17212921454
06/1998,33124.39123949234
07/1998,32945.19911846167
08/1998,29886.468062125357
09/1998,29363.8422240281
10/1998,30370.726966485163
11/1998,32125.04582361181
12/1998,33456.95518183293
01/1999,34162.06179908049
02/1999,34150.9379236124
03/1999,35670.747615615204
04/1999,37671.84776973713
05/1999,37645.26823382548
06/1999,38376.834135419114
07/1999,37547.07847989653
08/1999,37474.21961015604
09/1999,36998.52561106542
10/1999,38941.85020589834
11/1999,40361.048112317694
12/1999,42423.786256964326
01/2000,41348.35317082044
02/2000,40370.98207436628
03/2000,43718.67250205756
04/2000,45311.71165927759
05/2000,43899.20664230342
06/2000,43562.91860836376
07/2000,44439.61956589463
08/2000,47325.218236502966
09/2000,48469.22592882818
10/2000,50469.3999372422
11/2000,48353.79010487466
12/2000,46252.98173925034
01/2001,44861.02499093107
02/2001,44150.01594272916
03/2001,44176.59173482035
04/2001,45691.65345224684
05/2001,48281.626113173465
06/2001,47212.692947576244
07/2001,45918.46376998048
08/2001,43345.25712832609
09/2001,41158.876209804876
10/2001,41218.987312553756
11/2001,43180.53662218758
12/2001,43828.52287986658
01/2002,43529.87013209951
