Data,IE00BL25JP72
06/1994,10000
07/1994,9699.636045993188
08/1994,10023.80428994046
09/1994,9651.156591638997
10/1994,9792.169398592332
11/1994,9322.325342901608
12/1994,9563.157946629435
01/1995,9047.57361148079
02/1995,9022.78278682966
03/1995,9192.161048887136
04/1995,9411.727489645724
05/1995,9584.640878361202
06/1995,9757.896158823547
07/1995,10013.831003977739
08/1995,10251.29652983549
09/1995,10886.375432889536
10/1995,10845.099609118544
11/1995,11222.984999984126
12/1995,11564.358681911626
01/1996,12053.984668713041
02/1996,12293.940818914705
03/1996,12431.092960149994
04/1996,12660.310543419922
05/1996,13070.902396320518
06/1996,13248.265927570115
07/1996,12532.099868363752
08/1996,12573.743762448656
09/1996,13253.350443825144
10/1996,13407.109766301348
11/1996,14006.356433678731
12/1996,14169.062778408637
01/1997,15217.846844409496
02/1997,15933.896567076177
03/1997,15757.67475055053
04/1997,16799.978821847268
05/1997,17611.337418259736
06/1997,18798.78680749212
07/1997,20783.46401621958
08/1997,19624.700973707793
09/1997,20631.628963465388
10/1997,19213.62083565097
11/1997,19183.51589441847
12/1997,20218.294968315862
01/1998,21274.74812217226
02/1998,22618.943938100645
03/1998,24219.105696251063
04/1998,24605.230040428687
05/1998,24239.3105698028
06/1998,25332.802444248544
07/1998,26411.23988283043
08/1998,22256.048426263205
09/1998,21103.612795429006
10/1998,21814.078960285948
11/1998,24043.668185722207
12/1998,26177.60594536432
01/1999,28305.479107802406
02/1999,28150.595558415906
03/1999,29776.685867468306
04/1999,29997.54552657378
05/1999,29428.928179869014
06/1999,31989.91006533586
07/1999,30785.155161324252
08/1999,31014.69194392859
09/1999,30905.958441686867
10/1999,33647.53174718793
11/1999,37400.737654128236
12/1999,44411.21697130485
01/2000,42699.81701317111
02/2000,46591.584198999524
03/2000,49098.182478188144
04/2000,47915.89473478534
05/2000,43236.84968423717
06/2000,44442.385186082196
07/2000,44076.73583216433
08/2000,48519.68392043203
09/2000,43856.715449151394
10/2000,43023.68736711774
11/2000,40189.50959877645
12/2000,38725.16628575416
01/2001,37048.11559767781
02/2001,35421.86680294559
03/2001,34958.69722762388
04/2001,36414.14498536235
05/2001,38043.734076001005
06/2001,37408.71641167837
07/2001,35731.45314571145
08/2001,33646.06897384296
09/2001,30848.0231928189
10/2001,30356.980257889387
11/2001,31488.67675530591
12/2001,32273.516435125584
01/2002,32651.129921238226
02/2002,32504.856251650406
03/2002,33573.299400499454
04/2002,32441.49604027154
05/2002,31475.57804824106
06/2002,28462.104026018944
07/2002,27158.465082168557
08/2002,27130.240985018787
09/2002,25756.614784050467
10/2002,25594.031833255558
11/2002,25228.34467053765
12/2002,23048.104997576156
01/2003,21721.366240381234
02/2003,21681.128187016086
03/2003,21501.199864448427
04/2003,22442.9634304226
05/2003,22086.66998904916
06/2003,23054.814230627173
07/2003,23595.971510414558
08/2003,24770.890987680825
09/2003,23474.714538401564
10/2003,24888.315573871856
11/2003,24389.223942944165
12/2003,23941.074347188638
01/2004,24687.742360232696
02/2004,25099.373522180616
03/2004,26471.91427732044
