Data,IE00BM67HL84
06/2016,10000
07/2016,10474.107142857143
08/2016,10814.24183713798
09/2016,10638.898058581095
10/2016,11147.978016167826
11/2016,12439.371488056155
12/2016,12936.08468652136
01/2017,12870.497734820501
02/2017,13453.374904022923
03/2017,13411.280718916296
04/2017,13235.640670573108
05/2017,12702.672120647834
06/2017,13139.809123980524
07/2017,13176.33013140092
08/2017,12796.782056184913
09/2017,13374.896110311238
10/2017,13823.30153419237
11/2017,13785.118128682318
12/2017,13915.58734326142
01/2018,14251.8537472626
02/2018,14076.396214729246
03/2018,13311.147312049514
04/2018,13766.838753212549
05/2018,13691.492996201065
06/2018,13528.048064895305
07/2018,13948.16478914396
08/2018,13882.614532251122
09/2018,13866.021728513839
10/2018,13281.957634815653
11/2018,13371.141069784955
12/2018,12089.138583967775
01/2019,12997.900922541223
02/2019,13540.682550792017
03/2019,13340.429939974043
04/2019,14277.695629697211
05/2019,13497.039043178014
06/2019,13949.403031669504
07/2019,14368.377479384393
08/2019,13738.54944239153
09/2019,14637.663916807156
10/2019,14595.575427849584
11/2019,15283.380210640762
12/2019,15367.998050982596
01/2020,15202.884244809364
02/2020,13735.013184076599
03/2020,10930.162236125761
04/2020,11594.572382191916
05/2020,11613.595793363194
06/2020,11811.881053755753
07/2020,11474.331420982866
08/2020,11995.891903228807
09/2020,11555.231123006573
10/2020,11453.528621053925
11/2020,13393.80418982412
12/2020,13583.68841650756
01/2021,13660.636625680465
02/2021,15087.66361896986
03/2021,16200.97245282674
04/2021,16615.699408119537
05/2021,17139.1339589557
06/2021,17059.752233755502
07/2021,17075.632787462502
08/2021,17810.439093964636
09/2021,17925.231725515943
10/2021,19082.976180976224
11/2021,18311.953080376228
12/2021,18902.228171003047
01/2022,19131.219697509354
02/2022,18713.86926760235
03/2022,19169.813677696926
04/2022,18477.165457752446
05/2022,18306.52311982961
06/2022,16844.547478608005
07/2022,18147.658637586574
08/2022,18014.01638560022
09/2022,17161.49634236015
10/2022,18312.611911187374
11/2022,18816.29671185598
12/2022,17983.499026258138
01/2023,19110.497880771374
02/2023,19311.714336543955
03/2023,17356.778249410923
04/2023,17515.70064557558
05/2023,17388.238327079933
06/2023,18150.549301068462
07/2023,18947.35683612385
08/2023,18589.596582258095
09/2023,18701.703347737595
10/2023,17886.118061054072
11/2023,19109.32113384587
12/2023,20152.37318889788
01/2024,20932.328842863106
02/2024,21619.27548029621
03/2024,22684.344479045525
04/2024,22220.218132658043
