Data,IE00BM67HM91
10/2019,10000
11/2019,10126.902516680258
12/2019,10666.259042894459
01/2020,9693.928333895006
02/2020,8335.4876693276
03/2020,5884.391027247755
04/2020,6836.751689495183
05/2020,6928.475304559862
06/2020,6854.544685630188
07/2020,6592.586011202932
08/2020,6687.205830300944
09/2020,5756.536599504642
10/2020,5449.06831595349
11/2020,7032.138910678841
12/2020,7291.465895656344
01/2021,7500.8307144347555
02/2021,8677.384258754615
03/2021,8874.297820153877
04/2021,8906.029561271147
05/2021,9360.28607232184
06/2021,9639.459828777532
07/2021,9037.268623127879
08/2021,8924.501883866944
09/2021,9759.794026684776
10/2021,10542.846967359863
11/2021,9812.180136854346
12/2021,10189.915971739993
01/2022,11765.026834094951
02/2022,12353.813438043298
03/2022,13305.383894428627
04/2022,13107.63557016408
05/2022,14850.22509227827
06/2022,12615.68967333807
07/2022,13481.541500066023
08/2022,13712.504561360434
09/2022,12426.512741603254
10/2022,14912.706134601123
11/2022,15375.15161232241
12/2022,14841.914354187418
01/2023,15291.77543928805
02/2023,14572.27185788247
03/2023,14325.351555134033
04/2023,14870.212966751946
05/2023,13379.478656945734
06/2023,14243.374972680702
07/2023,15167.065229098262
08/2023,15426.549239181302
09/2023,15836.753069128901
10/2023,15141.35418733248
11/2023,15189.648983598065
12/2023,15180.316176835438
01/2024,15022.411340961502
02/2024,15261.33108240811
03/2024,16650.48568018258
04/2024,16699.265529700326
