Data,IE00BM67HQ30
04/2016,10000
05/2016,10296.508215962442
06/2016,10790.037466213596
07/2016,10855.36806449437
08/2016,10306.959899680127
09/2016,10372.362326250905
10/2016,10505.272874747112
11/2016,10244.250557839268
12/2016,10714.668259268768
01/2017,10448.084641341717
02/2017,11075.71714963039
03/2017,11225.208877613399
04/2017,11065.48128463228
05/2017,11361.02793544498
06/2017,10942.876649470334
07/2017,10811.394541131152
08/2017,11084.341301042661
09/2017,10857.42534997794
10/2017,11315.509238844332
11/2017,11245.797619426448
12/2017,10665.452172666452
01/2018,10103.307990506362
02/2018,9908.246330947815
03/2018,10240.419990098542
04/2018,10691.323108470053
05/2018,10823.634211424567
06/2018,11020.90361340036
07/2018,11158.694326782208
08/2018,11205.109753754288
09/2018,11122.67884527723
10/2018,11388.040630085945
11/2018,11685.206063464802
12/2018,11360.903694086182
01/2019,11862.22222460201
02/2019,12301.786567806896
03/2019,12724.387760704554
04/2019,12690.97459046296
05/2019,12646.390866800468
06/2019,12898.137627518168
07/2019,13166.548966188331
08/2019,13708.686463253607
09/2019,14356.76261365217
10/2019,13987.86969490628
11/2019,13926.312060957873
12/2019,14197.023132066637
01/2020,15171.052854270654
02/2020,14076.670425393304
03/2020,12653.514743793656
04/2020,12904.729970921595
05/2020,13203.25411504622
06/2020,12983.005270057305
07/2020,13097.390067445684
08/2020,12832.657897730565
09/2020,13011.11857790035
10/2020,13378.960127524404
11/2020,13699.295762089308
12/2020,13470.858705601115
01/2021,13587.780867927937
02/2021,12980.863120947719
03/2021,14227.81733820894
04/2021,14274.941359819337
05/2021,14021.578654711528
06/2021,14035.346536714822
07/2021,14549.675221825126
08/2021,15038.769496063403
09/2021,14240.610896742335
10/2021,14996.365175172932
11/2021,15146.066591986106
12/2021,16098.569068203853
01/2022,15692.473219853366
02/2022,15675.319267623601
03/2022,16765.938767651078
04/2022,17178.81851525566
05/2022,17191.89111510185
06/2022,16358.681413757458
07/2022,17672.95584987858
08/2022,17760.800591585306
09/2022,16187.605790160376
10/2022,16286.809398017163
11/2022,16646.5157053638
12/2022,16415.810410101556
01/2023,15958.011899851494
02/2023,15838.347008572307
03/2023,16084.295688453743
04/2023,16413.207744562624
05/2023,15900.422459357305
06/2023,15874.968290896744
07/2023,16076.427896811625
08/2023,15552.967051841195
09/2023,15002.067686889122
10/2023,15023.830479011713
11/2023,15554.30362114663
12/2023,15852.363851142914
01/2024,15697.05987858103
02/2024,15469.980143573895
03/2024,16350.756096391064
04/2024,16706.40345450119
