Data,IE00BM8QRY62
08/2022,10000
09/2022,9304.126647254896
10/2022,10040.43114056901
11/2022,10227.415835781072
12/2022,9473.805730679196
01/2023,10013.278292201185
02/2023,9870.478427044436
03/2023,9544.89299468595
04/2023,9480.421174777568
05/2023,9368.329849540942
06/2023,9913.837894219296
07/2023,10105.801049460888
08/2023,9918.314330452353
09/2023,9650.849591860899
10/2023,9231.038438630412
11/2023,9778.056350434397
12/2023,10328.796333118897
01/2024,10440.482431866909
02/2024,10878.197339857894
03/2024,11370.232869758618
04/2024,10905.897315743661
