Data,IE00BNH72088
11/2014,10000
12/2014,10274.263585103945
01/2015,10679.806388622248
02/2015,11099.508459541787
03/2015,11589.269600278105
04/2015,11388.04728880899
05/2015,11742.054783836511
06/2015,11240.924142325142
07/2015,11465.584603710544
08/2015,10769.336815776838
09/2015,10547.60391528244
10/2015,11213.205839896018
11/2015,11544.304073506391
12/2015,11220.133303303364
01/2016,10559.693682075675
02/2016,10618.854610740433
03/2016,10646.635009233725
04/2016,10673.663245360525
05/2016,10886.352586786697
06/2016,10826.65311072377
07/2016,11203.64006205946
08/2016,11246.843878333111
09/2016,11307.8502682888
10/2016,11337.140806819309
11/2016,11658.42044411546
12/2016,11904.371368240661
01/2017,11866.499538462891
02/2017,12223.226732134233
03/2017,12138.118469929113
04/2017,12082.40464243815
05/2017,11995.787894719651
06/2017,11747.202689287347
07/2017,11671.658101297864
08/2017,11497.402463558528
09/2017,11631.813173497465
10/2017,11967.564339144708
11/2017,11795.555969290133
12/2017,11580.736663942607
01/2018,11570.063401264992
02/2018,11664.654069185452
03/2018,11427.325450317774
04/2018,11611.224981952158
05/2018,12074.999442279328
06/2018,11937.278634618911
07/2018,11924.190865386918
08/2018,12071.258031790483
09/2018,12105.84603697499
10/2018,11808.961704585097
11/2018,11742.623842189609
12/2018,11432.630807545424
01/2019,11862.654110361851
02/2019,12064.959412494358
03/2019,12211.191291587042
04/2019,12450.764557429746
05/2019,12195.745623565614
06/2019,12349.941257315046
07/2019,12646.985879271839
08/2019,12545.749100098692
09/2019,12608.720426492035
10/2019,12608.733026626855
11/2019,13027.78703699772
12/2019,13090.949834849984
01/2020,13458.194357228995
02/2020,13187.864165428702
03/2020,11880.87806830118
04/2020,13044.095610142884
05/2020,13282.438971840207
06/2020,14001.193525276949
07/2020,14005.361064435254
08/2020,14808.44017385355
09/2020,14816.46826154456
10/2020,14721.075981498847
11/2020,15767.059228242
12/2020,16450.985943673728
01/2021,16775.846450631372
02/2021,17118.962221703616
03/2021,17012.618184180625
04/2021,17077.401248669838
05/2021,16691.632187785304
06/2021,17512.02785437666
07/2021,17017.659000082127
08/2021,17399.908743127893
09/2021,17494.89071877794
10/2021,17434.440329771845
11/2021,17112.72573999483
12/2021,17034.937090948544
01/2022,16158.88846390286
02/2022,15992.916535701628
03/2022,16094.768254659628
04/2022,15860.363745369286
05/2022,14954.947863980364
06/2022,14590.338805337657
07/2022,15215.29704489823
08/2022,15607.365389460203
09/2022,15084.351927650057
10/2022,14986.751145042494
11/2022,14791.74658792004
12/2022,14294.263946122916
01/2023,14929.474099886116
02/2023,15025.510612376022
03/2023,14721.431952627763
04/2023,14543.80117868331
05/2023,14879.490014738893
06/2023,15245.908887585128
07/2023,15342.353650635525
08/2023,15190.291237927631
09/2023,15271.041259503249
10/2023,14775.757341348175
11/2023,15095.953236051779
12/2023,15675.387253058245
01/2024,15767.51742745948
02/2024,16012.726222392019
03/2024,16281.740049842325
04/2024,16010.856492980713
