Data,IE00BP3QZ825
06/1994,10000
07/1994,9699.21937932652
08/1994,10022.96956385775
09/1994,9649.935273830319
10/1994,9790.528155503365
11/1994,9320.354910625734
12/1994,9560.748262158675
01/1995,9044.895477279633
02/1995,9019.735120211328
03/1995,9188.6803483017
04/1995,9407.780786425112
05/1995,9580.229674968532
06/1995,9753.006040757613
07/1995,10008.406250265689
08/1995,10245.326117920857
09/1995,10879.608258913726
10/1995,10837.904775953706
11/1995,11215.087891522677
12/1995,11555.754068855103
01/1996,12044.534253253487
02/1996,12283.800420418445
03/1996,12420.327609577349
04/1996,12648.829176325953
05/1996,13058.521637635204
06/1996,13235.17306508064
07/1996,12519.163305692104
08/1996,12560.242580057458
09/1996,13238.596183561354
10/1996,13391.632725670113
11/1996,13989.629643668955
12/1996,14151.558778609984
01/1997,15198.457562568625
02/1997,15912.961686717363
03/1997,15736.308360596737
04/1997,16776.54345532858
05/1997,17586.07121302239
06/1997,18771.084268278082
07/1997,20752.05465985541
08/1997,19594.17814835898
09/1997,20598.723611837202
10/1997,19182.118782739377
11/1997,19151.263945679428
12/1997,20183.50534612523
01/1998,21237.29968154384
02/1998,22578.24451676941
03/1998,24174.586261934888
04/1998,24558.993559920687
05/1998,24192.738408963032
06/1998,25283.121273766654
07/1998,26358.390282236353
08/1998,22210.415209149138
09/1998,21059.417068095387
10/1998,21767.51788077156
11/1998,23991.441177664878
12/1998,26119.744011832612
01/1999,28241.825485843277
02/1999,28086.11349727971
03/1999,29707.308811410487
04/1999,29926.41608242443
05/1999,29357.900093221248
06/1999,31911.47768398112
07/1999,30708.34693505725
08/1999,30936.031514419992
09/1999,30826.284784166543
10/1999,33559.50605399304
11/1999,37301.49484321959
12/1999,44291.8176332842
01/2000,42583.17327310473
02/2000,46462.534960388875
03/2000,48960.25453177117
04/2000,47779.248092571106
05/2000,43111.55594983532
06/2000,44311.801680547745
07/2000,43945.3803762639
08/2000,48373.2567379723
09/2000,43722.345051160366
10/2000,42890.0474778456
11/2000,40062.886128176644
12/2000,38601.48717578107
01/2001,36928.18419946413
02/2001,35305.66118955773
03/2001,34842.5400274599
04/2001,36291.69999906025
05/2001,37914.29733374673
06/2001,37279.86043674501
07/2001,35606.82125061538
08/2001,33527.227315417374
09/2001,30737.667575543466
10/2001,30247.100559854338
11/2001,31373.44048871688
12/2001,32154.100734951902
01/2002,32528.977253801557
02/2002,32381.89544141992
03/2002,33444.94759054887
04/2002,32316.077611706307
05/2002,31352.54734363464
06/2002,28349.545933452882
07/2002,27049.881214098255
08/2002,27020.64288299933
09/2002,25651.439863093143
10/2002,25488.451995798572
11/2002,25123.21133746305
12/2002,22951.010512204397
01/2003,21628.904599923495
02/2003,21587.936624078964
03/2003,21407.88218648946
04/2003,22344.666395284963
05/2003,21989.002441494762
06/2003,22951.94932796414
07/2003,23489.735766034933
08/2003,24658.38668417371
09/2003,23367.06976955369
10/2003,24773.21502132936
11/2003,24275.39931334137
12/2003,23828.32975900968
01/2004,24570.48867602619
02/2004,24979.141037882946
03/2004,26344.066170628044
04/2004,26045.61019451345
05/2004,25767.38314022592
06/2004,26662.705502687913
07/2004,25792.21382091686
08/2004,25961.198059989587
09/2004,26153.419757490283
10/2004,25935.167820851344
11/2004,26663.429712520585
12/2004,26623.63134900695
01/2005,27476.57499932425
02/2005,29174.976617410077
03/2005,29171.916727675212
04/2005,27953.510080350676
05/2005,30230.363538482656
06/2005,32138.131133175386
07/2005,33530.36647741248
08/2005,34281.27598022738
09/2005,36420.89176370018
10/2005,34968.69311301099
11/2005,36938.76231828895
12/2005,39174.6543539882
01/2006,41013.97452772714
02/2006,40855.75699228774
03/2006,41468.356310754316
04/2006,41416.368125678695
05/2006,37940.45518879461
06/2006,38164.609993167505
07/2006,37822.50921844437
08/2006,37683.30917875303
09/2006,38000.27928008984
10/2006,40197.98104332173
11/2006,40121.76826533346
12/2006,41541.55631616421
01/2007,42925.12637406039
02/2007,41979.138300081424
03/2007,42940.590414764585
04/2007,43598.63465938945
05/2007,45519.93140478357
06/2007,45046.328705493346
07/2007,44180.56242789785
08/2007,43638.761871392126
09/2007,45554.560070465894
10/2007,46732.09707426973
11/2007,43771.04663902575
12/2007,44254.749624914955
01/2008,39170.71123962595
02/2008,39107.19822828562
03/2008,37002.22687230576
04/2008,40148.61216854991
05/2008,41378.47090556739
06/2008,39997.74485391719
07/2008,37065.82723136589
08/2008,38300.6642343448
09/2008,32857.534626592795
10/2008,31804.871631927523
11/2008,29657.144555477615
12/2008,27904.378765703255
01/2009,27636.42473511603
02/2009,25101.41631368737
03/2009,25137.16888069213
04/2009,26260.72410983632
05/2009,26038.966639915507
06/2009,25713.200861466637
07/2009,27804.736894205704
08/2009,28068.72588645918
09/2009,28562.660394729548
10/2009,27894.398676014807
11/2009,28634.55920127647
12/2009,30695.525506132897
01/2010,29590.55629272016
02/2010,31286.59469620572
03/2010,33740.482225082815
04/2010,34586.0868658062
05/2010,34009.81326287732
06/2010,32794.063824610996
07/2010,33340.610913544726
08/2010,32704.369966217913
09/2010,33919.15538667525
10/2010,34899.96474388948
11/2010,37357.02212271472
12/2010,38312.31420617759
01/2011,37657.8998145939
02/2011,38628.334894824235
03/2011,38069.45494424947
04/2011,38289.13526488313
05/2011,38870.381414088886
06/2011,38344.2285852971
07/2011,38324.25069016683
08/2011,35706.360330011106
09/2011,36442.17485106263
10/2011,37459.82942579721
11/2011,39061.689070057444
12/2011,41107.848029493405
01/2012,40928.93631339871
02/2012,41913.25200774244
03/2012,43524.53664257516
04/2012,44375.67567767084
05/2012,45104.04887453547
06/2012,46254.99170679862
07/2012,48294.83054597993
08/2012,47665.59172793247
09/2012,47517.17435860226
10/2012,46255.089978998316
11/2012,46800.9010655359
12/2012,45854.48817342842
01/2013,46493.24585549416
02/2013,48713.6641379729
03/2013,51989.107990437944
04/2013,52487.01273591752
05/2013,52060.076197745555
06/2013,52000.58548553019
07/2013,52921.65947642443
08/2013,51521.12601612788
09/2013,53557.76235239096
10/2013,54572.53671398617
11/2013,55886.11977203509
12/2013,56712.02525762169
01/2014,56255.707431316005
02/2014,58181.2743573524
03/2014,56619.17782574035
04/2014,55702.2585328168
05/2014,58715.45190277926
06/2014,59723.31659122001
07/2014,59722.69160600171
08/2014,62477.35489445069
09/2014,64155.63420167725
10/2014,64990.87968766991
11/2014,67253.07169882866
12/2014,68436.18612930959
01/2015,73344.90700195082
02/2015,77571.21882159653
03/2015,80307.05922566346
04/2015,77269.24232394111
05/2015,80512.24720571333
06/2015,77637.15733050654
07/2015,81694.73003848286
08/2015,74585.98824261174
09/2015,71910.24477803585
10/2015,78167.38660969201
11/2015,81497.99719994327
12/2015,79184.70748743176
01/2016,75538.35783284542
02/2016,74761.13451298549
03/2016,75412.30113407112
04/2016,75408.95875593477
05/2016,78632.65360222217
06/2016,81150.32533791372
07/2016,83290.46969324251
08/2016,80839.27890257922
09/2016,81181.92767885902
10/2016,80277.25567484979
11/2016,82974.0773677057
12/2016,84955.68031000966
01/2017,86225.03678543842
02/2017,89566.89917243348
03/2017,90642.16993268067
04/2017,90309.0382034159
05/2017,91659.2627349614
06/2017,90317.1995982075
07/2017,90587.48605593812
08/2017,91117.37044818306
09/2017,93574.4974296539
10/2017,99231.61776478018
11/2017,99256.73682483932
12/2017,98337.47682310342
01/2018,102281.89073076966
02/2018,102601.02213387997
03/2018,98364.99397944564
04/2018,101341.1718849471
05/2018,107579.12950996838
06/2018,107546.62229860763
07/2018,109180.12826682378
08/2018,114910.39642651686
09/2018,116745.63796051736
10/2018,107585.38515852255
11/2018,108701.05598727334
12/2018,99855.42293957657
01/2019,105852.00170314174
02/2019,110407.92840300818
03/2019,115052.6587873984
04/2019,118901.58056712669
05/2019,115248.05434587543
06/2019,120042.50029129522
07/2019,123710.8472063289
08/2019,125052.50998100635
09/2019,125683.22915916744
10/2019,124184.77023043236
11/2019,129381.84544265244
12/2019,129560.7789146554
01/2020,135127.78706473514
02/2020,126253.33371269362
03/2020,113538.20325022022
04/2020,126059.83243177058
05/2020,130169.48881463167
06/2020,135403.29292369494
07/2020,136482.29179508562
08/2020,145857.16732220733
09/2020,143920.63871452646
10/2020,138896.8864252647
11/2020,148980.95541446932
12/2020,151681.51879242496
01/2021,154591.79230840234
02/2021,153758.13447598502
03/2021,159307.97434966452
04/2021,165067.8826656529
05/2021,161698.2728584157
06/2021,167859.74250363914
07/2021,170480.48926386706
08/2021,176706.68938774
09/2021,173851.64281355453
10/2021,185830.28296723514
11/2021,184562.17385282717
12/2021,187844.0288758196
01/2022,175907.1494803474
02/2022,171405.34418507112
03/2022,180570.47243904177
04/2022,168566.68927760492
05/2022,165535.62407233438
06/2022,157890.2554037589
07/2022,167818.96090511198
08/2022,166721.74471854581
09/2022,158443.71781626277
10/2022,171266.04367082473
11/2022,172313.03083927275
12/2022,163483.86838668853
01/2023,162652.90880237173
02/2023,160531.051325126
03/2023,158088.26057576723
04/2023,161031.19277093592
05/2023,157452.455442749
06/2023,164738.87771235977
07/2023,166292.86100269525
08/2023,166465.0957623941
09/2023,163716.95104195032
10/2023,160365.13801844875
11/2023,170240.74217371442
12/2023,175823.25785147844
01/2024,189249.37068724554
02/2024,206505.678048672
03/2024,215701.4707843897
04/2024,208661.94519247787
