Data,IE00BP3QZB59
11/1997,10000
12/1997,10159.985718172584
01/1998,10416.625661656308
02/1998,11708.261953883672
03/1998,12163.385879176052
04/1998,11765.111289523622
05/1998,11217.433205548135
06/1998,10908.82683334664
07/1998,10497.652973973885
08/1998,9000.310747145499
09/1998,8641.6549152174
10/1998,9870.59346768397
11/1998,10656.61804479828
12/1998,10844.945030483808
01/1999,11361.19036690873
02/1999,11278.404792964571
03/1999,12362.9810172744
04/1999,13718.990552990917
05/1999,13562.500569585576
06/1999,14469.90904292018
07/1999,14253.319145492835
08/1999,14471.7426100298
09/1999,14121.177856108592
10/1999,14980.133411398028
11/1999,16214.37018257444
12/1999,17732.383668134793
01/2000,16967.597531502553
02/2000,16739.967259392477
03/2000,17709.844354889145
04/2000,18597.382604194452
05/2000,17889.37143824294
06/2000,17863.706010938502
07/2000,18101.7551002032
08/2000,19651.937910218167
09/2000,19259.50542857702
10/2000,20100.930067077777
11/2000,18999.0184116358
12/2000,18681.15088735457
01/2001,19537.718936027573
02/2001,19106.336938521887
03/2001,19196.131855111475
04/2001,20069.683850571007
05/2001,20864.021351773597
06/2001,20675.75778643529
07/2001,20161.341595768718
08/2001,18729.79784584154
09/2001,16878.481444574074
10/2001,16870.058932977037
11/2001,18394.487476183625
12/2001,18788.20451012587
01/2002,19009.440620244506
02/2002,18875.049428844362
03/2002,19890.216616986636
04/2002,19703.290387944646
05/2002,19317.907084401628
06/2002,16808.950246159435
07/2002,15646.405285767973
08/2002,15618.204460164554
09/2002,13810.60948587358
10/2002,13992.778180290848
11/2002,14569.126329201132
12/2002,13357.137196743923
01/2003,12870.843941285202
02/2003,12439.971651086971
03/2003,12100.373662566693
04/2003,12836.952340917378
05/2003,13223.065114994131
06/2003,14265.821500699829
07/2003,15080.610008101285
08/2003,16406.697656339205
09/2003,15977.467659777745
10/2003,17288.222280929356
11/2003,16995.20348380062
12/2003,17331.894005361068
01/2004,18172.562610735426
02/2004,18533.140909518494
03/2004,19313.930528078363
04/2004,19394.87990421856
05/2004,19088.113654513094
06/2004,19905.398975783835
07/2004,19472.481984274214
08/2004,19360.12928938446
09/2004,19484.99577793711
10/2004,19422.66795295357
11/2004,20103.94679580786
12/2004,20599.67744178416
01/2005,21203.92105328382
02/2005,21837.14395403127
03/2005,21897.506926568647
04/2005,21328.89392082079
05/2005,22877.290279152072
06/2005,23786.130681415325
07/2005,24710.861712145906
08/2005,25198.792980102193
09/2005,26673.401546551355
10/2005,25777.633270246435
11/2005,27034.100739110312
12/2005,27787.72350766413
01/2006,28761.081176190222
02/2006,29340.140651194102
03/2006,29635.22811477958
04/2006,29966.35117893592
05/2006,28249.33932586886
06/2006,28523.655458111818
07/2006,28934.517045968383
08/2006,29672.168588290373
09/2006,30535.682016557876
10/2006,31611.244880528055
11/2006,31418.90450982704
12/2006,32514.560191288412
01/2007,33503.21542154042
02/2007,33067.473533905075
03/2007,33652.22341681105
04/2007,34826.93247577113
05/2007,36424.103396958606
06/2007,36252.83806618174
07/2007,34575.3495556804
08/2007,34448.95098745465
09/2007,34749.57037840942
10/2007,35067.28891650994
11/2007,32517.36551135546
12/2007,31992.98808762684
01/2008,29045.211041302235
02/2008,28526.01025459898
03/2008,27136.29599992088
04/2008,28983.177581378608
05/2008,29543.394218226145
06/2008,26453.333200975834
07/2008,25901.245535174545
08/2008,27048.425455173176
09/2008,23709.820658809225
10/2008,21030.209809265467
11/2008,19924.551937647713
12/2008,19355.00537322498
01/2009,18937.714538141587
02/2009,16812.19719616714
03/2009,17365.423099105774
04/2009,20370.84231843235
05/2009,21639.00909379802
06/2009,21463.808536383254
07/2009,23479.798157127032
08/2009,25070.839256724757
09/2009,25528.15070990462
10/2009,24361.777032923594
11/2009,24740.5992273756
12/2009,26449.30087992879
01/2010,26175.84573083656
02/2010,27107.925056791453
03/2010,29177.875762830467
04/2010,29138.647446631287
05/2010,28282.82481536756
06/2010,27117.233458087467
07/2010,28022.160867759565
08/2010,27485.92520212767
09/2010,28207.456698843504
10/2010,28967.72598021389
11/2010,29411.08917173224
12/2010,31032.64991024168
