Data,IE00BP3QZD73
05/1994,10000
06/1994,9810.121014884979
07/1994,9680.84596610078
08/1994,9923.118966078882
09/1994,9594.650745437973
10/1994,9518.00937769249
11/1994,9131.340159415886
12/1994,9458.71471735213
01/1995,9101.876672734412
02/1995,9047.571006109201
03/1995,9020.869704334169
04/1995,9128.304106557198
05/1995,9238.214810725347
06/1995,9190.334722030584
07/1995,9561.867277544248
08/1995,9732.857099194904
09/1995,9970.142250543733
10/1995,9558.952827708297
11/1995,9795.577890786795
12/1995,10211.983927229821
01/1996,10516.722908819524
02/1996,10752.330427235464
03/1996,10946.502081815855
04/1996,11509.068339186895
05/1996,11636.123158751627
06/1996,11452.108977149546
07/1996,10796.86197223538
08/1996,10876.971450248624
09/1996,11219.918757275489
10/1996,11185.521602628656
11/1996,11381.90123664784
12/1996,11439.430959545356
01/1997,11633.880961298608
02/1997,12167.70804199243
03/1997,11913.357102918606
04/1997,12008.906893784651
05/1997,12945.789025589866
06/1997,13519.9901593151
07/1997,14039.351222473684
08/1997,13911.921973177987
09/1997,13890.948924711636
10/1997,13063.562011376693
11/1997,12422.594625754646
12/1997,12468.856160185722
01/1998,13185.125367641835
02/1998,14080.094727539403
03/1998,14622.941769855528
04/1998,14572.931049089073
05/1998,14077.569300958077
06/1998,14012.364216808399
07/1998,13637.944587977117
08/1998,11655.594433024553
09/1998,11257.248018904897
10/1998,11812.266187748584
11/1998,12599.934182535675
12/1998,12926.642091554028
01/1999,13307.802526322756
02/1999,13313.97676214958
03/1999,14305.428727157763
04/1999,15540.891150526848
05/1999,15552.828392705569
06/1999,16421.436117943093
07/1999,16100.151101662657
08/1999,16389.6800234835
09/1999,16176.950690694777
10/1999,16720.921068226122
11/1999,17907.61092083188
12/1999,19172.1934800624
01/2000,18958.936991816016
02/2000,20038.139250356562
03/2000,20780.27227145377
04/2000,20539.884503165256
05/2000,19757.988801702544
06/2000,20317.25025686835
07/2000,20303.69842612967
08/2000,22282.209233012334
09/2000,21774.73865802594
10/2000,21587.19900167602
11/2000,19713.23239312306
12/2000,19152.95046970294
01/2001,19779.83017485697
02/2001,18653.868681322954
03/2001,18109.9405383364
04/2001,19539.352919683508
05/2001,20550.883547214777
06/2001,20049.207036518514
07/2001,18825.423322885938
08/2001,17550.938717950456
09/2001,15388.167456246814
10/2001,16115.087695431695
11/2001,17206.054463256507
12/2001,17520.954624298247
01/2002,17444.807071984706
02/2002,17430.941657513435
03/2002,18364.18592232813
04/2002,17900.67158630542
05/2002,17503.546812772882
06/2002,15488.041098122103
07/2002,14328.84726474124
08/2002,14255.959595530589
09/2002,12972.275411034012
10/2002,13280.286851843344
11/2002,13958.769775891722
12/2002,12737.62317294551
01/2003,12093.399805568339
02/2003,11958.674393786523
03/2003,11773.308357340358
04/2003,12393.685140370711
05/2003,12623.934383943344
06/2003,13397.501865610648
07/2003,13950.358627052048
08/2003,15274.213240612082
09/2003,14619.892534434868
10/2003,15764.130127042328
11/2003,15343.849259072724
12/2003,15366.672893464973
01/2004,16053.607427430738
02/2004,16372.065172448063
03/2004,17043.798427998732
04/2004,16841.36858034001
05/2004,16688.460293189404
06/2004,17347.628244575968
07/2004,16762.200306538005
08/2004,16745.96518972927
09/2004,16817.62603149494
10/2004,16874.10495039406
11/2004,17313.162236098782
12/2004,17641.982056438435
01/2005,18122.175759081645
02/2005,18401.601553341687
03/2005,18544.506481622404
04/2005,17952.503193002074
05/2005,19238.249751231553
06/2005,20042.71827416015
07/2005,20873.903919260192
08/2005,21038.68425944718
09/2005,22081.507622344106
10/2005,21507.580663665376
11/2005,22919.382279067533
12/2005,23805.852200695976
01/2006,24425.503777542737
02/2006,24804.0036546548
03/2006,25124.711932713795
04/2006,24948.45731929497
05/2006,24371.663698676857
06/2006,24555.607790995786
07/2006,24184.25986666673
08/2006,24745.739829121005
09/2006,25478.08625393266
10/2006,26298.337613749354
11/2006,26146.6896989555
12/2006,26638.958886277174
01/2007,27612.392626098885
02/2007,27400.056654818603
03/2007,27681.969914906702
04/2007,28025.83455485375
05/2007,29085.83715861876
06/2007,28666.55096522929
07/2007,27570.86276905744
08/2007,27130.451841388644
09/2007,27223.70922457416
10/2007,27520.04516063936
11/2007,25400.767777265777
12/2007,24935.24307304655
01/2008,22880.928255248356
02/2008,22601.843437753283
03/2008,21441.202892422236
04/2008,22699.393762386397
05/2008,23361.03323834683
06/2008,20796.545768558302
07/2008,20223.700810674578
08/2008,21249.85870167138
09/2008,19013.864959681585
10/2008,16442.668282200393
11/2008,15872.449794868717
12/2008,15452.014298728347
01/2009,15397.558893836142
02/2009,13973.993284231155
03/2009,14470.938829388935
04/2009,16862.77827509103
05/2009,17522.99756341338
06/2009,17546.52380168784
07/2009,19026.350705333283
08/2009,19936.551936078402
09/2009,20406.193289165432
10/2009,19458.270642035055
11/2009,19642.38188790754
12/2009,21157.274577790504
01/2010,21204.471649727693
02/2010,22210.67957189372
03/2010,23907.97010225083
04/2010,24627.33916688675
05/2010,24095.356137454623
06/2010,23492.428317455673
07/2010,23884.06131559782
08/2010,23643.414526821307
09/2010,24260.536221629325
10/2010,24706.782338282195
11/2010,25937.294476802443
12/2010,27406.084839888757
01/2011,27197.408738908365
02/2011,27809.785880557123
03/2011,26974.382820124545
04/2011,26737.85691039857
05/2011,27127.64607431016
06/2011,26494.275493499204
07/2011,26429.204015946692
08/2011,24194.452490735825
09/2011,23534.834162586176
10/2011,24681.910346399964
11/2011,24825.85646066986
12/2011,25537.797793826536
01/2012,26678.251008782583
02/2012,27382.320615102108
03/2012,27790.435214229114
04/2012,27606.794804941106
05/2012,26379.36953168731
06/2012,27226.89582364702
07/2012,27960.88715284643
08/2012,27949.10410447944
09/2012,28129.89719132325
10/2012,27946.2292980754
11/2012,28442.685523143948
12/2012,28962.303777353696
01/2013,29614.959084910202
02/2013,30853.21835345226
03/2013,32527.8438430171
04/2013,33098.08871701843
05/2013,32944.86250661611
06/2013,32034.12825286974
07/2013,33164.639662330716
08/2013,32685.540428829936
09/2013,34114.027816773436
10/2013,34738.199956606084
11/2013,34902.098256828096
12/2013,35145.847592850834
01/2014,34911.990673563734
02/2014,35913.419793620604
03/2014,35895.59457722296
04/2014,35833.022145800576
05/2014,37238.27786514169
06/2014,38037.900498767776
07/2014,38024.92422895437
08/2014,39173.01765103784
09/2014,39235.0498567117
10/2014,39506.81752286008
11/2014,40180.813904445284
12/2014,40934.366769730346
01/2015,43857.94525032313
02/2015,46797.17588384125
03/2015,48453.45186038872
04/2015,47708.550812951136
05/2015,48808.0933806136
06/2015,46661.151211739
07/2015,47810.72725090025
08/2015,44034.51771046573
09/2015,42273.556751750584
10/2015,46131.63141594964
11/2015,47866.746040871054
12/2015,45586.408340717986
01/2016,42236.203617314015
02/2016,42698.91680911897
03/2016,44254.83508985575
04/2016,45525.70787411561
05/2016,46278.99922718467
06/2016,45413.8657506301
07/2016,47942.83577723788
08/2016,47738.96546040883
09/2016,48263.024923475
10/2016,48055.5355032425
11/2016,49918.952585917876
12/2016,51238.020584912265
01/2017,51922.780083137826
02/2017,53715.425840648175
03/2017,53842.17250945285
04/2017,53718.773539535534
05/2017,53511.458760854126
06/2017,53126.69624992283
07/2017,52864.29110634599
08/2017,52276.90011694045
09/2017,53499.49329490763
10/2017,55131.19144931265
11/2017,55482.8635911589
12/2017,55866.26239969868
01/2018,56144.00106470253
02/2018,54825.61924880865
03/2018,53790.14163734772
04/2018,55554.284380714096
05/2018,57525.561156750664
06/2018,57208.58155957806
07/2018,57826.4062398274
08/2018,58297.61063259959
09/2018,58726.05803604286
10/2018,54732.002862185895
11/2018,54813.73238394792
12/2018,50404.79267290702
01/2019,54684.15612317317
02/2019,56584.40252174288
03/2019,57599.341123669525
04/2019,59392.58901304526
05/2019,56082.167556210065
06/2019,58473.25863164407
07/2019,59367.10263264605
08/2019,58120.17834292419
09/2019,60688.654922709415
10/2019,61113.73770824409
11/2019,63503.206003079365
12/2019,63675.98271824066
01/2020,63260.64676073257
02/2020,57518.68502239668
03/2020,47327.356171601845
04/2020,53048.29923570401
05/2020,55037.50199123405
06/2020,55728.7314590552
07/2020,54219.27813961953
08/2020,57000.41842871942
09/2020,56928.323112078484
10/2020,56087.47367565482
11/2020,63104.242090844455
12/2020,64545.46020400431
