Data,IE00BPRCH686
08/2013,10000
09/2013,10628.54264126595
10/2013,10433.29707337256
11/2013,10617.829426479397
12/2013,10564.56012676444
01/2014,10377.82031588246
02/2014,10133.622492300414
03/2014,9933.641855900154
04/2014,9676.913429199845
05/2014,10270.62861697394
06/2014,10751.090289982083
07/2014,11063.339136798548
08/2014,10973.517656099215
09/2014,11325.489201801112
10/2014,11250.592979765786
11/2014,11258.44034042373
12/2014,11400.98013164331
01/2015,12500.90369388516
02/2015,13375.388011790645
03/2015,14190.345790972982
04/2015,14119.513010922356
05/2015,14509.63998627768
06/2015,14029.70322079735
07/2015,14332.382930307283
08/2015,13259.873190823608
09/2015,12322.209406604747
10/2015,13845.503282710546
11/2015,14360.109278599326
12/2015,14003.982875381727
01/2016,12848.55896987974
02/2016,12559.493491435707
03/2016,12607.424773738365
04/2016,13138.2855001628
05/2016,13330.31309193558
06/2016,13090.540079903638
07/2016,13728.472581700249
08/2016,13810.370641493728
09/2016,14003.73973189473
10/2016,14518.208452600855
11/2016,14623.30668632862
12/2016,14759.439519859323
01/2017,14965.015310196844
02/2017,15480.335010896702
03/2017,15245.943555612903
04/2017,15154.124228905277
05/2017,15139.900875657218
06/2017,15162.844416317475
07/2017,14971.36002777107
08/2017,14777.931417764217
09/2017,15122.900708520721
10/2017,16082.214731265836
11/2017,16201.155220891726
12/2017,16187.828034148737
01/2018,16292.97761942194
02/2018,16239.80612457283
03/2018,15856.394052488793
04/2018,16289.948670037695
05/2018,16617.722356236478
06/2018,16278.227779990653
07/2018,16249.4156638626
08/2018,16298.14401768608
09/2018,16938.771691204856
10/2018,15714.232773332491
11/2018,15783.74006578314
12/2018,14565.724188469616
01/2019,15438.762509499546
02/2019,15611.157765187381
03/2019,15898.469439044371
04/2019,16074.023754319778
05/2019,15487.928634916021
06/2019,15757.289966464376
07/2019,16071.93988890897
08/2019,16079.226349567974
09/2019,17010.886501813184
10/2019,17396.90064649693
11/2019,17753.81514639012
12/2019,17781.359735463622
01/2020,17681.15830794618
02/2020,16048.526679385935
03/2020,15059.635994726577
04/2020,16132.250464054398
05/2020,16804.226747532848
06/2020,16596.776288609355
07/2020,15473.775869359864
08/2020,16462.342498372855
09/2020,16948.382681180232
10/2020,16662.81171030529
11/2020,18345.327404120882
12/2020,18557.020844475323
01/2021,18550.644946253047
02/2021,18811.22060128168
03/2021,19619.48640281769
04/2021,18791.184860403777
05/2021,18801.151885464707
06/2021,19292.12869433966
07/2021,18943.956275060566
08/2021,19677.02747114887
09/2021,20570.11504177617
10/2021,19821.231916737714
11/2021,19791.809604497863
12/2021,20140.202508397553
01/2022,19362.711551425167
02/2022,19159.239468835043
03/2022,19133.673534619396
04/2022,18406.738727852186
05/2022,18503.032221512767
06/2022,17521.97715456672
07/2022,18882.181333950295
08/2022,18800.782701142478
09/2022,17393.91741451399
10/2022,17501.055803683506
11/2022,18478.2912615791
12/2022,18067.371481815837
01/2023,18795.506084654702
02/2023,18456.73765789085
03/2023,18783.029014002503
04/2023,18678.437608250013
05/2023,19529.429180968833
06/2023,19926.019809587924
07/2023,20245.49685427921
08/2023,20057.361882177986
09/2023,20102.624316627098
10/2023,19134.624347877467
11/2023,20219.549250292173
12/2023,20804.74726971983
01/2024,21895.69051431783
02/2024,22621.785432495806
