Data,IE00BQQP9H09
12/2015,10000
01/2016,9375.301448102175
02/2016,10034.972669583116
03/2016,10090.189778669104
04/2016,10474.153840099318
05/2016,11089.489904036123
06/2016,10831.826180607794
07/2016,11392.68238420357
08/2016,11522.568425893265
09/2016,11232.757809158413
10/2016,11276.564982095175
11/2016,12346.942747176978
12/2016,12465.477964521735
01/2017,12331.49023336688
02/2017,13314.262538302683
03/2017,13153.197661183873
04/2017,13121.005406598139
05/2017,12729.578030817334
06/2017,12922.693545952397
07/2017,12617.387410195039
08/2017,12365.885641036652
09/2017,12692.73446705975
10/2017,12917.64754571486
11/2017,13104.934045284104
12/2017,13393.655231279514
01/2018,13634.039363948417
02/2018,13305.251370424878
03/2018,12581.553769333372
04/2018,13176.93594475594
05/2018,13670.459396121594
06/2018,14052.909254828712
07/2018,14507.026213836662
08/2018,14847.523049268873
09/2018,15025.256344131316
10/2018,14502.569599126704
11/2018,15060.887899145433
12/2018,13631.389683637877
01/2019,14870.359305761534
02/2019,15515.563257736158
03/2019,15681.947655879543
04/2019,16405.987216509297
05/2019,15262.896694046862
06/2019,15957.308532918243
07/2019,16953.596060935313
08/2019,16604.578255439017
09/2019,17321.465016849153
10/2019,17589.96686910851
11/2019,18615.774372929936
12/2019,18782.919213709363
01/2020,18605.867130591363
02/2020,17172.340205002954
03/2020,15425.352826558355
04/2020,17454.270329383206
05/2020,17552.830546106685
06/2020,17450.583107248924
07/2020,17031.61313103825
08/2020,18014.25491826385
09/2020,17703.539994327883
10/2020,17121.48654499292
11/2020,19252.045392624146
12/2020,19202.028300289912
01/2021,19557.632802672153
02/2021,20797.50219375836
03/2021,22554.81071194702
04/2021,22858.642873677672
05/2021,22830.90210624369
06/2021,23838.797898557863
07/2021,24302.00361272398
08/2021,24754.325256847267
09/2021,24305.78555993993
10/2021,24944.049969075524
11/2021,24860.41476077923
12/2021,26163.950566946867
01/2022,24213.64328924844
02/2022,23588.066138893635
03/2022,24453.13336713548
04/2022,23812.251737583065
05/2022,23132.64527565235
06/2022,22233.884724362688
07/2022,24556.958425039506
08/2022,23974.562556853787
09/2022,22441.707675133075
10/2022,23649.42037725199
11/2022,23561.454191600424
12/2022,22291.569435619138
01/2023,23416.997605722652
02/2023,23725.502210112492
03/2023,23371.815363083617
04/2023,22940.266289017272
05/2023,23516.7741458553
06/2023,24327.07006362633
07/2023,24790.668782913268
08/2023,24486.65738552954
09/2023,23821.53204419092
10/2023,22590.454415631437
11/2023,23903.357299562856
12/2023,25371.00392074873
01/2024,25796.687946698738
02/2024,26753.8868349868
03/2024,27427.629462296714
04/2024,26400.2076589159
