Data,IE00BQT3WG13
08/2017,10000
09/2017,9991.315722231635
10/2017,10612.136503468451
11/2017,10360.19364377439
12/2017,10449.80765613695
01/2018,11050.63574422507
02/2018,10455.177724022826
03/2018,10052.979690560915
04/2018,9815.111655172526
05/2018,10016.807210752917
06/2018,9050.679030728743
07/2018,8862.125735587508
08/2018,8416.751206068924
09/2018,8731.85380345
10/2018,8071.831633520541
11/2018,8112.077003137122
12/2018,7820.397829973999
01/2019,8511.838289456833
02/2019,9715.434421994196
03/2019,10347.110547969483
04/2019,10444.636128090235
05/2019,9517.947054051365
06/2019,9941.092308499126
07/2019,10227.367209219898
08/2019,9921.988363666138
09/2019,10097.34483003044
10/2019,10180.685665849154
11/2019,10219.480928828216
12/2019,10811.564618999144
01/2020,10787.31167042399
02/2020,10810.316062181837
03/2020,10056.432663715881
04/2020,10824.989692517802
05/2020,10358.970741282548
06/2020,11371.667960902765
07/2020,12358.764307568714
08/2020,12847.748107634448
09/2020,12530.160903247881
10/2020,12947.75825433398
11/2020,13420.639320875485
12/2020,14118.63186857317
01/2021,14809.503494365907
02/2021,14601.146334462035
03/2021,14143.210000754847
04/2021,14305.732137602725
05/2021,15049.036240272362
06/2021,15221.673881536479
07/2021,14207.79019298103
08/2021,14431.336384368526
09/2021,14924.844912944054
10/2021,15137.75482109053
11/2021,15464.098144426223
12/2021,15724.008740238423
01/2022,14553.77186920828
02/2022,14866.742827178718
03/2022,13694.88546265881
04/2022,13024.822737168803
05/2022,13165.436235150717
06/2022,14870.962993051353
07/2022,14203.260377156303
08/2022,13941.090918645687
09/2022,12939.75647818859
10/2022,11510.300003260554
11/2022,12422.64257513078
12/2022,12321.259869054875
01/2023,13281.796500223561
02/2023,12946.494629331663
03/2023,12636.171075609302
04/2023,12252.60742234738
05/2023,11582.061483366653
06/2023,11286.795696091898
07/2023,11871.993179744242
08/2023,11079.652530181655
09/2023,11158.5875745347
10/2023,10699.895782988855
11/2023,10536.678961778998
12/2023,10248.90366237042
01/2024,9576.1567638901
02/2024,10539.598279610758
03/2024,10538.964446015827
04/2024,10886.78854031656
