Data,IE00BRB36B93
01/2015,10000
02/2015,10768.096435610749
03/2015,11000.20615415373
04/2015,11307.43728218329
05/2015,11843.829048927171
06/2015,11541.368561017534
07/2015,11730.35621158725
08/2015,10822.948730461403
09/2015,9940.299818910706
10/2015,11020.74847659896
11/2015,11206.609649032089
12/2015,11004.263145710504
01/2016,10181.530510625384
02/2016,9228.498540289844
03/2016,9616.526920042896
04/2016,9582.60098760966
05/2016,9839.914069300863
06/2016,8827.260478996639
07/2016,9315.911146591467
08/2016,9383.733885020232
09/2016,9357.785866600869
10/2016,9855.97377334638
11/2016,10373.975299807333
12/2016,10718.174689864718
01/2017,10740.36360181173
02/2017,10820.982311032834
03/2017,10719.859167480538
04/2017,10849.866538361206
05/2017,11063.49220675339
06/2017,11365.436302772217
07/2017,11390.016281904827
08/2017,11334.72331750457
09/2017,11766.498263173404
10/2017,12436.677798886436
11/2017,12623.899775002175
12/2017,12787.12462541534
01/2018,12919.327048994131
02/2018,12383.454973306281
03/2018,12129.896739288144
04/2018,12544.775171533069
05/2018,12319.862670074008
06/2018,12225.331235859507
07/2018,12366.613206054124
08/2018,12227.661748953042
09/2018,12907.170664534355
10/2018,11654.067243839929
11/2018,11777.024019988365
12/2018,10583.192730880508
01/2019,11126.082493544869
02/2019,11388.714895419114
03/2019,11412.833874508357
04/2019,11583.997057234621
05/2019,10812.196490181395
06/2019,11118.004385994547
07/2019,11194.164259089102
08/2019,10833.39571571403
09/2019,11483.23063203427
10/2019,12043.979958679794
11/2019,12256.53466426478
12/2019,12431.104646042799
01/2020,12189.470889928682
02/2020,10953.350677954866
03/2020,10235.045516894019
04/2020,10689.145854388984
05/2020,11437.23446497798
06/2020,11423.056761269909
07/2020,10979.1884530635
08/2020,11868.933167110901
09/2020,11961.501143279016
10/2020,11612.573818685636
11/2020,13006.764629450461
12/2020,13327.909062984778
01/2021,13376.112327731596
02/2021,13744.291808255553
03/2021,14446.496576639245
04/2021,14020.501975670575
05/2021,14250.126065003524
06/2021,14356.576113571831
07/2021,13974.341937680887
08/2021,14460.466846495514
09/2021,15079.813728740455
10/2021,14861.387369010525
11/2021,14319.238460817636
12/2021,14801.821273461932
01/2022,14041.780154074504
02/2022,13944.075107570949
03/2022,14521.223218901772
04/2022,14166.464916130544
05/2022,14271.327137963714
06/2022,13930.446485741604
07/2022,14474.622931989521
08/2022,14653.643420406366
09/2022,13799.982003056453
10/2022,14504.661945497379
11/2022,15022.19964937457
12/2022,14327.703816439567
01/2023,14996.136677304856
02/2023,15166.514385944976
03/2023,15429.334076085193
04/2023,15850.17557396143
05/2023,16599.822698885302
06/2023,17846.397521976352
07/2023,18142.85022354374
08/2023,18234.1489717454
09/2023,18290.096506263828
10/2023,17736.97061357219
11/2023,18899.604802283444
12/2023,18927.90901862977
01/2024,20451.34128483153
02/2024,21489.409366799697
