Data,IE00BS7K8821
10/2012,10000
11/2012,10085.196621389889
12/2012,10122.251442655275
01/2013,10066.337723817916
02/2013,10108.11014981163
03/2013,10137.683775890113
04/2013,10277.707365107995
05/2013,10213.30871081096
06/2013,10115.85215074968
07/2013,10191.30589347461
08/2013,10170.865821775918
09/2013,10237.353414208916
10/2013,10330.988386236415
11/2013,10377.889153011045
12/2013,10336.65980416115
01/2014,10469.502303023108
02/2014,10498.030651676865
03/2014,10563.001203797796
04/2014,10610.024612536476
05/2014,10668.141047844007
06/2014,10739.211631804514
07/2014,10770.042390583314
08/2014,10828.419197538964
09/2014,10872.354266639757
10/2014,10843.305178095417
11/2014,10883.627973830751
12/2014,10912.33971747467
01/2015,10946.476126974814
02/2015,10999.470560030262
03/2015,11002.091662012472
04/2015,10979.403208716882
05/2015,10960.176763805624
06/2015,10891.586450248973
07/2015,10978.687074898859
08/2015,10940.570891258732
09/2015,10983.956096431057
10/2015,11034.667355032134
11/2015,11076.168170469893
12/2015,11037.926356996904
01/2016,11110.394689433704
02/2016,11126.779482854165
03/2016,11135.761673715713
04/2016,11108.52814943389
05/2016,11142.898408590516
06/2016,11201.89899438961
07/2016,11222.935030000717
08/2016,11219.44787946872
09/2016,11231.20769944832
10/2016,11153.910961261887
11/2016,11121.280661640709
12/2016,11184.487371456891
01/2017,11097.846071912423
02/2017,11153.075890815437
03/2017,11117.62258861062
04/2017,11148.572709400109
05/2017,11176.88511356325
06/2017,11129.75132420036
07/2017,11147.388645125107
08/2017,11183.565599834797
09/2017,11168.504911287704
10/2017,11210.572286763461
11/2017,11212.620014967335
12/2017,11163.206000991884
01/2018,11110.82123674063
02/2018,11130.020393716672
03/2018,11201.548222850055
04/2018,11187.099071472152
05/2018,11017.146753156094
06/2018,11092.566755409742
07/2018,11061.247235654615
08/2018,10988.987122323499
09/2018,10995.213782201861
10/2018,10995.479524484072
11/2018,11054.072192953161
12/2018,11121.368007255804
01/2019,11156.550317483003
02/2019,11134.598586030208
03/2019,11190.80004004743
04/2019,11192.924863819977
05/2019,11210.119681060556
06/2019,11282.161839358942
07/2019,11343.793555374308
08/2019,11408.107138275771
09/2019,11377.575677021818
10/2019,11323.059480728756
11/2019,11272.279320811316
12/2019,11248.63448335011
01/2020,11318.935138127366
02/2020,11316.41310677524
03/2020,11207.36705458673
04/2020,11212.72349630355
05/2020,11233.947763512986
06/2020,11285.089646561892
07/2020,11314.669158456873
08/2020,11295.758681774581
09/2020,11337.577560719186
10/2020,11381.232232551154
11/2020,11379.426073858345
12/2020,11378.217667956753
01/2021,11358.159940116275
02/2021,11298.130546367402
03/2021,11328.096429368697
04/2021,11294.744651847488
05/2021,11292.566375176759
06/2021,11301.972642323044
07/2021,11362.785880307041
08/2021,11334.826562499631
09/2021,11293.379099548261
10/2021,11198.841581841456
11/2021,11300.707908171444
12/2021,11225.645359509728
01/2022,11156.211407433233
02/2022,11074.334940377374
03/2022,10891.100243185529
04/2022,10733.655813755175
05/2022,10667.134245198455
06/2022,10587.038372026198
07/2022,10797.159211863127
08/2022,10460.583117875609
09/2022,10243.113258948779
10/2022,10257.572039229733
11/2022,10309.083246714808
12/2022,10095.152628821712
01/2023,10207.88151586491
02/2023,10064.451809596167
03/2023,10237.999854479958
04/2023,10251.306646652902
05/2023,10290.370230309372
06/2023,10187.500572535459
07/2023,10239.460642929278
08/2023,10283.650164432662
09/2023,10177.992867051962
10/2023,10255.714814891955
11/2023,10405.076487340788
12/2023,10623.8487558665
01/2024,10606.066822138824
02/2024,10478.61189815469
03/2024,10544.051648914285
04/2024,10463.832127277321
