Data,IE00BSKRJX20
07/2009,10000
08/2009,10039.197488705307
09/2009,10109.778700883422
10/2009,10005.906843189814
11/2009,10224.39241491208
12/2009,9916.603919084442
01/2010,10184.728949702345
02/2010,10361.69109655306
03/2010,10417.757110138062
04/2010,10682.70692373471
05/2010,11239.726384928823
06/2010,11248.378402550832
07/2010,11323.234839314464
08/2010,12936.833185348502
09/2010,12355.004707223978
10/2010,12064.063292956838
11/2010,11755.701924685114
12/2010,11176.174681095988
01/2011,10906.559047960944
02/2011,10900.162917318316
03/2011,10564.86835956052
04/2011,10773.274615868402
05/2011,11030.85490146052
06/2011,10629.57630886255
07/2011,11526.721753135114
08/2011,11878.261746907476
09/2011,12835.984779239325
10/2011,12298.691480275455
11/2011,12031.384376508462
12/2011,13228.027641329694
01/2012,13023.224696092742
02/2012,13189.474146956823
03/2012,13166.934862052429
04/2012,13254.567843079501
05/2012,15059.96517505795
06/2012,13616.265102929034
07/2012,14562.774374547756
08/2012,14516.79196235585
09/2012,14276.976220826631
10/2012,14203.420321491269
11/2012,14347.297295282693
12/2012,14732.392388266306
01/2013,14237.010199639544
02/2013,14293.872567144623
03/2013,14515.24394247599
04/2013,15098.669791756067
05/2013,14383.479159474522
06/2013,14028.812959871982
07/2013,14136.934562381697
08/2013,13672.79122675284
09/2013,13881.235113142016
10/2013,14096.770308514835
11/2013,14067.417342611458
12/2013,13783.858836891512
01/2014,14547.105161818075
02/2014,14585.951650532994
03/2014,14794.658375319796
04/2014,15169.35527762948
05/2014,15528.3712750008
06/2014,15818.138495476065
07/2014,16282.264758445936
08/2014,17349.19080652208
09/2014,17044.07282820716
10/2014,17382.245922917326
11/2014,18082.838999723324
12/2014,18749.306826407385
01/2015,20549.727223669175
02/2015,20475.699678699482
03/2015,21776.467177028022
04/2015,20795.79068589828
05/2015,19841.59150264129
06/2015,17975.771902701006
07/2015,19057.500694284943
08/2015,18317.427238126573
09/2015,19007.066607398927
10/2015,19346.520323869318
11/2015,19147.4096210513
12/2015,18555.59847515579
01/2016,19974.301330022634
02/2016,20836.41722159673
03/2016,21018.376711889196
04/2016,20171.773583918755
05/2016,20886.087272592264
06/2016,23038.32909545136
07/2016,23395.26906782168
08/2016,22844.037341531184
09/2016,22906.459020823168
10/2016,21631.042223377593
11/2016,20789.000265733022
12/2016,20866.03102910974
01/2017,19666.875255866562
02/2017,20353.67799422157
03/2017,19922.13936828167
04/2017,20271.74538131864
05/2017,20367.01593643051
06/2017,20037.53658780697
07/2017,19969.522323315225
08/2017,20558.329782721612
09/2017,20170.809854182866
10/2017,20551.684115794997
11/2017,20799.633412562045
12/2017,20483.021905689744
01/2018,20294.562324840364
02/2018,20384.721761630797
03/2018,21020.903435832646
04/2018,20746.841086424534
05/2018,21205.103576014044
06/2018,21338.15305453991
07/2018,21121.495143760218
08/2018,21317.414261672242
09/2018,20990.742148836805
10/2018,21167.897495253856
11/2018,21237.707129344333
12/2018,21432.900792457564
01/2019,21971.793232570733
02/2019,21782.233565516002
03/2019,22883.998747823047
04/2019,22611.144704969403
05/2019,23442.377793769087
06/2019,24572.623472773976
07/2019,25386.82528873479
08/2019,26990.82129648269
09/2019,26455.959519351884
10/2019,25585.932671048526
11/2019,25390.053837602492
12/2019,24483.50488123115
01/2020,26004.461146803944
02/2020,26872.850402034517
03/2020,25396.0867817788
04/2020,26293.958302183208
05/2020,25795.339298637853
06/2020,26166.509875467378
07/2020,26696.136353833197
08/2020,26027.60166138178
09/2020,26922.778566994904
10/2020,27441.640129955365
11/2020,27312.466030142674
12/2020,27312.004520995364
01/2021,26827.575599253138
02/2021,25413.887044219053
03/2021,25164.18634867232
04/2021,24593.513341059665
05/2021,24463.15187343453
06/2021,24800.620566344176
07/2021,26008.09884630457
08/2021,25669.20385104942
09/2021,24781.989705415304
10/2021,25114.08233762467
11/2021,26012.364869161658
12/2021,24941.066089866574
01/2022,24410.50794869718
02/2022,23462.38553475396
03/2022,22327.99558344618
04/2022,20444.52869042267
05/2022,19275.095662790434
06/2022,18203.15662217714
07/2022,20280.240536648453
08/2022,18126.229499593283
09/2022,16555.196645409902
10/2022,16438.19620181129
11/2022,17834.35482373136
12/2022,15698.099557991125
01/2023,16583.34883189132
02/2023,15510.739582130418
03/2023,16199.726934306262
04/2023,16075.203933779796
05/2023,16050.361113170713
06/2023,16197.186084238658
07/2023,15785.780270561158
08/2023,15778.663121814618
09/2023,14617.964116642062
10/2023,14417.191384381662
11/2023,15628.476890684566
12/2023,17133.932566172334
01/2024,16706.724600665966
02/2024,16349.49676744443
03/2024,16641.81158114353
04/2024,15991.060120467566
