Data,IE00BSKRJZ44
12/2004,9999.999999999998
01/2005,10808.7873204264
02/2005,10491.860204667972
03/2005,10652.362538387415
04/2005,11075.320852876455
05/2005,11996.263492860484
06/2005,12478.81810609117
07/2005,12101.42150277933
08/2005,12404.413620954514
09/2005,12107.694464569207
10/2005,11862.863890399893
11/2005,12204.55264979236
12/2005,12519.501780475684
01/2006,12032.952865385976
02/2006,12426.660547779591
03/2006,11632.476450209246
04/2006,10914.224928420155
05/2006,10641.858335478104
06/2006,10873.980216181937
07/2006,11051.643280262386
08/2006,11335.109444877196
09/2006,11719.49643943848
10/2006,11790.80172531699
11/2006,11606.343640420742
12/2006,11306.764522225823
01/2007,11373.023183729805
02/2007,11546.055833737157
03/2007,11247.702920789503
04/2007,11106.665184729727
05/2007,10985.027476171716
06/2007,10827.391623631842
07/2007,11006.693629015397
08/2007,11215.12245307436
09/2007,10871.265989366857
10/2007,10841.844348448658
11/2007,11168.045922510419
12/2007,11147.07139913663
01/2008,11267.30007120758
02/2008,11011.607702680589
03/2008,10765.18150714086
04/2008,10685.929620615168
05/2008,10421.81755895568
06/2008,10515.098145692606
07/2008,10550.376506439072
08/2008,11518.236570073841
09/2008,12062.243980034584
10/2008,13275.17952181205
11/2008,15200.781226519755
12/2008,15761.569467273976
01/2009,14874.492917016554
02/2009,14843.105700530788
03/2009,14693.610562118174
04/2009,13717.846127453982
05/2009,12448.782797992635
06/2009,12531.806863590617
07/2009,12569.315975188261
08/2009,12750.86095100207
09/2009,12729.529752703178
10/2009,12283.73752497977
11/2009,12228.652505367876
12/2009,11953.858684521909
01/2010,12655.213070829614
02/2010,13033.590544110622
03/2010,12799.611153711103
04/2010,13388.724004789507
05/2010,15238.415273782928
06/2010,16124.139263619893
07/2010,15091.346216629247
08/2010,16761.755370530253
09/2010,15218.128171844286
10/2010,14293.848023297842
11/2010,15045.089292928902
12/2010,14089.828632208306
01/2011,13329.617989204122
02/2011,13388.994878877336
03/2011,13044.035033945596
04/2011,12716.339450963253
05/2011,13619.961441907732
06/2011,13246.930012988338
07/2011,14040.814379324462
08/2011,15233.10075283135
09/2011,18319.004168418636
10/2011,16880.477108391624
11/2011,18150.30288063646
12/2011,19470.27772964407
