Data,IE00BSPLC298
11/1994,10000
12/1994,10300.115258123044
01/1995,10030.614632610723
02/1995,10019.27238349612
03/1995,9870.884985899002
04/1995,9835.583833479062
05/1995,10228.790400547896
06/1995,10245.570629677375
07/1995,10484.878854859426
08/1995,10399.144449030162
09/1995,10743.420765310642
10/1995,10360.71325633097
11/1995,10118.090874641252
12/1995,10456.952517499343
01/1996,10622.969815280328
02/1996,11142.373822198913
03/1996,11353.464498478948
04/1996,11566.089815082942
05/1996,12000.27007333413
06/1996,11924.149936152442
07/1996,11542.546133333257
08/1996,11636.631781394328
09/1996,11632.059062743981
10/1996,11935.546773465381
11/1996,12145.217101768445
12/1996,12771.887419754741
01/1997,13351.97587454421
02/1997,14073.217110901443
03/1997,14588.613675267405
04/1997,14290.603140496116
05/1997,14773.899010845813
06/1997,15182.006984199066
07/1997,15590.45241968205
08/1997,16085.724281816258
09/1997,16556.673873980308
10/1997,16183.200984661895
11/1997,15562.48903934755
12/1997,16026.204059381194
01/1998,16871.18196878994
02/1998,18096.4215666199
03/1998,19885.7313991154
04/1998,20426.11733590623
05/1998,20982.58248830115
06/1998,20334.030052927574
07/1998,20130.37161474702
08/1998,17753.863631377913
09/1998,16077.458025945163
10/1998,15863.72106980515
11/1998,16668.94539406355
12/1998,16736.984982095266
01/1999,16957.006361750762
02/1999,17445.64664354019
03/1999,18187.045407257927
04/1999,19339.851977313774
05/1999,19392.250400465087
06/1999,19816.836424730427
07/1999,19767.42812811184
08/1999,20250.81783659245
09/1999,19898.60366064139
10/1999,19965.184440462202
11/1999,20590.065306733646
12/1999,21873.523304294136
01/2000,22234.25417100554
02/2000,22984.546468023884
03/2000,23317.64119612502
04/2000,23210.959238752373
05/2000,22756.118491976067
06/2000,23034.951705790645
07/2000,23558.60266532805
08/2000,24451.335361790967
09/2000,24334.79648362781
10/2000,24243.958259255538
11/2000,23559.79273040321
12/2000,23556.949266746953
01/2001,24453.615237519745
02/2001,24227.58996822894
03/2001,23405.40495539063
04/2001,24412.240696880068
05/2001,25509.56373970331
06/2001,24464.16260449227
07/2001,23715.97406961595
08/2001,22939.634261186682
09/2001,19822.848373473236
10/2001,20746.317308557424
11/2001,22224.482308955226
12/2001,22855.198037901693
01/2002,23032.560597313714
02/2002,23391.036685562252
03/2002,24598.536694019604
04/2002,24933.245561426265
05/2002,24671.245956531664
06/2002,22266.936348305033
07/2002,20295.146437327054
08/2002,19887.245724386998
09/2002,17435.6741477447
10/2002,18104.369115030368
11/2002,19054.591744057954
12/2002,17790.562839299564
01/2003,16895.033470660946
02/2003,16069.331822683878
03/2003,15768.169663762284
04/2003,17755.708660152046
05/2003,18866.25922061744
06/2003,19989.30360256481
07/2003,21237.498683425445
08/2003,22827.863747954332
09/2003,22317.447534613813
10/2003,24190.68058182472
11/2003,24215.048164875327
12/2003,24327.574259041532
01/2004,26202.31879323143
02/2004,27492.183825760625
03/2004,27461.4505872866
04/2004,27561.452300566736
05/2004,27054.816573908338
06/2004,28044.785115670154
07/2004,27324.879877531177
08/2004,27182.53491273846
09/2004,27860.934040901408
10/2004,28011.85877427581
11/2004,29473.604425104724
12/2004,30577.288107190187
01/2005,32510.106070640682
02/2005,33826.30502083958
03/2005,33524.68531030029
04/2005,32191.298458536374
05/2005,34223.620396023754
06/2005,35653.460743366064
07/2005,37323.54967910976
08/2005,38094.3956572344
09/2005,39450.34304054189
10/2005,37550.95950402128
11/2005,39568.28707730858
12/2005,41611.97459290299
01/2006,44196.27525086143
02/2006,46416.81214162487
03/2006,48000.87201657166
04/2006,49125.89125506816
05/2006,46036.20911821501
06/2006,46196.082294704145
07/2006,45892.58291831815
08/2006,47323.119637642834
09/2006,49014.0421054677
10/2006,51823.19971925756
11/2006,53221.342562914324
12/2006,55994.479226837
01/2007,57943.60406761309
02/2007,57482.75523155102
03/2007,60240.91325819289
04/2007,62218.39556690007
05/2007,63807.139758597514
06/2007,62547.85811705522
07/2007,61175.388682836994
08/2007,58501.23939854476
09/2007,56808.55835619486
10/2007,58913.46966851882
11/2007,52883.008283818854
12/2007,51355.48783690464
01/2008,45431.58575106829
02/2008,46240.92151922785
03/2008,44694.902192675756
04/2008,46239.52640008253
05/2008,46546.56544760094
06/2008,40757.670841859144
07/2008,39055.107067627025
08/2008,40667.82266539347
09/2008,33503.745264128964
10/2008,26616.847326983865
11/2008,24528.776857145916
12/2008,23935.01376596918
01/2009,24630.09751533424
02/2009,22973.47085106345
03/2009,24114.56214619622
04/2009,32464.847748855278
05/2009,34930.82120117843
06/2009,34384.91540051995
07/2009,38133.47527693558
08/2009,43157.441782955946
09/2009,45629.508445344894
10/2009,42527.4329798849
11/2009,41743.78474893888
12/2009,43608.802119873784
01/2010,44565.33458667242
02/2010,43514.58335864238
03/2010,48029.778579818565
04/2010,49606.06044980181
05/2010,45141.42052528816
06/2010,44252.033884923294
07/2010,46798.696472699805
08/2010,45526.50067225797
09/2010,47905.82182709514
10/2010,49767.84713989291
11/2010,48786.36012805851
12/2010,53682.97788110722
01/2011,53809.61505998712
02/2011,54536.67830409767
03/2011,53196.73974007887
04/2011,54492.36328675582
05/2011,54109.30417857521
06/2011,51748.49760461596
07/2011,49810.51410290319
08/2011,43514.605011560336
09/2011,40097.678613336604
10/2011,42322.024979293165
11/2011,40718.62032382271
12/2011,40404.107227605535
01/2012,45469.95385409279
02/2012,47939.4849386547
03/2012,47097.65931818632
04/2012,46168.492029625995
05/2012,41548.12043267267
06/2012,43973.79049864713
07/2012,44394.13066553172
08/2012,45929.560199270876
09/2012,48288.084876147565
10/2012,49352.316321870036
11/2012,49342.76130536601
12/2012,52130.69948859909
01/2013,54789.11592612457
02/2013,55967.72297017187
03/2013,56835.33364372103
04/2013,58671.589695475974
05/2013,60959.17795444371
06/2013,57589.93627832471
07/2013,62764.49437589058
08/2013,63695.65005194031
09/2013,68257.48224025169
10/2013,71354.46101011647
11/2013,72943.92487524518
12/2013,74114.59777448997
01/2014,75052.87415696749
02/2014,80710.26315028385
03/2014,80761.48626072507
04/2014,80270.04771968584
05/2014,82017.152650826
06/2014,80914.53687711831
07/2014,78330.29041819174
08/2014,79050.63901035063
09/2014,77688.69507592816
10/2014,74641.51499594985
11/2014,75809.32436745935
12/2014,76609.37069110884
01/2015,81193.25256145169
02/2015,89188.11284708651
03/2015,90682.25564833856
04/2015,91897.53755223472
05/2015,94569.8368026865
06/2015,91126.65305608859
07/2015,94219.89681560411
08/2015,88241.23194262962
09/2015,84298.92372203521
10/2015,90179.66254083083
11/2015,92590.04498953678
12/2015,89267.41283193024
01/2016,81035.10684573729
02/2016,81477.74760510273
03/2016,85044.49442336471
04/2016,87889.43776511436
05/2016,89243.11971789658
06/2016,80349.09205595861
07/2016,85163.00438379573
08/2016,85932.7611773183
09/2016,87038.82507416073
10/2016,86270.37589844163
11/2016,87296.36155451242
12/2016,93119.44577536204
01/2017,94291.89939858679
02/2017,95949.17096813029
03/2017,98538.74209992331
04/2017,101950.55688903971
05/2017,102869.5933940383
06/2017,99155.82142052279
07/2017,101145.05362808782
08/2017,100181.12182613196
09/2017,104790.22599599506
10/2017,105664.92617617757
11/2017,104180.97999349794
12/2017,106437.44238439099
01/2018,107730.2205346285
02/2018,103864.39993006225
03/2018,101322.79594338762
04/2018,106817.66772767887
05/2018,106479.08251548804
06/2018,105342.04517430466
07/2018,106495.76232551826
08/2018,104744.35650182699
09/2018,104464.97052833182
10/2018,96466.81043894537
11/2018,93191.13347936716
12/2018,86932.70027155547
01/2019,94260.26056129363
02/2019,97821.31228536145
03/2019,97988.94574180635
04/2019,102891.6749945087
05/2019,95004.71486613606
06/2019,97562.74255647033
07/2019,96242.93969681842
08/2019,94785.5576722649
09/2019,99266.43252688041
10/2019,101774.95400688196
11/2019,106068.36434843758
12/2019,110428.07603297052
01/2020,107189.08909319945
02/2020,97947.45660110784
03/2020,72286.40565547204
04/2020,80840.10893310956
05/2020,82694.60826508117
06/2020,84758.36055007402
07/2020,83545.85337555119
08/2020,88964.88729226054
09/2020,86880.33293694111
10/2020,82844.82517292051
11/2020,101062.42792383781
12/2020,107057.62102436586
01/2021,108039.45248144845
02/2021,116101.86204313116
03/2021,124270.76195005431
04/2021,127433.38304322907
05/2021,132557.25010777553
06/2021,129275.03158084035
07/2021,131981.7636735495
08/2021,136901.03172375736
09/2021,133561.65649050238
10/2021,136007.65071056696
11/2021,130295.18282841213
12/2021,139136.28177693876
01/2022,135735.34660853786
02/2022,131480.7973988723
03/2022,132046.64871091628
04/2022,131956.58622816385
05/2022,131880.78868953665
06/2022,116189.53543300588
07/2022,123975.26071996517
08/2022,117483.25767958486
09/2022,105588.65508986097
10/2022,113133.07016761688
11/2022,120410.64076191961
12/2022,118803.5848308277
01/2023,130169.40891518799
02/2023,133745.85728964367
03/2023,126700.73318713906
04/2023,130411.05501107729
05/2023,125097.21307278103
06/2023,128116.46302866869
07/2023,132852.8146654586
08/2023,128879.83310307408
09/2023,126422.663085785
10/2023,119514.09342667084
11/2023,129200.81533341944
12/2023,138453.5169592869
01/2024,136916.13755090203
02/2024,135000.21457083468
03/2024,141506.79284564903
04/2024,142000.02066854702
