Data,IE00BTJRMP35
12/1987,10000
01/1988,11098.971623672229
02/1988,11458.078260741482
03/1988,12516.013264159124
04/1988,13104.68707370345
05/1988,13629.409115407418
06/1988,14615.065326480277
07/1988,14960.199007348987
08/1988,14884.686827999374
09/1988,15732.85556465471
10/1988,15243.185807731596
11/1988,14575.404197176309
12/1988,14976.956005162907
01/1989,15372.683842127899
02/1989,16752.373960910503
03/1989,18542.593902945217
04/1989,22182.00938697567
05/1989,23443.9114070667
06/1989,20967.718698463985
07/1989,21369.852503241185
08/1989,22201.458921267436
09/1989,25380.274348717645
10/1989,24763.646707163683
11/1989,23268.117142789073
12/1989,25031.084718466424
01/1990,25094.02212583748
02/1990,25729.792837753368
03/1990,22635.041867693857
04/1990,23954.37458603269
05/1990,25495.753880003682
06/1990,26551.700380195518
07/1990,28017.095432268463
08/1990,23363.280874772157
09/1990,20410.420935307495
10/1990,19441.508434609834
11/1990,18059.69626317848
12/1990,19042.87067716193
01/1991,20630.774948089987
02/1991,23286.038871706296
03/1991,26383.89434320569
04/1991,28079.128096086984
05/1991,30683.208535535094
06/1991,30686.170900167785
07/1991,32314.54405722669
08/1991,32264.635964082692
09/1991,30166.983135357837
10/1991,31352.02206838495
11/1991,29726.259677043618
12/1991,32011.759918104723
01/1992,35964.50554047926
02/1992,38386.271267295066
03/1992,40740.22342531219
04/1992,40086.25234966367
05/1992,39172.99488051678
06/1992,34271.3611586212
07/1992,32990.84318054638
08/1992,30654.46490996959
09/1992,31465.77186060151
10/1992,34522.996737519235
11/1992,36383.25470468196
12/1992,37423.07836242439
01/1993,38332.846673506516
02/1993,39941.00414823966
03/1993,41458.98224376578
04/1993,40963.13292283652
05/1993,42202.118258340415
06/1993,44715.290578161446
07/1993,47836.263935154886
08/1993,52264.68461577085
09/1993,52014.51130282269
10/1993,57338.99801229474
11/1993,61475.88056546685
12/1993,71596.63725499013
01/1994,73877.00069961365
02/1994,72272.56533335024
03/1994,64362.84281556726
04/1994,63248.65576320843
05/1994,63997.93313183508
06/1994,61213.72770895073
07/1994,63006.81974716529
08/1994,70898.70246515397
09/1994,70925.4192711237
10/1994,68304.37472114213
11/1994,65705.55878587023
12/1994,61654.34720182439
01/1995,53959.547804040376
02/1995,51992.057158825075
03/1995,50281.4817417532
04/1995,51524.483510425714
05/1995,55096.255838232384
06/1995,54789.905010331306
07/1995,55360.593349008705
08/1995,55684.94817504863
09/1995,56123.33259696236
10/1995,53126.85296560543
11/1995,52284.21784011032
12/1995,55460.03183510513
01/1996,60115.10803370955
02/1996,59490.22967683452
03/1996,59906.406571681386
04/1996,62823.842035422545
05/1996,63292.58204622816
06/1996,63184.41011903157
07/1996,57962.21588525803
08/1996,58898.23875101848
09/1996,59914.543269665795
10/1996,58489.05165814808
11/1996,58697.03961278826
12/1996,60258.72673281834
01/1997,66110.69230362574
02/1997,71935.67026550382
