Data,IE00BVGC6645
01/2015,10000
02/2015,10769.013102277417
03/2015,11002.1297393942
04/2015,11310.423120909356
05/2015,11847.993315899223
06/2015,11546.512549531564
07/2015,11736.642862223129
08/2015,10829.824933070644
09/2015,9947.607977360763
10/2015,11029.762850403953
11/2015,11216.787108778117
12/2015,11015.28504676511
01/2016,10192.738094811028
02/2016,9239.591384103478
03/2016,9628.93314444122
04/2016,9595.84609656848
05/2016,9854.394456643708
06/2016,8841.153967915978
07/2016,9331.384176505213
08/2016,9400.174940300054
09/2016,9375.043141571658
10/2016,9875.009166577927
11/2016,10394.916347523871
12/2016,10740.763410485994
01/2017,10763.983655890914
02/2017,10845.76635912653
03/2017,10745.405801457762
04/2017,10876.70799010449
05/2017,11091.859177952034
06/2017,11395.594217226633
07/2017,11421.28401488485
08/2017,11366.886211951676
09/2017,11800.928307103011
10/2017,12474.150612234547
11/2017,12663.080168577138
12/2017,12827.97239708164
01/2018,12961.773031556386
02/2018,12425.328530039622
03/2018,12172.051899748256
04/2018,12589.487934890309
05/2018,12364.927824573266
06/2018,12271.184053019597
07/2018,12414.120779570503
08/2018,12275.773487710652
09/2018,12959.081321700009
10/2018,11702.12602738057
11/2018,11826.662544836168
12/2018,10628.883532951873
01/2019,11175.091427096522
02/2019,11439.905073622338
03/2019,11465.181121050353
04/2019,11638.180352904068
05/2019,10863.836578567641
06/2019,11172.10089393451
07/2019,11249.655444865037
08/2019,10888.129735011687
09/2019,11542.245918079008
10/2019,12106.935119452963
11/2019,12321.710673416095
12/2019,12498.338448080662
01/2020,12256.543493466821
02/2020,11014.745042460581
03/2020,10293.42341124458
04/2020,10751.057376414985
05/2020,11504.464429076124
06/2020,11491.257962376505
07/2020,11045.7929099386
08/2020,11941.947727299641
09/2020,12036.179835891448
10/2020,11686.17738578772
11/2020,13090.276179927454
12/2020,13414.68250323407
01/2021,13464.429282118255
02/2021,13836.273939293156
03/2021,14544.446459424245
04/2021,14116.896778256896
05/2021,14349.393645154263
06/2021,14457.900594823977
07/2021,14074.294030373761
08/2021,14565.18611250719
09/2021,15190.353299816092
10/2021,14971.71825821286
11/2021,14426.91684587938
12/2021,14914.451071537276
01/2022,14149.993816594031
02/2022,14052.832884158386
03/2022,14635.770678381155
04/2022,14279.555555469206
05/2022,14386.563849827344
06/2022,14044.249456319736
07/2022,14594.158870795634
08/2022,14775.99556399038
09/2022,13916.560876725185
10/2022,14628.469467762556
11/2022,15151.765664082657
12/2022,14452.668737581214
01/2023,15128.256436638832
02/2023,15301.521972851118
03/2023,15568.083841522479
04/2023,15994.136871254252
05/2023,16752.058893667254
06/2023,18011.6016013457
07/2023,18312.449628678012
08/2023,18406.280479001372
09/2023,18464.443404123696
10/2023,17907.73751708486
11/2023,19083.206785598803
12/2023,19113.53525986463
01/2024,20653.659919481084
02/2024,21703.890531994344
