Data,IE00BWTN6Y99
02/2014,10000
03/2014,10300.652821090958
04/2014,10647.87346533145
05/2014,10951.050300416478
06/2014,11095.96544348083
07/2014,10868.859996389787
08/2014,11423.981159886633
09/2014,11775.310780174237
10/2014,12351.42864159789
11/2014,12627.949818129648
12/2014,12995.782796042493
01/2015,13951.310780394848
02/2015,14148.69474041946
03/2015,14667.177943948736
04/2015,14053.66609019063
05/2015,14330.439366478846
06/2015,13578.927476729721
07/2015,14366.863179210432
08/2015,13458.784651810895
09/2015,13451.764303948474
10/2015,14461.240234083634
11/2015,14970.119424142087
12/2015,14639.295034940347
01/2016,14475.161502822419
02/2016,15050.754187395129
03/2016,15584.03958453248
04/2016,15575.496291376481
05/2016,15796.642467805385
06/2016,16435.103245027458
07/2016,17149.271426488198
08/2016,16776.927173500797
09/2016,16616.661920431387
10/2016,16434.837077638487
11/2016,17257.59043466793
12/2016,17731.242784264083
01/2017,17657.697427033214
02/2017,18452.76771198388
03/2017,18094.149226703506
04/2017,17461.088903033302
05/2017,17081.240689732364
06/2017,16794.50075598417
07/2017,16415.3115063415
08/2017,16149.337039484633
09/2017,16507.82418128867
10/2017,16842.774032320547
11/2017,17054.58505908474
12/2017,16760.044603144026
01/2018,16145.799441116711
02/2018,15294.121177987314
03/2018,15160.127180708621
04/2018,15563.831077497754
05/2018,16287.330920008519
06/2018,16645.207511558114
07/2018,16834.36436742012
08/2018,16939.88083616775
09/2018,16921.392420445725
10/2018,16839.12703007795
11/2018,17274.094956164525
12/2018,15759.835661606096
01/2019,17032.76093318111
02/2019,17365.801377067146
03/2019,17829.53668051081
04/2019,17955.804309460087
05/2019,16860.37696805416
06/2019,17427.079224963185
07/2019,17760.86004922955
08/2019,17299.87533337321
09/2019,18405.154951111686
10/2019,17905.583385488113
11/2019,18452.01188681342
12/2019,18406.024494189263
01/2020,17936.81884069513
02/2020,16276.963432600915
03/2020,12847.16922186033
04/2020,14289.333833981356
05/2020,14058.009086566059
06/2020,13828.024831241499
07/2020,13361.05519530369
08/2020,13426.209704345343
09/2020,13242.317213821398
10/2020,13072.727278294682
11/2020,14413.911809209107
12/2020,14388.244982988363
01/2021,14810.84117024258
02/2021,15233.859069872942
03/2021,17136.657889748127
04/2021,17175.380578839413
05/2021,17301.95813818853
06/2021,17364.56567125788
07/2021,17218.559410579895
08/2021,17495.871584296132
09/2021,17081.027183909184
10/2021,17281.267812833943
11/2021,17166.498442539545
12/2021,18635.364524243658
01/2022,19033.145293312333
02/2022,18742.513283264172
03/2022,19803.973625304196
04/2022,20568.166900139186
05/2022,20717.810062772256
06/2022,19773.575353497232
07/2022,20645.23179193169
08/2022,20441.731983953407
09/2022,18622.700173525544
10/2022,20082.786994137994
11/2022,20436.905894223655
12/2022,19064.24198630861
01/2023,19458.839852840832
02/2023,18849.661326105655
03/2023,17972.069336083583
04/2023,17812.57293507392
05/2023,17036.92671175406
06/2023,17597.098951853244
07/2023,17901.156841282038
08/2023,17503.94103338199
09/2023,17101.770693616865
10/2023,16573.35489994616
11/2023,17193.74185912056
12/2023,17745.0534981542
01/2024,17873.64067465947
02/2024,18093.51630427562
03/2024,18943.199691691647
04/2024,18656.81844639814
