Data,IE00BX7RRJ27
06/1994,10000
07/1994,9919.494259551499
08/1994,10539.961828569825
09/1994,10353.572330507595
10/1994,10502.329992128956
11/1994,10556.630418827526
12/1994,10871.855573379893
01/1995,10975.758851899185
02/1995,11261.19252590297
03/1995,11151.693053949313
04/1995,11296.357375185638
05/1995,11933.618848331147
06/1995,12380.635823995786
07/1995,12621.20145454786
08/1995,12917.775979862241
09/1995,13672.119398926106
10/1995,13741.02376935134
11/1995,14242.283191773391
12/1995,14446.339710523907
01/1996,15190.810963019538
02/1996,15522.499047325193
03/1996,15443.025082433203
04/1996,16018.808432817525
05/1996,16859.601467568762
06/1996,16931.205573684114
07/1996,16129.120493164828
08/1996,16236.042751008043
09/1996,17542.623184237334
10/1996,17841.976773927134
11/1996,19203.442920923582
12/1996,19313.01942022433
01/1997,21545.734556666943
02/1997,22479.589108631615
03/1997,21552.647111020076
04/1997,23560.961936086875
05/1997,24814.959970082116
06/1997,26238.038299595963
07/1997,28914.69675578952
08/1997,27809.10434207477
09/1997,28149.925529561748
10/1997,26956.301227824493
11/1997,27731.40172721036
12/1997,28666.453355047524
01/1998,30355.038297234743
02/1998,32500.81304056414
03/1998,34156.785418995954
04/1998,34225.23380915018
05/1998,33071.9372757559
06/1998,35542.6606827795
07/1998,35788.64282707416
08/1998,30970.13215566073
09/1998,32149.233004681533
10/1998,33270.536985637176
11/1998,37098.52348727154
12/1998,39356.507500395426
01/1999,42436.09711530632
02/1999,42218.326275143256
03/1999,44870.723911329565
04/1999,45865.64597499155
05/1999,45427.31314979021
06/1999,48781.84839874686
07/1999,45873.80121918421
08/1999,46894.01018376311
09/1999,44772.4551705908
10/1999,48293.71891783633
11/1999,51524.55565115206
12/1999,55028.62338787371
01/2000,52981.65094105404
02/2000,52780.68538382776
03/2000,58289.84170271884
04/2000,59382.583319708225
05/2000,56605.075199973326
06/2000,58680.82815882679
07/2000,58646.726402352266
08/2000,63251.952677260604
09/2000,60862.409135271904
10/2000,64558.213091812395
11/2000,58846.54178290976
12/2000,53522.73456758876
01/2001,55085.483882275206
02/2001,50035.4242730123
03/2001,48701.76152340592
04/2001,51713.90735990416
05/2001,54377.70578644075
06/2001,53033.03314115463
07/2001,52123.4528992518
08/2001,46789.27943221833
09/2001,44256.53686516046
10/2001,45853.996439458744
11/2001,50255.43748630128
12/2001,50864.58862436031
01/2002,52314.921177430275
02/2002,51429.819065583804
03/2002,52134.741889487224
04/2002,47168.27444143141
05/2002,44728.120273187254
06/2002,39134.19022460533
07/2002,37503.57901510103
08/2002,37551.75513538124
09/2002,33612.09604337563
10/2002,37006.80836762375
11/2002,38116.79969849425
12/2002,34179.75299136682
01/2003,32077.27129237952
02/2003,31818.036549402863
03/2003,31922.1099063162
04/2003,33143.37221697577
05/2003,32519.052850719505
06/2003,34016.79974307675
07/2003,34314.29288368175
08/2003,36085.27101548507
09/2003,33557.9261804164
10/2003,35047.730200807055
11/2003,34099.54922486112
12/2003,33847.13597567217
01/2004,34769.029030958045
02/2004,35205.62651567263
03/2004,35165.2059628275
04/2004,36544.64944974385
05/2004,35845.52364304197
06/2004,36453.117379756586
07/2004,35617.761170443686
08/2004,35606.33868173222
09/2004,34708.13678795666
10/2004,33964.53658027189
11/2004,33667.218002776484
12/2004,34324.6650126745
01/2005,35437.65115994288
02/2005,35727.1568862063
03/2005,36120.598840974104
04/2005,35317.31858667148
05/2005,38136.855161755564
06/2005,38422.03650804719
07/2005,39764.13221565107
08/2005,38820.059330866236
09/2005,39261.03319433917
10/2005,38743.92657158434
11/2005,40754.42696182543
12/2005,40329.49585881339
01/2006,39860.010874455555
02/2006,40677.24753678578
03/2006,40146.14342067457
04/2006,38616.28613994827
05/2006,36520.416295533
06/2006,37135.546516948314
07/2006,37182.51271525996
08/2006,37889.958154810454
09/2006,39196.18759319136
10/2006,40638.22882718482
11/2006,39886.68165487648
12/2006,40155.79757702697
01/2007,41338.92738169365
02/2007,39427.636059999386
03/2007,39515.64430465405
04/2007,40647.393120389526
05/2007,42494.28393149283
06/2007,41755.91739562624
07/2007,40459.417344575595
08/2007,41492.713064254
09/2007,41407.23364225181
10/2007,41301.9100907119
11/2007,39192.65822320432
12/2007,39436.82777772985
01/2008,36229.86407587676
02/2008,35063.938373409444
03/2008,33472.71718425122
04/2008,35172.55769891717
05/2008,36183.6824389979
06/2008,33277.059051127755
07/2008,33294.62259212607
08/2008,36045.03011066035
09/2008,34442.78835099485
10/2008,32745.588668188047
11/2008,31233.521656314973
12/2008,28861.501752073098
01/2009,29906.773284364193
02/2009,27735.570085383428
03/2009,28625.468721076522
04/2009,30688.070311441697
05/2009,30384.281740232218
06/2009,30766.8422552126
07/2009,32514.395470267606
08/2009,32896.79607550311
09/2009,33132.42341863996
10/2009,32806.62627082428
11/2009,34260.9462194861
12/2009,36444.92929412839
01/2010,35945.570711778775
02/2010,37815.63750952593
03/2010,39944.181864669255
04/2010,40789.00664194757
05/2010,40465.21116215877
06/2010,38982.81365513506
07/2010,38929.91377175165
08/2010,38591.506831612125
09/2010,39452.3568191209
10/2010,40586.67654302755
11/2010,43181.26072642591
12/2010,43867.85939764494
01/2011,43344.000213697036
02/2011,44069.487504772405
03/2011,42902.60138410959
04/2011,42844.89579200791
05/2011,44156.14157274265
06/2011,43676.81910543387
07/2011,44111.756266970755
08/2011,41736.55192871781
09/2011,42539.4035745267
10/2011,44679.95832664466
11/2011,46820.22409271706
12/2011,48679.31705774674
01/2012,50301.04778934895
02/2012,51244.147757160375
03/2012,53400.359692816986
04/2012,53767.02053852851
05/2012,53968.07404890233
06/2012,54694.59589595153
07/2012,56627.94618817514
08/2012,56652.12172077133
09/2012,56345.8638896257
10/2012,54017.32480987715
11/2012,54575.384634128655
12/2012,53936.6139717313
01/2013,55167.528065437094
02/2013,57723.874374010426
03/2013,61072.034394299895
04/2013,61078.1923045231
05/2013,63064.96685338974
06/2013,61015.74812745334
07/2013,62708.874279100746
08/2013,61614.14841916469
09/2013,62610.168137886816
10/2013,64906.740240553605
11/2013,67633.3083354422
12/2013,68338.71755323245
01/2014,66825.2391619688
02/2014,68499.51834275624
03/2014,68253.82835742408
04/2014,68561.53100007567
05/2014,71225.14915874561
06/2014,71353.81336255798
07/2014,72230.41729243052
08/2014,76506.46125939174
09/2014,79324.94595042283
10/2014,81963.98770768684
11/2014,84113.3561233315
12/2014,86145.77837211428
01/2015,90907.1900535934
02/2015,96860.03240147262
03/2015,99560.60909281179
04/2015,95768.923277239
05/2015,99225.99687858019
06/2015,95314.91920729235
07/2015,100069.58405404798
08/2015,92493.37568216604
09/2015,91830.35051626472
10/2015,101991.07294074017
11/2015,106379.56239311984
12/2015,102030.1213876336
01/2016,96953.58003066652
02/2016,97052.83668436928
03/2016,98565.07957562008
04/2016,97027.09274639524
05/2016,100462.6364254311
06/2016,100229.27197143159
07/2016,104852.94263929965
08/2016,104621.63780819334
09/2016,104843.07849317072
10/2016,104659.46277397934
11/2016,110293.54324428961
12/2016,112841.28178587487
01/2017,112506.49301081215
02/2017,119515.93785656542
03/2017,119246.68450743819
04/2017,118662.00360396224
05/2017,117792.63560928182
06/2017,114656.79919865046
07/2017,113274.36576487416
08/2017,113359.40899853192
09/2017,115867.00981911583
10/2017,122442.2302702654
11/2017,124193.98879690902
12/2017,123978.7700016717
01/2018,126413.33668464675
02/2018,125600.35261831954
03/2018,121963.62604021167
04/2018,122504.36283269578
05/2018,130905.28854025296
06/2018,131998.36308545983
07/2018,135773.10575287702
08/2018,142319.1641206255
09/2018,144186.32251240368
10/2018,136993.69877957535
11/2018,137996.6142222985
12/2018,125490.0543900042
01/2019,135080.81464863708
02/2019,142236.33854718992
03/2019,149179.79736373987
04/2019,156036.17108631408
05/2019,146228.633966039
06/2019,153142.06769819162
07/2019,160282.0076437538
08/2019,159542.09741406646
09/2019,163783.67137998753
10/2019,164657.5008797549
11/2019,174396.03991316268
12/2019,176641.89821160556
01/2020,180528.4651451108
02/2020,168003.08933884624
03/2020,153625.2009538024
04/2020,172854.410460505
05/2020,178673.86004349292
06/2020,179658.29747260886
07/2020,177495.10746237537
08/2020,190256.38715125356
09/2020,188305.24125636098
10/2020,180996.92752883094
11/2020,195722.0710117892
12/2020,197328.70660759465
01/2021,194480.46805464444
02/2021,199097.04367760432
03/2021,214083.24221326155
04/2021,217324.82844770286
05/2021,217016.44572103675
06/2021,233506.66396489317
07/2021,241532.13865699375
08/2021,250083.9416175188
09/2021,239115.41139447733
10/2021,254189.32825355945
11/2021,260063.44084817858
12/2021,271163.46600871306
01/2022,254646.92831209354
02/2022,240495.60143864597
03/2022,251832.4626369883
04/2022,241534.0162953746
05/2022,236317.75429252093
06/2022,225207.3691434883
07/2022,249350.80508589203
08/2022,239241.4582583125
09/2022,221888.95400164963
10/2022,233636.7679945349
11/2022,240059.89007305272
12/2022,221224.98828682117
01/2023,230087.3513536051
02/2023,229897.18945630026
03/2023,239283.24880227196
04/2023,241720.54789417403
05/2023,256117.4502436444
06/2023,267036.6984509383
07/2023,272640.3814442951
08/2023,276251.9962608968
09/2023,269609.7151913768
10/2023,264783.11807191593
11/2023,278816.7939279736
12/2023,289068.32035842503
01/2024,303906.88195448206
02/2024,325183.74193143606
03/2024,333114.9911927995
04/2024,321199.05627948506
