Data,IE00BYM31M36
06/2016,10000
07/2016,10264.071388959697
08/2016,10441.15827582708
09/2016,10491.453705159221
10/2016,10690.955807031518
11/2016,10823.869232230187
12/2016,11078.545348491007
01/2017,11119.585014613927
02/2017,11366.931177573775
03/2017,11297.290019660888
04/2017,11253.295209847838
05/2017,11102.774357298234
06/2017,10973.637712710544
07/2017,10912.679987548647
08/2017,10868.17749898006
09/2017,11024.07143130347
10/2017,11225.758567073075
11/2017,11090.773075273695
12/2017,11018.522200896123
01/2018,10832.582439272934
02/2018,10833.998650660626
03/2018,10702.265543652005
04/2018,10921.250658396617
05/2018,11058.312413233798
06/2018,11091.304044388498
07/2018,11133.299029779413
08/2018,11208.254567332628
09/2018,11358.932015702618
10/2018,11374.841431718669
11/2018,11155.387896928056
12/2018,10968.23370186241
01/2019,11367.403074542945
02/2019,11618.929911733196
03/2019,11876.764517336127
04/2019,12023.91092426597
05/2019,11972.663532072367
06/2019,12087.547017040139
07/2019,12403.302736857366
08/2019,12630.411896736272
09/2019,12837.402797019222
10/2019,12689.133577468723
11/2019,12936.147418310326
12/2019,12899.240477505997
01/2020,13201.61965803191
02/2020,13147.213285522712
03/2020,11605.277253881035
04/2020,12895.883931403943
05/2020,13094.130366525813
06/2020,13354.370840373485
07/2020,13388.391735470308
08/2020,13502.756643799983
09/2020,13491.146747793982
10/2020,13588.613952648679
11/2020,14032.758840444287
12/2020,14068.324610959544
01/2021,14237.18023798195
02/2021,14310.30891549387
03/2021,14632.51627109298
04/2021,14467.345442568796
05/2021,14440.153718623356
06/2021,14895.623025122648
07/2021,15019.964174316056
08/2021,15142.153599280158
09/2021,15356.803834717028
10/2021,15276.009818777471
11/2021,15348.118031885939
12/2021,15650.127183328961
01/2022,15327.269162975765
02/2022,14973.452659168426
03/2022,14910.615116206334
04/2022,14901.762094328735
05/2022,14691.932401418446
06/2022,14143.898448849075
07/2022,14996.005257576802
08/2022,14973.042892245352
09/2022,14663.43863030191
10/2022,14616.516115697237
11/2022,14523.817700533928
12/2022,14246.584411811667
01/2023,14575.977178755613
02/2023,14600.72761791565
03/2023,14404.30425480044
04/2023,14431.544329979854
05/2023,14620.615892189508
06/2023,14640.114977583728
07/2023,14639.597126946834
08/2023,14802.151340677534
09/2023,14897.150391880823
10/2023,14730.363444933986
11/2023,15090.098386437827
12/2023,15467.931156100058
01/2024,15650.09824881771
02/2024,15584.272778597062
03/2024,15778.014715754196
04/2024,15732.59766364525
