Data,IE00BYPC1H27
05/2020,10000.000000000002
06/2020,10001.9481115041
07/2020,10067.435028016516
08/2020,10216.237931859958
09/2020,10264.686052852036
10/2020,10468.124732063972
11/2020,10678.634880601174
12/2020,10847.037849832019
01/2021,10980.84558332809
02/2021,10977.43303271333
03/2021,10893.981285674397
04/2021,11098.518056259358
05/2021,11365.488812481442
06/2021,11195.110608498517
07/2021,11373.540282914555
08/2021,11395.316793764203
09/2021,11405.326639391647
10/2021,11496.329048150694
11/2021,11654.525027554677
12/2021,11726.40263100221
01/2022,11841.640776390874
02/2022,11898.900326529747
03/2022,11844.482598819015
04/2022,11444.987431512216
05/2022,11390.044567186806
06/2022,11317.899540761484
07/2022,11327.84466184617
08/2022,11179.501049949993
09/2022,10843.318979256313
10/2022,10612.118212664443
11/2022,10728.328952715934
12/2022,11071.263869526272
01/2023,11387.3708060771
02/2023,11097.356583084935
03/2023,11271.080954576955
04/2023,11246.165583439184
05/2023,11039.819472890675
06/2023,10850.000033149752
07/2023,11066.181986175825
08/2023,10922.74361799655
09/2023,10847.776304993102
10/2023,10842.32207109838
11/2023,11148.784247469148
12/2023,11323.078027432955
01/2024,11291.894618812918
02/2024,11361.32942224869
03/2024,11332.330054928121
04/2024,11344.54264409622
