Data,IE00BYPHT736
06/2016,10000.000000000002
07/2016,10222.105457227139
08/2016,10293.379443076301
09/2016,10263.059082471944
10/2016,10225.544640397777
11/2016,10100.933095964183
12/2016,10198.364672055623
01/2017,10158.267030083523
02/2017,10291.646650428625
03/2017,10277.722725269896
04/2017,10353.443068832963
05/2017,10411.469128148086
06/2017,10368.096318384558
07/2017,10466.635518363082
08/2017,10519.37048357174
09/2017,10506.721017910355
10/2017,10646.991701098243
11/2017,10638.240077765142
12/2017,10608.588797811193
01/2018,10584.827121935934
02/2018,10559.116072350978
03/2018,10534.720896597786
04/2018,10546.884868221403
05/2018,10465.73115253862
06/2018,10440.71694383678
07/2018,10504.419998467203
08/2018,10476.798725638893
09/2018,10459.620330151296
10/2018,10415.070849870322
11/2018,10310.581656456867
12/2018,10328.632558914487
01/2019,10493.250229722493
02/2019,10595.273684478763
03/2019,10755.860166605124
04/2019,10878.619371603441
05/2019,10828.185827277279
06/2019,11056.303041524547
07/2019,11243.986138797642
08/2019,11317.102270097339
09/2019,11232.147449008833
10/2019,11220.704137968063
11/2019,11194.96293687133
12/2019,11209.529691265596
01/2020,11339.759245450534
02/2020,11263.981372510681
03/2020,10271.059103180782
04/2020,10718.310605435217
05/2020,10776.460643583283
06/2020,10946.239044426276
07/2020,11136.066176509037
08/2020,11198.634090565807
09/2020,11213.817153513153
10/2020,11300.34050260052
11/2020,11486.692743031896
12/2020,11522.551918417805
01/2021,11514.965719838154
02/2021,11457.480541373545
03/2021,11492.673946931438
04/2021,11511.009337525684
05/2021,11494.362507186139
06/2021,11543.770507367988
07/2021,11670.845343271241
08/2021,11637.345170195773
09/2021,11563.736384258369
10/2021,11457.808119516552
11/2021,11468.3582501204
12/2021,11468.555905169753
01/2022,11281.242058846774
02/2022,10898.131295089916
03/2022,10725.234195756158
04/2022,10381.172510273907
05/2022,10243.987981531007
06/2022,9763.887165014283
07/2022,10265.545613700879
08/2022,9835.998707026956
09/2022,9450.527619644357
10/2022,9458.884384000728
11/2022,9772.425001626028
12/2022,9631.05025868321
01/2023,9893.473616843765
02/2023,9767.607032041431
03/2023,9821.659620462959
04/2023,9892.447641212106
05/2023,9922.607572027562
06/2023,9887.681912264543
07/2023,10024.758088829181
08/2023,10035.549924027115
09/2023,9958.768834710658
10/2023,9997.250163380982
11/2023,10251.969232273546
12/2023,10562.566084667566
01/2024,10592.533189500957
02/2024,10506.064701295005
03/2024,10649.212941089894
04/2024,10570.483074496007
