Data,IE00BYPLS672
01/2010,10000
02/2010,10528.424553101997
03/2010,10816.636917295857
04/2010,10892.345655549778
05/2010,10263.572825327035
06/2010,9862.1518029827
07/2010,10601.96160279153
08/2010,10355.888287261023
09/2010,11684.217801776042
10/2010,12467.822297194105
11/2010,12368.585802339312
12/2010,12790.176222334407
01/2011,13149.628951163391
02/2011,13763.51582761752
03/2011,13442.438761019655
04/2011,13939.6484631429
05/2011,13875.32820477022
06/2011,13532.841415368566
07/2011,12571.074904844123
08/2011,11645.839576509512
09/2011,10490.786047221534
10/2011,12098.081227853165
11/2011,12295.807242851639
12/2011,12418.538344917171
01/2012,13149.28676803942
02/2012,13342.953476700268
03/2012,14167.725660534168
04/2012,13918.16631211405
05/2012,11929.25032764267
06/2012,12510.161149760923
07/2012,12391.26993969123
08/2012,13145.937247226362
09/2012,13417.309811246427
10/2012,11893.887986007248
11/2012,12269.857401804094
12/2012,12680.460012225578
01/2013,13413.197219536638
02/2013,13839.165303082638
03/2013,14046.383020970005
04/2013,13648.329120863515
05/2013,14395.29398794164
06/2013,14426.072896350506
07/2013,16198.952099982798
08/2013,16127.010241624119
09/2013,16677.98074270228
10/2013,16376.1185978249
11/2013,16810.491248948852
12/2013,17412.357924763106
01/2014,18624.73265821831
02/2014,19422.37080536047
03/2014,18162.534305176818
04/2014,15966.98599484977
05/2014,15887.3308505027
06/2014,17029.629019956996
07/2014,16361.790570745225
08/2014,16967.211463343112
09/2014,17043.055662873063
10/2014,18699.47074179737
11/2014,20296.038323001514
12/2014,21043.345723350823
01/2015,19974.75697585555
02/2015,22913.348795280468
03/2015,22075.419010841237
04/2015,23233.138029123915
05/2015,23743.285491046598
06/2015,24921.05607985217
07/2015,25107.383993805503
08/2015,22561.850689030493
09/2015,20949.60781381798
10/2015,22118.063591291502
11/2015,22291.373208534056
12/2015,21640.96641665752
01/2016,18513.15275385695
02/2016,17980.768799023266
03/2016,19692.057203830147
04/2016,19532.552422513934
05/2016,19895.087294656045
06/2016,19619.843131825608
07/2016,21395.751618015078
08/2016,22095.534434103876
09/2016,22911.123045032582
10/2016,21612.997324041753
11/2016,21788.32561103736
12/2016,21339.288244420728
01/2017,22926.612323707963
02/2017,23551.24100038814
03/2017,24828.536716449766
04/2017,23862.284100616685
05/2017,25087.4436910542
06/2017,24889.941672619163
07/2017,24199.819806787425
08/2017,24525.797904789142
09/2017,24962.642528445373
10/2017,25548.05137103723
11/2017,26080.50200954763
12/2017,26321.689682254135
01/2018,27799.761591001534
02/2018,29003.726127987917
03/2018,29586.065944240498
04/2018,30426.81781352487
05/2018,31788.24303228706
06/2018,31230.218810952763
07/2018,30844.004177993793
08/2018,33933.5204227684
09/2018,33898.59806923721
10/2018,30545.646178917264
11/2018,31395.792935186
12/2018,28776.90572941495
01/2019,32283.950303903246
02/2019,34940.47405635125
03/2019,34670.04637710854
04/2019,36590.8146254391
05/2019,34168.19982639966
06/2019,35715.92706983927
07/2019,36373.947808004035
08/2019,34774.34732407923
09/2019,34658.41742027591
10/2019,35789.07042762034
11/2019,37563.33267810716
12/2019,37495.83798618121
01/2020,38523.20032693876
02/2020,35154.881964376575
03/2020,32478.389317299974
04/2020,35789.43400625374
05/2020,40692.97539056982
06/2020,42655.69038005537
07/2020,45764.087532131154
08/2020,45915.8731914962
09/2020,43943.14424479388
10/2020,41373.6604653755
11/2020,46832.580379687315
12/2020,53085.85706430052
01/2021,54967.97242618638
02/2021,52302.74512410847
03/2021,51754.44263750023
04/2021,54279.166376071094
05/2021,55024.41158362948
06/2021,57389.084233919515
07/2021,58259.928128675696
08/2021,60074.38884464926
09/2021,56561.54365094636
10/2021,60889.62890660967
11/2021,56772.99570015799
12/2021,57293.133408204994
01/2022,52033.00803626407
02/2022,53156.731676840434
03/2022,55924.23171965833
04/2022,50133.84619096272
05/2022,46898.64189986295
06/2022,42534.451826031414
07/2022,44922.643522567836
08/2022,46491.29014321229
09/2022,41434.11106651463
10/2022,44355.76813245654
11/2022,43142.28042412247
12/2022,39467.622456415906
01/2023,42348.75368506699
02/2023,42745.65073650213
03/2023,44681.76249043515
04/2023,41419.26399628933
05/2023,46238.04966235569
06/2023,47167.89007414678
07/2023,48513.66875252466
08/2023,49200.9469717481
09/2023,47570.73255216534
10/2023,44625.05308125782
11/2023,50503.99926192011
12/2023,55173.55024544965
01/2024,56816.062809270436
02/2024,56606.5483320471
03/2024,56280.474772392576
04/2024,53629.15274607304
