Data,IE00BYSZ5V04
10/2012,10000
11/2012,10133.064030493797
12/2012,9768.88299630583
01/2013,9207.837834835544
02/2013,9617.19345123284
03/2013,9857.181093571307
04/2013,10034.258182388774
05/2013,9478.542090512286
06/2013,9115.444985267783
07/2013,8810.280799317658
08/2013,8767.417754955177
09/2013,8631.636557029422
10/2013,8653.995285313877
11/2013,8457.565957677176
12/2013,8156.196641676167
01/2014,8815.255782929034
02/2014,8695.098933460391
03/2014,8758.829312129952
04/2014,8884.607872319106
05/2014,9303.170479090964
06/2014,9245.884855134473
07/2014,9483.964943982064
08/2014,10002.670016835556
09/2014,10299.135277240326
10/2014,10621.41338987474
11/2014,10969.932152262461
12/2014,11561.141068713348
01/2015,13452.852083629667
02/2015,12793.41180541353
03/2015,13529.475811293927
04/2015,12601.554574532829
05/2015,12675.46560409435
06/2015,11971.934220296867
07/2015,12627.22401259535
08/2015,12353.76621611581
09/2015,12556.809156438334
10/2015,12697.90244329832
11/2015,13116.33641326463
12/2015,12727.778836499101
01/2016,13331.071593366409
02/2016,13755.66948344663
03/2016,13143.921862089564
04/2016,13049.479820203946
05/2016,13461.95614273757
06/2016,14405.15896534396
07/2016,14589.597255993698
08/2016,14418.979579702791
09/2016,14159.779463468183
10/2016,13877.524119827309
11/2016,13260.421432960093
12/2016,13281.171404549636
01/2017,13092.041611021092
02/2017,13490.94178798042
03/2017,13301.907367843442
04/2017,13210.378406117767
05/2017,13111.34666462377
06/2017,12927.716370007412
07/2017,12507.663855628547
08/2017,12822.420776736253
09/2017,12565.96217751736
10/2017,12743.389847115368
11/2017,12590.679526138621
12/2017,12639.230630564112
01/2018,11775.187782582838
02/2018,11684.182452977753
03/2018,11899.707682706798
04/2018,11916.224835246903
05/2018,12545.154284105096
06/2018,12620.340172808337
07/2018,12343.911401179861
08/2018,12625.51941824684
09/2018,12337.815199045705
10/2018,12277.34791224506
11/2018,12447.403802594188
12/2018,13013.265888813681
01/2019,13050.102254799305
02/2019,12975.30573695736
03/2019,13852.197787596506
04/2019,13637.030737152061
05/2019,14589.960167642937
06/2019,14482.362590599827
07/2019,14795.108644134667
08/2019,16458.119564747256
09/2019,16254.695313456938
10/2019,15731.458083159803
11/2019,15892.643788940937
12/2019,15116.820369545287
01/2020,16415.685535558907
02/2020,17633.259264522825
03/2020,18734.12147342771
04/2020,19251.37927870793
05/2020,18448.53190628688
06/2020,18367.84608948547
07/2020,18091.463767433135
08/2020,17175.819036096935
09/2020,17581.406662126028
10/2020,17064.68158942704
11/2020,16860.88457006239
12/2020,16264.998080112737
01/2021,15850.532029154712
02/2021,14984.639369631734
03/2021,14716.594318673275
04/2021,14612.267625031698
05/2021,14533.124633139183
06/2021,15452.349063790274
07/2021,16004.628098089512
08/2021,16045.87891917373
09/2021,15927.750038890537
10/2021,16129.93045317186
11/2021,16966.94283087035
12/2021,16778.21366998671
01/2022,16326.826948051525
02/2022,16024.347070307153
03/2022,15300.790600317814
04/2022,14680.271967426397
05/2022,14168.060396656723
06/2022,14395.465958691475
07/2022,15051.657841788041
08/2022,14668.302513540742
09/2022,13856.95570050552
10/2022,12867.210146802372
11/2022,13162.102639916968
12/2022,12584.784884484858
01/2023,13183.45253050743
02/2023,12809.515482351566
03/2023,13099.271116327218
04/2023,13038.779289989945
05/2023,13026.277465516576
06/2023,12803.151159248238
07/2023,12345.59151520555
08/2023,12170.985521171808
09/2023,11573.497932461412
10/2023,10975.016916212056
11/2023,11636.603349259572
12/2023,12500.786369284679
01/2024,12464.279577483754
02/2024,12190.613018865575
03/2024,12356.403420502278
04/2024,11702.782438217593
