Data,IE00BYTRR863
10/2019,10000
11/2019,10126.48585001359
12/2019,10665.398247745414
01/2020,9692.701616797025
02/2020,8334.028993387185
03/2020,5883.014031895629
04/2020,6834.906708418851
05/2020,6926.320782964446
06/2020,6852.124557258668
07/2020,6589.972867172082
08/2020,6684.28059902526
09/2020,5753.7399656962725
10/2020,5446.181316858068
11/2020,7028.186252534209
12/2020,7287.0746326705375
01/2021,7496.00973401889
02/2021,8671.494742812147
03/2021,8867.913342719523
04/2021,8899.252758533135
05/2021,9352.792813158083
06/2021,9631.353380877454
07/2021,9029.267290537025
08/2021,8916.224172169332
09/2021,9750.370050076934
10/2021,10532.260615872816
11/2021,9801.888623064846
12/2021,10178.819857361
01/2022,11751.791415331574
02/2022,12339.425988206844
03/2022,13289.374087583497
04/2022,13091.309981610642
05/2022,14831.183633443423
06/2022,12598.895445101738
07/2022,13463.069680654731
08/2022,13693.155325212245
09/2022,12408.407575448
10/2022,14890.46162029066
11/2022,15351.596856052154
12/2022,14818.536868359992
01/2023,15267.071938637633
02/2023,14548.094570210762
03/2023,14300.977769639943
04/2023,14844.316255926797
05/2023,13355.559570296802
06/2023,14217.354978672442
07/2023,15138.765435188658
08/2023,15397.134499573815
09/2023,15805.91462166129
10/2023,15111.211290054353
11/2023,15158.780308864509
12/2023,15148.83485255152
01/2024,14990.62628227458
02/2024,15228.415897712832
03/2024,16613.939890863538
04/2024,16661.920427053774
