Data,IE00BYTRRF33
06/2016,10000
07/2016,10684.695546276966
08/2016,10775.948116407806
09/2016,11023.65537655681
10/2016,10916.591100846497
11/2016,11115.473888702267
12/2016,11331.633539844985
01/2017,12021.935965263203
02/2017,11978.984724669597
03/2017,12088.851843556342
04/2017,12189.984011786342
05/2017,12162.63985061184
06/2017,12366.069111080404
07/2017,12990.908161653819
08/2017,13185.359477522032
09/2017,13473.337350962802
10/2017,13892.906661502831
11/2017,13981.278770132409
12/2017,14580.693613018078
01/2018,15167.689508994621
02/2018,14448.71825481982
03/2018,13808.019049402572
04/2018,14129.950296243089
05/2018,14302.912411928497
06/2018,14114.236099878206
07/2018,14306.138086042087
08/2018,13840.905898997828
09/2018,13994.748337292509
10/2018,12634.633517240214
11/2018,12503.625429040616
12/2018,12022.048874272768
01/2019,12951.520580110402
02/2019,13334.998323791653
03/2019,13398.978182109731
04/2019,13709.68046964971
05/2019,12724.648898628724
06/2019,14046.017797958259
07/2019,13856.28361708114
08/2019,13197.757618521877
09/2019,13599.455964485835
10/2019,13888.96215826268
11/2019,14185.214513473793
12/2019,14684.53122282762
01/2020,13892.313331896099
02/2020,12413.717898782437
03/2020,11015.060655069794
04/2020,12385.103766798999
05/2020,13157.688896054678
06/2020,13684.008488465377
07/2020,14651.877033577297
08/2020,15371.784765918437
09/2020,15335.294389528832
10/2020,14859.050354536756
11/2020,16638.00945556453
12/2020,17667.50131462993
01/2021,17467.38922458423
02/2021,18082.567229908746
03/2021,18676.852543432717
04/2021,19670.52353789034
05/2021,20538.517544389142
06/2021,19576.667597383115
07/2021,20195.703647229013
08/2021,20086.12031974903
09/2021,18791.022996358704
10/2021,19586.198336890673
11/2021,19218.277303356386
12/2021,20369.034570817075
01/2022,19396.92235313634
02/2022,20018.332259919953
03/2022,21168.034075371972
04/2022,20013.439416885452
05/2022,19970.82002395379
06/2022,16875.247621668983
07/2022,17520.405427103735
08/2022,17003.482992433346
09/2022,15721.622349878091
10/2022,16438.2876466528
11/2022,18545.94064810384
12/2022,18271.631917184368
01/2023,20046.790577156444
02/2023,19023.317984731933
03/2023,19286.328061960052
04/2023,19182.610977549226
05/2023,17814.08220634404
06/2023,19234.34625247222
07/2023,20146.189121647432
08/2023,19251.974361675726
09/2023,18559.165114912645
10/2023,17931.40318510919
11/2023,19419.643693908616
12/2023,20840.801875825604
01/2024,19887.97317373748
02/2024,20161.939656497485
03/2024,21474.728574787
04/2024,20986.552505433083
